,er_volume
2014-01-31,788286408.0
2014-02-28,1068122601.0
2014-03-31,1457724114.0
2014-04-30,1508121848.0
2014-05-31,1771107155.0
2014-06-30,1610941068.0
2014-07-31,1396105768.0
2014-08-31,1320649869.0
2014-09-30,1290687800.0
2014-10-31,1289950509.0
2014-11-30,1019770412.0
2014-12-31,610288554.0000001
2015-01-31,511164573.0
2015-02-28,694174723.0
2015-03-31,1015560897.0
2015-04-30,1125040884.0
2015-05-31,1304232692.0
2015-06-30,1330028531.0
2015-07-31,1193535018.0
2015-08-31,954108544.0
2015-09-30,830020151.0
2015-10-31,815084292.0
2015-11-30,729138605.0
2015-12-31,510582399.0
2016-01-31,429955210.0
2016-02-29,652169700.0
2016-03-31,901096755.0
2016-04-30,1068577993.0
2016-05-31,1219798008.0
2016-06-30,1268684538.0
2016-07-31,1091194881.0
2016-08-31,963696635.0
2016-09-30,935445184.0
2016-10-31,969603600.0
2016-11-30,751766148.0
2016-12-31,599823900.0
2017-01-31,540892176.0
2017-02-28,822258040.0
2017-03-31,1173719480.0
2017-04-30,1186995706.0
2017-05-31,1366043469.0
2017-06-30,1339204418.0
2017-07-31,1011993000.0
2017-08-31,997668408.0
2017-09-30,915266016.0
2017-10-31,884825308.0
2017-11-30,819995464.0
2017-12-31,595027818.0
2018-01-31,556989510.0
2018-02-28,720847320.0
2018-03-31,854447068.0
2018-04-30,904737862.0
2018-05-31,1090500750.0
2018-06-30,1209581200.0
2018-07-31,983227922.0
2018-08-31,953494614.0
2018-09-30,679423464.0
2018-10-31,799243882.0
2018-11-30,676052654.0
2018-12-31,443175900.0
2019-01-31,456842176.0
2019-02-28,597069616.0
2019-03-31,815221160.0
2019-04-30,906084864.0
2019-05-31,1156751360.0
2019-06-30,1082141674.0
2019-07-31,986027184.0
2019-08-31,930033828.0
2019-09-30,836522106.0
2019-10-31,851808000.0
2019-11-30,644517216.0
2019-12-31,494489435.0
2020-01-31,513356820.0
2020-02-29,708227730.0
2020-03-31,701181184.0
2020-04-30,341337318.0
2020-05-31,640456950.0
2020-06-30,1082438016.0
2020-07-31,1229931370.0
2020-08-31,1075279051.9999998
2020-09-30,1137609390.0
2020-10-31,1171197572.0
2020-11-30,920112582.0
2020-12-31,762177327.0000001
2021-01-31,818884526.0
2021-02-28,1242305800.0
2021-03-31,2035164698.0
2021-04-30,2274733032.0
2021-05-31,2132998268.9999998
2021-06-30,2004456168.0000002
2021-07-31,1569985449.0
2021-08-31,1438442046.0
2021-09-30,1420877739.0
2021-10-31,1453312463.0
2021-11-30,1378685306.0
2021-12-31,1112378474.0
2022-01-31,1371545386.0
2022-02-28,2403885673.0
2022-03-31,2956925229.9999995
2022-04-30,2461886708.0
2022-05-31,2185030952.0
2022-06-30,1981295206.0
2022-07-31,1522048548.9999998
2022-08-31,1393718099.0
2022-09-30,1279867466.0
2022-10-31,1241891522.0
2022-11-30,1048384840.0000001
2022-12-31,812804643.9999999
2023-01-31,804780089.0
2023-02-28,1138141887.0
2023-03-31,1672493156.0
2023-04-30,1919667254.9999998
2023-05-31,2265178085.0
2023-06-30,2296461286.0
2023-07-31,1889213913.0
