,row_volume
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,
2006-05-31,
2006-06-30,
2006-07-31,
2006-08-31,
2006-09-30,
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,65852355.0
2008-02-29,76183232.0
2008-03-31,69838846.0
2008-04-30,80900750.0
2008-05-31,74682300.0
2008-06-30,73759596.0
2008-07-31,67198560.0
2008-08-31,61610670.0
2008-09-30,61077654.0
2008-10-31,53225526.0
2008-11-30,31590252.0
2008-12-31,22744092.0
2009-01-31,25123268.0
2009-02-28,40370044.0
2009-03-31,53642720.0
2009-04-30,64288788.0
2009-05-31,74936085.0
2009-06-30,91902224.0
2009-07-31,85355760.0
2009-08-31,77317376.0
2009-09-30,71570037.0
2009-10-31,69319965.0
2009-11-30,48322980.0
2009-12-31,34025536.0
2010-01-31,43720391.0
2010-02-28,58010715.0
2010-03-31,75734880.0
2010-04-30,78557882.0
2010-05-31,66805596.0
2010-06-30,51031359.0
2010-07-31,53994381.0
2010-08-31,43006128.0
2010-09-30,37957535.0
2010-10-31,33253720.0
2010-11-30,37517139.0
2010-12-31,31299264.0
2011-01-31,28974120.0
2011-02-28,50267085.0
2011-03-31,69415380.0
2011-04-30,59444896.0
2011-05-31,57718521.0
2011-06-30,67490489.0
2011-07-31,60296204.0
2011-08-31,50973197.0
2011-09-30,52718601.0
2011-10-31,41033030.0
2011-11-30,40205025.0
2011-12-31,32624748.0
2012-01-31,33820276.0
2012-02-29,56425925.0
2012-03-31,65442280.0
2012-04-30,75258960.0
2012-05-31,82157649.0
2012-06-30,70639238.0
2012-07-31,65125320.0
2012-08-31,64367961.0
2012-09-30,62801428.0
2012-10-31,61535826.0
2012-11-30,54676008.0
2012-12-31,34147696.0
2013-01-31,41973337.0
2013-02-28,67526091.0
2013-03-31,86112402.0
2013-04-30,98321504.0
2013-05-31,109265746.0
2013-06-30,90557092.0
2013-07-31,86773482.0
2013-08-31,84289116.0
2013-09-30,73359228.0
2013-10-31,86445153.0
2013-11-30,70781821.0
2013-12-31,50739103.0
2014-01-31,63169905.0
2014-02-28,79589866.0
2014-03-31,106428504.0
2014-04-30,111889470.0
2014-05-31,128717163.0
2014-06-30,137602400.0
2014-07-31,108308550.0
2014-08-31,108654160.0
2014-09-30,104075700.0
2014-10-31,100398708.0
2014-11-30,89346096.0
2014-12-31,49783824.0
2015-01-31,37549083.0
2015-02-28,51827427.0
2015-03-31,78983300.0
2015-04-30,87664766.0
2015-05-31,92132313.0
2015-06-30,93601412.0
2015-07-31,88740765.0
2015-08-31,78625990.0
2015-09-30,59531986.0
2015-10-31,61105480.0
2015-11-30,53404344.0
2015-12-31,39147240.0
2016-01-31,34096293.0
2016-02-29,54096888.0
2016-03-31,60333600.0
2016-04-30,59859984.0
2016-05-31,83806063.0
2016-06-30,81872000.0
2016-07-31,65269413.0
2016-08-31,60013044.0
2016-09-30,59413900.0
2016-10-31,63062802.0
2016-11-30,47166152.0
2016-12-31,40250640.0
2017-01-31,41645328.0
2017-02-28,49339598.0
2017-03-31,78330244.0
2017-04-30,77045540.0
2017-05-31,92030656.0
2017-06-30,91684164.0
2017-07-31,71791704.0
2017-08-31,65443364.0
2017-09-30,65114658.0
2017-10-31,64617300.0
2017-11-30,59113879.0
2017-12-31,40950252.0
2018-01-31,41191116.0
2018-02-28,43087212.0
2018-03-31,53338653.0
2018-04-30,64205184.0
2018-05-31,77518280.0
2018-06-30,66840791.0
2018-07-31,53533025.0
2018-08-31,57960200.0
2018-09-30,47251294.0
2018-10-31,47198817.0
2018-11-30,44076960.0
2018-12-31,32344095.0
2019-01-31,32320420.0
2019-02-28,38183990.0
2019-03-31,53218596.0
2019-04-30,60790719.0
2019-05-31,68894761.0
2019-06-30,71733816.0
2019-07-31,66239616.0
2019-08-31,61642336.0
2019-09-30,55559296.0
2019-10-31,64471622.0
2019-11-30,50968480.0
2019-12-31,36697500.0
2020-01-31,35473836.0
2020-02-29,52383510.0
2020-03-31,46538469.0
2020-04-30,22840510.0
2020-05-31,41352310.0
2020-06-30,73734673.0
2020-07-31,61382787.0
2020-08-31,66235320.0
2020-09-30,84221440.0
2020-10-31,69037248.0
2020-11-30,59717105.0
2020-12-31,52575900.0
2021-01-31,45354000.0
2021-02-28,85910240.0
2021-03-31,125504504.0
2021-04-30,139890744.0
2021-05-31,136724038.0
2021-06-30,141302622.0
2021-07-31,114712767.0
2021-08-31,109090134.0
2021-09-30,100480050.0
2021-10-31,88558193.0
2021-11-30,106016670.0
2021-12-31,91377216.0
2022-01-31,102674590.0
2022-02-28,196924881.0
2022-03-31,254677763.0
2022-04-30,222585476.0
2022-05-31,201828525.0
2022-06-30,196073175.0
2022-07-31,153756144.0
2022-08-31,127883250.0
2022-09-30,112447452.0
2022-10-31,114023360.0
2022-11-30,88811577.0
2022-12-31,66612483.0
