,MWINTMURR
2004-02-01,111.0
2004-03-01,98.0
2004-04-01,108.0
2004-05-01,128.0
2004-06-01,174.0
2004-07-01,171.0
2004-08-01,169.0
2004-09-01,203.0
2004-10-01,197.0
2004-11-01,210.0
2004-12-01,223.0
2005-01-01,198.0
2005-02-01,200.0
2005-03-01,216.0
2005-04-01,224.0
2005-05-01,263.0
2005-06-01,241.0
2005-07-01,212.0
2005-08-01,196.0
2005-09-01,186.0
2005-10-01,223.0
2005-11-01,246.0
2005-12-01,204.0
2006-01-01,172.0
2006-02-01,165.0
2006-03-01,162.0
2006-04-01,152.0
2006-05-01,203.0
2006-06-01,239.0
2006-07-01,220.0
2006-08-01,241.0
2006-09-01,251.0
2006-10-01,250.0
2006-11-01,242.0
2006-12-01,229.0
2007-01-01,221.0
2007-02-01,207.0
2007-03-01,198.0
2007-04-01,199.0
2007-05-01,240.0
2007-06-01,247.0
2007-07-01,250.0
2007-08-01,256.0
2007-09-01,251.0
2007-10-01,276.0
2007-11-01,280.0
2007-12-01,285.0
2008-01-01,263.0
2008-02-01,237.0
2008-03-01,229.0
2008-04-01,232.0
2008-05-01,276.0
2008-06-01,280.0
2008-07-01,329.0
2008-08-01,313.0
2008-09-01,392.0
2008-10-01,404.0
2008-11-01,442.0
2008-12-01,429.0
2009-01-01,403.0
2009-02-01,384.0
2009-03-01,373.0
2009-04-01,397.0
2009-05-01,490.0
2009-06-01,429.0
2009-07-01,359.0
2009-08-01,335.0
2009-09-01,313.0
2009-10-01,340.0
2009-11-01,340.0
2009-12-01,274.0
2010-01-01,253.0
2010-02-01,267.0
2010-03-01,264.0
2010-04-01,267.0
2010-05-01,275.0
2010-06-01,271.0
2010-07-01,329.0
2010-08-01,349.0
2010-09-01,335.0
2010-10-01,334.0
2010-11-01,330.0
2010-12-01,311.0
2011-01-01,275.0
2011-02-01,263.0
2011-03-01,233.0
2011-04-01,208.0
2011-05-01,223.0
2011-06-01,239.0
2011-07-01,218.0
2011-08-01,228.0
2011-09-01,225.0
2011-10-01,256.0
2011-11-01,260.0
2011-12-01,259.0
2012-01-01,218.0
2012-02-01,204.0
2012-03-01,169.0
2012-04-01,165.0
2012-05-01,226.0
2012-06-01,253.0
2012-07-01,250.0
2012-08-01,251.0
2012-09-01,335.0
2012-10-01,353.0
2012-11-01,360.0
2012-12-01,351.0
2013-01-01,355.0
2013-02-01,372.0
2013-03-01,401.0
2013-04-01,403.0
2013-05-01,416.0
2013-06-01,384.0
2013-07-01,434.0
2013-08-01,451.0
2013-09-01,463.0
2013-10-01,489.0
2013-11-01,529.0
2013-12-01,484.0
2014-01-01,559.0
2014-02-01,576.0
2014-03-01,555.0
2014-04-01,484.0
2014-05-01,456.0
2014-06-01,537.0
2014-07-01,516.0
2014-08-01,447.0
2014-09-01,461.0
2014-10-01,499.0
2014-11-01,529.0
2014-12-01,482.0
2015-01-01,502.0
2015-02-01,665.0
2015-03-01,635.0
2015-04-01,637.0
2015-05-01,645.0
2015-06-01,661.0
2015-07-01,630.0
2015-08-01,574.0
2015-09-01,563.0
2015-10-01,602.0
2015-11-01,665.0
2015-12-01,815.0
2016-01-01,768.0
2016-02-01,746.0
2016-03-01,737.0
2016-04-01,696.0
2016-05-01,612.0
2016-06-01,592.0
2016-07-01,525.0
2016-08-01,471.0
2016-09-01,482.0
2016-10-01,449.0
2016-11-01,711.0
2016-12-01,595.0
2017-01-01,622.0
2017-02-01,530.0
2017-03-01,492.0
2017-04-01,478.0
2017-05-01,457.0
2017-06-01,433.0
2017-07-01,466.0
2017-08-01,400.0
2017-09-01,433.0
2017-10-01,467.0
2017-11-01,494.0
2017-12-01,477.0
2018-01-01,485.0
2018-02-01,521.0
2018-03-01,543.0
2018-04-01,570.0
2018-05-01,559.0
2018-06-01,566.0
2018-07-01,528.0
2018-08-01,489.0
2018-09-01,483.0
2018-10-01,515.0
2018-11-01,650.0
2018-12-01,721.0
2019-01-01,768.0
2019-02-01,844.0
2019-03-01,824.0
2019-04-01,791.0
2019-05-01,729.0
2019-06-01,667.0
2019-07-01,614.0
2019-08-01,599.0
2019-09-01,611.0
2019-10-01,593.0
2019-11-01,628.0
2019-12-01,597.0
2020-01-01,594.0
2020-02-01,598.0
2020-03-01,599.0
2020-04-01,565.0
2020-05-01,532.0
2020-06-01,514.0
2020-07-01,478.0
2020-08-01,429.0
2020-09-01,442.0
2020-10-01,392.0
2020-11-01,366.0
2020-12-01,329.0
2021-01-01,324.0
2021-02-01,294.0
2021-03-01,289.0
2021-04-01,248.0
2021-05-01,235.0
2021-06-01,198.0
2021-07-01,184.0
2021-08-01,187.0
2021-09-01,190.0
2021-10-01,202.0
2021-11-01,207.0
2021-12-01,194.0
2022-01-01,193.0
2022-02-01,179.0
2022-03-01,176.0
2022-04-01,185.0
2022-05-01,176.0
2022-06-01,187.0
2022-07-01,206.0
2022-08-01,191.0
2022-09-01,179.0
2022-10-01,183.0
2022-11-01,225.0
2022-12-01,233.0
2023-01-01,261.0
2023-02-01,283.0
2023-03-01,288.0
2023-04-01,319.0
2023-05-01,344.0
2023-06-01,382.0
2023-07-01,413.0
2023-08-01,404.0
2023-09-01,469.0
2023-10-01,461.0
2023-11-01,481.0
2023-12-01,510.0
2024-01-01,495.0
2024-02-01,508.0
2024-03-01,503.0
2024-04-01,578.0
2024-05-01,557.0
2024-06-01,508.0
2024-07-01,459.0
2024-08-01,420.0
2024-09-01,413.0
2024-10-01,410.0
2024-11-01,443.0
2024-12-01,429.0
