,MWISTMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,3.848
1990-04-01,2.487
1990-07-01,2.105
1990-10-01,1.062
1991-01-01,1.247
1991-04-01,0.812
1991-07-01,2.139
1991-10-01,1.274
1992-01-01,1.721
1992-04-01,1.189
1992-07-01,1.873
1992-10-01,1.695
1993-01-01,1.063
1993-04-01,1.295
1993-07-01,1.907
1993-10-01,1.86
1994-01-01,1.575
1994-04-01,1.924
1994-07-01,1.592
1994-10-01,0.975
1995-01-01,0.965
1995-04-01,1.173
1995-07-01,1.468
1995-10-01,0.82
1996-01-01,0.766
1996-04-01,1.377
1996-07-01,0.996
1996-10-01,1.286
1997-01-01,1.61
1997-04-01,1.633
1997-07-01,1.514
1997-10-01,1.333
1998-01-01,1.26
1998-04-01,2.471
1998-07-01,1.363
1998-10-01,1.166
1999-01-01,2.002
1999-04-01,1.901
1999-07-01,1.92
1999-10-01,1.254
2000-01-01,1.144
2000-04-01,1.33
2000-07-01,1.46
2000-10-01,1.331
2001-01-01,1.363
2001-04-01,1.465
2001-07-01,1.707
2001-10-01,1.369
2002-01-01,1.443
2002-04-01,1.673
2002-07-01,2.358
2002-10-01,1.732
2003-01-01,1.802
2003-04-01,1.832
2003-07-01,2.97
2003-10-01,3.143
2004-01-01,1.883
2004-04-01,2.166
2004-07-01,3.726
2004-10-01,2.174
2005-01-01,2.253
2005-04-01,2.328
2005-07-01,3.219
2005-10-01,2.569
2006-01-01,2.588
2006-04-01,3.017
2006-07-01,2.19
2006-10-01,3.383
2007-01-01,3.249
2007-04-01,3.703
2007-07-01,3.609
2007-10-01,2.928
2008-01-01,2.565
2008-04-01,3.636
2008-07-01,2.693
2008-10-01,3.105
2009-01-01,1.902
2009-04-01,1.518
2009-07-01,2.586
2009-10-01,2.169
2010-01-01,3.135
2010-04-01,2.827
2010-07-01,4.385
2010-10-01,2.608
2011-01-01,2.445
2011-04-01,3.339
2011-07-01,3.212
2011-10-01,4.305
2012-01-01,3.598
2012-04-01,4.474
2012-07-01,4.905
2012-10-01,3.271
2013-01-01,4.197
2013-04-01,4.852
2013-07-01,5.419
2013-10-01,4.398
2014-01-01,2.486
2014-04-01,5.187
2014-07-01,5.827
2014-10-01,3.452
2015-01-01,3.567
2015-04-01,3.945
2015-07-01,6.39
2015-10-01,3.75
2016-01-01,3.097
2016-04-01,4.022
2016-07-01,4.878
2016-10-01,4.235
2017-01-01,6.803
2017-04-01,6.085
2017-07-01,3.683
2017-10-01,5.057
2018-01-01,4.184
2018-04-01,4.536
2018-07-01,7.811
2018-10-01,5.031
2019-01-01,4.449
2019-04-01,7.054
2019-07-01,4.184
2019-10-01,4.166
2020-01-01,5.042
2020-04-01,4.955
2020-07-01,3.94
2020-10-01,6.344
2021-01-01,5.889
2021-04-01,6.038
2021-07-01,6.157
2021-10-01,4.645
2022-01-01,6.006
2022-04-01,5.589
2022-07-01,4.489
2022-10-01,7.302
2023-01-01,6.002
2023-04-01,5.555
2023-07-01,5.726
2023-10-01,4.603
2024-01-01,3.983
2024-04-01,5.688
2024-07-01,5.064
2024-10-01,5.925
