"ref_yy","metcode","metro","unitsperstory","unitsperstory1620","unitsperstory1115"
"2016","2270","TORONTO",12.4188210961737,12.4188210961737,0
"2022","1060","MONTRÉAL",13.6702269692924,0,0
"1992","1265",NA,157.8,0,0
"2004","2410","VANCOUVER",8.5063752276867,0,0
"2018","0140","CALGARY",23.1009174311927,23.1009174311927,0
"2003","1060","MONTRÉAL",561.75,0,0
"2000","1060","MONTRÉAL",NA,NA,NA
"2004","2270","TORONTO",83,0,0
"2009","0140","CALGARY",NA,NA,NA
"2017","2270","TORONTO",12.2407643312102,12.2407643312102,0
"2006","0140","CALGARY",90.5384615384615,0,0
"1996","0140","CALGARY",NA,NA,NA
"2014","2410","VANCOUVER",10.2255319148936,0,10.2255319148936
"2002","0340","EDMONTON",NA,NA,NA
"2015","0140","CALGARY",13.0144230769231,0,13.0144230769231
"1998","2410","VANCOUVER",7.11453744493392,0,0
"2013","0340","EDMONTON",18.8409090909091,0,18.8409090909091
"2008","2270","TORONTO",16.3924418604651,0,0
"2008","2410","VANCOUVER",9.23487031700288,0,0
"2012","1265","OTTAWA",19.8,0,19.8
"1991","0340","EDMONTON",8,0,0
"1995","2270",NA,87.1851851851852,0,0
"2012","1060","MONTRÉAL",18.3658536585366,0,18.3658536585366
"2020","0340","EDMONTON",15.1010101010101,15.1010101010101,0
"1990","1060",NA,152.538461538462,0,0
"2011","2270","TORONTO",16.9985714285714,0,16.9985714285714
"2016","1060","MONTRÉAL",11.552380952381,11.552380952381,0
"1996","0340","EDMONTON",NA,NA,NA
"2011","0340","EDMONTON",118.25,0,118.25
"2004","1265","OTTAWA",38.8333333333333,0,0
"2006","2410","VANCOUVER",9.16197183098592,0,0
"2019","0140","CALGARY",12.5833333333333,12.5833333333333,0
"1993","2270","TORONTO",38.5833333333333,0,0
"2000","1265","OTTAWA",NA,NA,NA
"1993","0140","CALGARY",NA,NA,NA
"2000","0140","CALGARY",NA,NA,NA
"1999","2270","TORONTO",27.1823529411765,0,0
"2014","0340","EDMONTON",16.4567901234568,0,16.4567901234568
"2007","1265","OTTAWA",38.875,0,0
"2009","2270","TORONTO",14.3230088495575,0,0
"2010","1265","OTTAWA",NA,NA,NA
"2004","0140","CALGARY",NA,NA,NA
"2019","1060","MONTRÉAL",11.6679536679537,11.6679536679537,0
"2010","1060","MONTRÉAL",25.5619834710744,0,0
"1988","1265",NA,NA,NA,NA
"1995","2410","VANCOUVER",9.67832167832168,0,0
"2018","0340","EDMONTON",14.2380952380952,14.2380952380952,0
"1994","0340","EDMONTON",NA,NA,NA
"2022","2270","TORONTO",12.2301293900185,0,0
"1989","2410","VANCOUVER",59.1525423728814,0,0
"2020","1265","OTTAWA",13.9428571428571,13.9428571428571,0
"2000","0340","EDMONTON",NA,NA,NA
"1996","2270",NA,37.3157894736842,0,0
"2003","0140","CALGARY",NA,NA,NA
"1995","0340","EDMONTON",NA,NA,NA
"1990","0140","CALGARY",19.2222222222222,0,0
"2021","1060","MONTRÉAL",12.3399602385686,0,0
"1988","2270","TORONTO",NA,NA,NA
"2012","2270","TORONTO",17.5047619047619,0,17.5047619047619
"2016","0340","EDMONTON",16.8588235294118,16.8588235294118,0
"2000","2410","VANCOUVER",7.52970297029703,0,0
"2008","0340","EDMONTON",73.8846153846154,0,0
"1997","0140","CALGARY",NA,NA,NA
"2007","0340","EDMONTON",203.25,0,0
