"ref_yy","metcode","metro","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"1999","1060","MONTRÉAL",140,99.285714285714,0.714285714286,0,0,0,0.214285714285714
"2018","1265","OTTAWA",24,75,16.666666666667,8.333333333333,0,0,3.66666666666667
"1999","0140","CALGARY",32,90.625,9.375,0,0,0,0.6875
"1992","2410","VANCOUVER",90,86.666666666667,7.777777777778,3.333333333333,2.222222222222,0,2.07777777777778
"1990","0340","EDMONTON",10,100,0,0,0,0,0.3
"1998","1060","MONTRÉAL",127,99.212598425197,0.787401574803,0,0,0,0.118110236220472
"2010","2270","TORONTO",43,60.46511627907,11.627906976744,18.604651162791,2.325581395349,6.976744186047,6.51162790697674
"2001","2410","VANCOUVER",45,20,42.222222222222,20,15.555555555556,2.222222222222,8.62222222222222
"2009","2410","VANCOUVER",22,18.181818181818,54.545454545455,4.545454545455,9.090909090909,13.636363636364,11.4090909090909
"2002","0140","CALGARY",28,100,0,0,0,0,0.107142857142857
"2013","0140","CALGARY",49,87.755102040816,8.163265306122,4.081632653061,0,0,1.12244897959184
"1989","1265",NA,17,88.235294117647,11.764705882353,0,0,0,0.470588235294118
"2022","1265","OTTAWA",30,56.666666666667,13.333333333333,20,10,0,6.8
"2009","1060","MONTRÉAL",280,100,0,0,0,0,0.0107142857142857
"1991","1060",NA,213,99.530516431925,0.469483568075,0,0,0,0.469483568075117
"2003","0340","EDMONTON",28,100,0,0,0,0,0
"2007","0140","CALGARY",32,100,0,0,0,0,0
"1998","0340","EDMONTON",8,100,0,0,0,0,0
"1998","2270","TORONTO",23,86.95652173913,0,13.04347826087,0,0,1.8695652173913
"2005","0140","CALGARY",24,100,0,0,0,0,0
"2015","2270","TORONTO",114,36.842105263158,30.701754385965,17.543859649123,7.017543859649,7.894736842105,9.89473684210526
"2016","2410","VANCOUVER",98,10.204081632653,56.122448979592,22.448979591837,4.081632653061,7.142857142857,9.68367346938776
"1995","0140","CALGARY",4,100,0,0,0,0,0
"2019","2270","TORONTO",65,38.461538461538,12.307692307692,26.153846153846,6.153846153846,16.923076923077,15.3538461538462
"2005","2410","VANCOUVER",67,28.358208955224,35.820895522388,19.402985074627,10.44776119403,5.970149253731,9.19402985074627
"1999","2410","VANCOUVER",29,48.275862068966,34.48275862069,17.241379310345,0,0,4.24137931034483
"2006","1060","MONTRÉAL",387,98.449612403101,0.258397932817,1.033591731266,0.258397932817,0,0.695090439276486
"1989","2270",NA,59,79.661016949153,5.084745762712,10.169491525424,5.084745762712,0,3.25423728813559
"1996","2410","VANCOUVER",74,62.162162162162,22.972972972973,10.810810810811,2.702702702703,1.351351351351,4.32432432432432
"2017","2410","VANCOUVER",72,9.722222222222,59.722222222222,13.888888888889,8.333333333333,8.333333333333,10.5138888888889
"2011","2410","VANCOUVER",60,21.666666666667,53.333333333333,20,1.666666666667,3.333333333333,6.46666666666667
"2003","1265","OTTAWA",6,100,0,0,0,0,0
"2005","2270","TORONTO",63,65.079365079365,9.52380952381,15.873015873016,6.349206349206,3.174603174603,5.41269841269841
"1994","0140","CALGARY",6,100,0,0,0,0,0
"2001","1060","MONTRÉAL",145,100,0,0,0,0,0
"2006","0340","EDMONTON",33,100,0,0,0,0,0
"2005","1265","OTTAWA",6,100,0,0,0,0,0
"2021","1265","OTTAWA",43,62.790697674419,18.604651162791,16.279069767442,2.325581395349,0,5.44186046511628
"2021","2270","TORONTO",90,31.111111111111,22.222222222222,24.444444444444,6.666666666667,15.555555555556,13.1111111111111
"2013","2270","TORONTO",50,30,26,22,8,14,12
"2001","1265","OTTAWA",13,92.307692307692,7.692307692308,0,0,0,0.461538461538462
"1993","0340","EDMONTON",15,100,0,0,0,0,0
"1993","2410","VANCOUVER",121,86.776859504132,9.090909090909,1.652892561983,2.479338842975,0,1.84297520661157
"2001","0340","EDMONTON",27,96.296296296296,3.703703703704,0,0,0,0.185185185185185
"2015","2410","VANCOUVER",55,10.909090909091,49.090909090909,20,9.090909090909,10.909090909091,11.8363636363636
"2015","0340","EDMONTON",67,31.34328358209,62.686567164179,4.477611940299,0,1.492537313433,4.37313432835821
"1992","1060",NA,187,97.326203208556,2.139037433155,0.534759358289,0,0,0.893048128342246
"2021","0340","EDMONTON",36,63.888888888889,36.111111111111,0,0,0,2.36111111111111
"1993","1060",NA,145,99.310344827586,0,0,0,0.689655172414,0.76551724137931
"2015","1265","OTTAWA",18,72.222222222222,11.111111111111,11.111111111111,5.555555555556,0,5.55555555555556
"2009","0340","EDMONTON",9,100,0,0,0,0,0
"1994","2270",NA,28,82.142857142857,10.714285714286,7.142857142857,0,0,1.25
"1996","1265",NA,6,100,0,0,0,0,1.5
"2022","0340","EDMONTON",40,60,32.5,2.5,5,0,4.075
"1992","0140","CALGARY",8,100,0,0,0,0,0
"1997","1265",NA,5,100,0,0,0,0,0
"2002","2270","TORONTO",38,81.578947368421,2.631578947368,15.789473684211,0,0,2.57894736842105
"2016","2270","TORONTO",60,20,25,21.666666666667,15,18.333333333333,17.05
"2022","1060","MONTRÉAL",285,67.719298245614,18.59649122807,12.280701754386,1.40350877193,0,4.32280701754386
"1992","1265",NA,38,97.368421052632,2.631578947368,0,0,0,0.131578947368421
"2004","2410","VANCOUVER",71,19.718309859155,47.887323943662,16.901408450704,14.084507042254,1.408450704225,8.59154929577465
"2018","0140","CALGARY",37,43.243243243243,48.648648648649,8.108108108108,0,0,4.43243243243243
"2003","1060","MONTRÉAL",306,98.366013071895,1.307189542484,0,0,0.326797385621,0.57843137254902
"2000","1060","MONTRÉAL",129,100,0,0,0,0,0.0232558139534884
"2004","2270","TORONTO",35,85.714285714286,2.857142857143,11.428571428571,0,0,1.85714285714286
"2009","0140","CALGARY",5,100,0,0,0,0,0
"2017","2270","TORONTO",98,53.061224489796,20.408163265306,11.224489795918,6.122448979592,9.183673469388,9.37755102040816
"2006","0140","CALGARY",38,94.736842105263,2.631578947368,2.631578947368,0,0,0.736842105263158
"1996","0140","CALGARY",8,100,0,0,0,0,0
"2014","2410","VANCOUVER",64,14.0625,65.625,10.9375,4.6875,4.6875,7.890625
"2002","0340","EDMONTON",32,100,0,0,0,0,0
"2015","0140","CALGARY",50,40,50,4,4,2,5.08
"1998","2410","VANCOUVER",51,27.450980392157,43.137254901961,17.647058823529,5.882352941176,5.882352941176,9.50980392156863
"2013","0340","EDMONTON",50,48,46,0,6,0,3.88
"2008","2270","TORONTO",62,51.612903225806,1.612903225806,22.58064516129,11.290322580645,12.903225806452,11.4677419354839
"2008","2410","VANCOUVER",72,13.888888888889,48.611111111111,19.444444444444,11.111111111111,6.944444444444,9.875
"2012","1265","OTTAWA",39,74.358974358974,7.692307692308,15.384615384615,2.564102564103,0,3.25641025641026
"1991","0340","EDMONTON",3,100,0,0,0,0,2
"1995","2270","TORONTO",31,87.096774193548,9.677419354839,3.225806451613,0,0,1.09677419354839
"2012","1060","MONTRÉAL",332,89.457831325301,7.530120481928,2.710843373494,0.301204819277,0,1.76807228915663
"2020","0340","EDMONTON",29,44.827586206897,48.275862068966,3.448275862069,3.448275862069,0,4.58620689655172
"1990","1060",NA,354,99.717514124294,0.282485875706,0,0,0,0.23728813559322
"2011","2270","TORONTO",55,34.545454545455,10.909090909091,27.272727272727,16.363636363636,10.909090909091,12.8
"2016","1060","MONTRÉAL",227,83.700440528634,9.251101321586,6.607929515419,0,0.440528634361,3.56387665198238
"1996","0340","EDMONTON",1,100,0,0,0,0,0
