"ref_yy","CSDuid","metcode","metro","municipality","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"1998","3521005","2270","TORONTO","TORONTO C",1,100,0,0,0,0,3
"1999","2457015","1060","MONTRÉAL","BLAINVILLE V",1,100,0,0,0,0,0
"1999","2474005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,3
"1999","3520005","2270","TORONTO","TORONTO C",34,76.470588235294,5.882352941176,14.705882352941,2.941176470588,0,3.47058823529412
"2002","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"2003","5915004","2410","VANCOUVER","SURREY CY",4,25,75,0,0,0,3.75
"2009","2473015","1060","MONTRÉAL","BLAINVILLE V",1,100,0,0,0,0,0
"2013","2460005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,3
"2018","2467045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",4,100,0,0,0,0,3
"1990","5913011","2410","VANCOUVER","DELTA DM",12,100,0,0,0,0,2.33333333333333
"1992","2456310","1060",NA,NA,1,100,0,0,0,0,3
"1992","2463250","1060",NA,NA,1,100,0,0,0,0,0
"1993","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",1,100,0,0,0,0,0
"1996","4811061","0340","EDMONTON","EDMONTON CY",1,100,0,0,0,0,0
"2005","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",11,100,0,0,0,0,0
"2007","2459010","1060","MONTRÉAL","SAINTE-JULIE V",5,100,0,0,0,0,0
"2007","2470022","1060","MONTRÉAL","BEAUHARNOIS V",1,100,0,0,0,0,0
"2007","4806016","0140","CALGARY","CALGARY CY",32,100,0,0,0,0,0
"2015","2470022","1060","MONTRÉAL","BEAUHARNOIS V",2,50,50,0,0,0,3.5
"2021","4811062","0340","EDMONTON","ST. ALBERT CY",NA,NA,NA,NA,NA,NA,NA
"2022","2460013","1060","MONTRÉAL","REPENTIGNY V",7,71.428571428571,28.571428571429,0,0,0,2.71428571428571
"1989","3543012","2270","TORONTO","MONO T",1,100,0,0,0,0,2
"1993","2463250","1060",NA,NA,1,100,0,0,0,0,0
"1993","2472210","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",1,0,100,0,0,0,5
"2000","2457030","1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,0
"2000","5915043","2410","VANCOUVER","PORT MOODY CY",1,0,100,0,0,0,4
"2002","2473025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",3,100,0,0,0,0,0
"2003","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",2,100,0,0,0,0,1.5
"2008","4806021","0140","CALGARY","AIRDRIE CY",3,100,0,0,0,0,0
"2010","2471083","1060","MONTRÉAL","SAINT-JEAN-SUR-RICHELIEU V",14,100,0,0,0,0,0.642857142857143
"2011","5915025","2410","VANCOUVER","BURNABY CY",8,12.5,87.5,0,0,0,4.25
"2013","4810066","0340","EDMONTON","BON ACCORD T",1,100,0,0,0,0,0
"2013","5915022","2410","VANCOUVER","VANCOUVER CY",26,30.769230769231,34.615384615385,26.923076923077,3.846153846154,3.846153846154,7.88461538461539
"2014","4806016","0140","CALGARY","CALGARY CY",67,67.164179104478,19.402985074627,7.462686567164,2.985074626866,2.985074626866,3.65671641791045
"2015","4806019","0140","CALGARY","COCHRANE T",3,33.333333333333,66.666666666667,0,0,0,3.33333333333333
"2018","3521010","2270","TORONTO","BRAMPTON CY",11,100,0,0,0,0,3
"2018","3543007","2270","TORONTO","NEW TECUMSETH T",2,0,100,0,0,0,4
"2019","2467015","1060","MONTRÉAL","BLAINVILLE V",7,85.714285714286,14.285714285714,0,0,0,2.71428571428571
