,ACAVA31RR
1992-01-01,5.3
1993-01-01,5.5
1994-01-01,4.5
1995-01-01,3.2
1996-01-01,1.3
1997-01-01,0.5
1998-01-01,0.5
1999-01-01,3.0
2000-01-01,1.3
2001-01-01,1.0
2002-01-01,2.6
2003-01-01,3.9
2004-01-01,3.4
2005-01-01,1.4
2006-01-01,0.5
2007-01-01,1.5
2008-01-01,1.9
2009-01-01,4.9
2010-01-01,3.0
2011-01-01,1.8
2012-01-01,1.1
2013-01-01,1.0
2014-01-01,1.3
2015-01-01,4.9
2016-01-01,6.2
2017-01-01,5.8
2018-01-01,3.6
2019-01-01,3.5
2020-01-01,6.8
2021-01-01,5.1
2022-01-01,2.8
2023-01-01,1.5
2024-01-01,4.7
