"ref_yy","CSDuid","mkttycd","metcode","metro","municipality","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"1988","3506012",2,"1265",NA,NA,2,100,0,0,0,0,0
"1991","4811061",3,"0340","EDMONTON","EDMONTON CY",1,100,0,0,0,0,3
"1992","2456310",2,"1060",NA,NA,1,100,0,0,0,0,3
"1992","2473180",1,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995","2471105",2,"1060","MONTRÉAL","SAINT-LAZARE V",NA,NA,NA,NA,NA,NA,NA
"2001","4806016",3,"0140","CALGARY","CALGARY CY",17,88.235294117647,11.764705882353,0,0,0,0.470588235294118
"2002","2457005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2003","2475017",3,"1060","MONTRÉAL","SAINT-JÉRÔME V",4,100,0,0,0,0,0
"2006","2472025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,0
"2007","2452007",3,"1060","MONTRÉAL","LAVALTRIE V",1,100,0,0,0,0,0
"2007","2460013",1,"1060","MONTRÉAL","REPENTIGNY V",NA,NA,NA,NA,NA,NA,NA
"2007","3520005",2,"2270","TORONTO","AJAX T",3,100,0,0,0,0,0
"2007","5915075",3,"2410","VANCOUVER","MAPLE RIDGE CY",1,100,0,0,0,0,0
"2011","2459015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",3,100,0,0,0,0,2
"2015","4806021",3,"0140","CALGARY","AIRDRIE CY",2,50,50,0,0,0,3
"2015","5915011",2,"2410","VANCOUVER","DELTA DM",NA,NA,NA,NA,NA,NA,NA
"2017","5915034",2,"2410","VANCOUVER","COQUITLAM CY",1,0,0,0,100,0,29
"2021","2457025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,3
"2021","3519036",2,"2270","TORONTO","MARKHAM CY",NA,NA,NA,NA,NA,NA,NA
"2022","2471100",2,"1060","MONTRÉAL","HUDSON V",1,100,0,0,0,0,3
"1990","2463150",2,"1060",NA,NA,8,100,0,0,0,0,0
"1993","5915039",3,"2410","VANCOUVER","PORT COQUITLAM CY",10,90,10,0,0,0,2.1
"1995","5915029",3,"2410","VANCOUVER","NEW WESTMINSTER CY",4,0,50,25,25,0,12.25
"1996","2458020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2000","2458010",1,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,100,0,0,0,0,0
"2000","2464015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,100,0,0,0,0,0
"2000","2467015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2001","5915051",2,"2410","VANCOUVER","NORTH VANCOUVER CY",1,0,100,0,0,0,4
"2003","2473030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,0
"2003","5915022",3,"2410","VANCOUVER","VANCOUVER CY",11,9.090909090909,72.727272727273,9.090909090909,9.090909090909,0,7.18181818181818
"2004","2473030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"2006","2464015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",8,100,0,0,0,0,1.375
"2006","2466023",1,"1060","MONTRÉAL","MONTRÉAL V",NA,NA,NA,NA,NA,NA,NA
"2006","5915055",3,"2410","VANCOUVER","WEST VANCOUVER DM",1,0,0,100,0,0,9
"2008","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",27,100,0,0,0,0,0
"2009","3520005",2,"2270","TORONTO","AJAX T",NA,NA,NA,NA,NA,NA,NA
"2010","3506008",2,"1265","OTTAWA","OTTAWA CV",2,100,0,0,0,0,0
"2012","5915001",3,"2410","VANCOUVER","LANGLEY DM",2,0,100,0,0,0,4.5
"2013","2471033",2,"1060","MONTRÉAL","BOUCHERVILLE V",5,100,0,0,0,0,2
"2015","2471100",2,"1060","MONTRÉAL","HUDSON V",1,100,0,0,0,0,3
"2020","2464015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,100,0,0,0,0,3
"2022","2472005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"1993","5915007",3,"2410","VANCOUVER","WHITE ROCK CY",2,100,0,0,0,0,1.5
"1999","4811062",3,"0340","EDMONTON","ST. ALBERT CY",1,100,0,0,0,0,0
"2000","2457035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2001","2464010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,100,0,0,0,0,0
"2001","2466040",3,"1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,0
"2007","2467030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",2,100,0,0,0,0,0
"2007","2471033",2,"1060","MONTRÉAL","BOUCHERVILLE V",1,100,0,0,0,0,0
"2007","5915039",3,"2410","VANCOUVER","PORT COQUITLAM CY",11,63.636363636364,36.363636363636,0,0,0,3.36363636363636
"2008","2467050",2,"1060","MONTRÉAL","CHÂTEAUGUAY V",2,100,0,0,0,0,0
"2011","3506008",3,"1265","OTTAWA","OTTAWA CV",20,100,0,0,0,0,0
"2013","5915020",2,"2410","VANCOUVER","GREATER VANCOUVER A RDA",2,0,0,100,0,0,11
"2018","2456083",3,"1060","MONTRÉAL","SAINT-JEAN-SUR-RICHELIEU V",1,100,0,0,0,0,3
"2020","2473015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",4,75,25,0,0,0,3
"2021","2474005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",3,66.666666666667,33.333333333333,0,0,0,3.33333333333333
"1989","2465260",1,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991","2465260",3,"1060",NA,NA,24,100,0,0,0,0,0
"1992","2462240",3,"1060",NA,NA,1,100,0,0,0,0,0
"1992","5915004",2,"2410","VANCOUVER","SURREY CY",1,100,0,0,0,0,0
"1994","3524001",2,"2270","TORONTO","PICKERING CY",1,0,100,0,0,0,4
"2001","4811016",3,"0340","EDMONTON","LEDUC CY",3,66.666666666667,33.333333333333,0,0,0,1.66666666666667
"2002","3524001",3,"2270","TORONTO","PICKERING CY",2,100,0,0,0,0,0
"2008","2457005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2009","2460013",1,"1060","MONTRÉAL","REPENTIGNY V",NA,NA,NA,NA,NA,NA,NA
"2011","2466142",3,"1060","MONTRÉAL","DOLLARD-DES ORMEAUX V",1,100,0,0,0,0,0
