"ref_yy","CSDuid","metcode","metro","first_value(muni)","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"1998","3521005","2270","TORONTO","AJAX T",1,0,0,100,0,0,36
"1999","2457015","1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,0,100,0,0,30
"1999","2474005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,0,100,0,0,40
"1999","3520005","2270","TORONTO","AJAX T",34,8.823529411765,5.882352941176,26.470588235294,14.705882352941,44.117647058824,114.323529411765
"2002","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"2003","5915004","2410","VANCOUVER","SURREY CY",4,0,0,75,25,0,50
"2009","2473015","1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,12
"2013","2460005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,100,0,0,0,0,5
"2018","2467045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",4,0,100,0,0,0,13
"1990","5913011","2410","VANCOUVER","DELTA DM",12,8.333333333333,58.333333333333,33.333333333333,0,0,20.4166666666667
"1992","2456310","1060",NA,NA,1,100,0,0,0,0,4
"1992","2463250","1060",NA,NA,1,0,100,0,0,0,12
"1993","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",1,0,0,0,100,0,100
"1996","4811061","0340","EDMONTON","EDMONTON CY",1,0,0,100,0,0,39
"2005","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",11,27.272727272727,72.727272727273,0,0,0,7.27272727272727
"2007","2459010","1060","MONTRÉAL","DEUX-MONTAGNES V",5,0,80,20,0,0,9.2
"2007","2470022","1060","MONTRÉAL","BEAUHARNOIS V",1,0,100,0,0,0,6
"2007","4806016","0140","CALGARY","CALGARY CY",32,15.625,37.5,18.75,12.5,15.625,51.125
"2015","2470022","1060","MONTRÉAL","BEAUHARNOIS V",2,0,100,0,0,0,16
"2021","4811062","0340","EDMONTON","ST. ALBERT CY",NA,NA,NA,NA,NA,NA,NA
"2022","2460013","1060","MONTRÉAL","REPENTIGNY V",7,14.285714285714,42.857142857143,28.571428571429,14.285714285714,0,20.7142857142857
"1989","3543012","2270","TORONTO","MONO T",1,0,100,0,0,0,6
"1993","2463250","1060",NA,NA,1,0,100,0,0,0,12
"1993","2472210","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",1,0,0,0,0,100,131
"2000","2457030","1060","MONTRÉAL","BOIS-DES-FILION V",1,0,100,0,0,0,8
"2000","5915043","2410","VANCOUVER","PORT MOODY CY",1,0,100,0,0,0,20
"2002","2473025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",3,0,100,0,0,0,12
"2003","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",2,0,100,0,0,0,6
"2008","4806021","0140","CALGARY","AIRDRIE CY",3,0,33.333333333333,0,33.333333333333,33.333333333333,69.3333333333333
"2010","2471083","1060","MONTRÉAL","VAUDREUIL-DORION V",14,0,92.857142857143,7.142857142857,0,0,11.1428571428571
"2011","5915025","2410","VANCOUVER","BURNABY CY",8,0,25,37.5,37.5,0,45.75
"2013","4810066","0340","EDMONTON","BRUDERHEIM T",1,0,0,100,0,0,31
"2013","5915022","2410","VANCOUVER","VANCOUVER CY",26,11.538461538462,23.076923076923,26.923076923077,11.538461538462,26.923076923077,69.6538461538462
"2014","4806016","0140","CALGARY","CALGARY CY",67,19.402985074627,19.402985074627,28.358208955224,17.910447761194,14.925373134328,52.865671641791
"2015","4806019","0140","CALGARY","COCHRANE T",3,33.333333333333,0,66.666666666667,0,0,35.6666666666667
"2018","3521010","2270","TORONTO","BRAMPTON CY",11,0,72.727272727273,27.272727272727,0,0,16.0909090909091
"2018","3543007","2270","TORONTO","NEW TECUMSETH T",2,0,0,100,0,0,58
"2019","2467015","1060","MONTRÉAL","SAINT-AMABLE MÉ",7,42.857142857143,14.285714285714,42.857142857143,0,0,14.4285714285714
"2020","3521024","2270","TORONTO","CALEDON T",1,0,0,0,100,0,72
"2022","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",5,0,20,20,0,60,103.8
"1990","2465420","1060",NA,NA,8,0,100,0,0,0,6.75
"1992","2462110","1060",NA,NA,1,0,0,100,0,0,60
"1993","2465700","1060",NA,NA,3,0,100,0,0,0,7.66666666666667
"1993","5911025","2410","VANCOUVER","BURNABY CY",7,14.285714285714,28.571428571429,57.142857142857,0,0,26.2857142857143
"2002","2474005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,100,0,0,0,0,4
"2003","2472025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",2,0,100,0,0,0,6
"2008","5915004","2410","VANCOUVER","SURREY CY",15,0,0,33.333333333333,33.333333333333,33.333333333333,106.2
"2009","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",4,0,75,25,0,0,18
"2009","4806016","0140","CALGARY","CALGARY CY",3,100,0,0,0,0,4.33333333333333
"2013","2467050","1060","MONTRÉAL","CHÂTEAUGUAY V",6,50,50,0,0,0,8.66666666666667
"2015","2473005","1060","MONTRÉAL","SAINT-COLOMBAN V",4,0,100,0,0,0,6
"2017","3524009","2270","TORONTO","MILTON T",1,0,0,0,100,0,75
"1996","5915004","2410","VANCOUVER","SURREY CY",12,8.333333333333,16.666666666667,58.333333333333,16.666666666667,0,34
"2004","2470022","1060","MONTRÉAL","BEAUHARNOIS V",1,0,0,100,0,0,21
"2005","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",2,50,0,50,0,0,17
"2008","3502036","1265","OTTAWA","CLARENCE-ROCKLAND C",1,0,0,100,0,0,34
"2008","3524009","2270","TORONTO","MILTON T",1,0,0,100,0,0,56
"2014","2473030","1060","MONTRÉAL","BOIS-DES-FILION V",1,0,100,0,0,0,6
"2014","5915022","2410","VANCOUVER","VANCOUVER CY",23,8.695652173913,13.04347826087,43.478260869565,26.086956521739,8.695652173913,53.5217391304348
