"ref_yy","CSDuid","mkttycd","metcode","metro","first_value(muni)","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"1988","3506012",2,"1265",NA,NA,2,0,0,0,100,0,67
"1991","4811061",3,"0340","EDMONTON","EDMONTON CY",1,0,100,0,0,0,20
"1992","2456310",2,"1060",NA,NA,1,100,0,0,0,0,4
"1992","2473180",1,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995","2471105",2,"1060","MONTRÉAL","SAINT-LAZARE V",NA,NA,NA,NA,NA,NA,NA
"2001","4806016",3,"0140","CALGARY","CALGARY CY",17,5.882352941176,23.529411764706,35.294117647059,17.647058823529,17.647058823529,52.8823529411765
"2002","2457005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2003","2475017",3,"1060","MONTRÉAL","SAINT-JÉRÔME V",4,25,75,0,0,0,5.5
"2006","2472025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,0,100,0,0,0,6
"2007","2452007",3,"1060","MONTRÉAL","LAVALTRIE V",1,0,100,0,0,0,6
"2007","2460013",1,"1060","MONTRÉAL","REPENTIGNY V",NA,NA,NA,NA,NA,NA,NA
"2007","3520005",2,"2270","TORONTO","AJAX T",3,0,0,66.666666666667,0,33.333333333333,93.6666666666667
"2007","5915075",3,"2410","VANCOUVER","MAPLE RIDGE CY",1,0,0,0,100,0,62
"2011","2459015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",3,0,100,0,0,0,7.33333333333333
"2015","4806021",3,"0140","CALGARY","AIRDRIE CY",2,0,50,0,0,50,71
"2015","5915011",2,"2410","VANCOUVER","DELTA DM",NA,NA,NA,NA,NA,NA,NA
"2017","5915034",2,"2410","VANCOUVER","COQUITLAM CY",1,0,0,100,0,0,60
"2021","2457025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,0,100,0,0,0,20
"2021","3519036",2,"2270","TORONTO","MARKHAM CY",NA,NA,NA,NA,NA,NA,NA
"2022","2471100",2,"1060","MONTRÉAL","HUDSON V",1,0,100,0,0,0,20
"1990","2463150",2,"1060",NA,NA,8,25,75,0,0,0,7.75
"1993","5915039",3,"2410","VANCOUVER","PORT COQUITLAM CY",10,10,40,50,0,0,25.5
"1995","5915029",3,"2410","VANCOUVER","NEW WESTMINSTER CY",4,0,0,50,0,50,80
"1996","2458020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2000","2458010",1,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,12
"2000","2464015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,6
"2000","2467015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2001","5915051",2,"2410","VANCOUVER","NORTH VANCOUVER CY",1,0,0,100,0,0,42
"2003","2473030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",1,0,100,0,0,0,6
"2003","5915022",3,"2410","VANCOUVER","VANCOUVER CY",11,0,18.181818181818,45.454545454545,18.181818181818,18.181818181818,55.3636363636364
"2004","2473030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"2006","2464015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",8,0,100,0,0,0,8.5
"2006","2466023",1,"1060","MONTRÉAL","MONTRÉAL V",NA,NA,NA,NA,NA,NA,NA
"2006","5915055",3,"2410","VANCOUVER","WEST VANCOUVER DM",1,0,100,0,0,0,9
"2008","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",27,22.222222222222,66.666666666667,3.703703703704,0,7.407407407407,27.7777777777778
"2009","3520005",2,"2270","TORONTO","AJAX T",NA,NA,NA,NA,NA,NA,NA
"2010","3506008",2,"1265","OTTAWA","OTTAWA CV",2,0,100,0,0,0,9
"2012","5915001",3,"2410","VANCOUVER","LANGLEY DM",2,0,0,0,0,100,116
"2013","2471033",2,"1060","MONTRÉAL","BOUCHERVILLE V",5,60,40,0,0,0,5.6
"2015","2471100",2,"1060","MONTRÉAL","HUDSON V",1,0,100,0,0,0,20
"2020","2464015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,18
"2022","2472005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"1993","5915007",3,"2410","VANCOUVER","WHITE ROCK CY",2,0,0,50,0,50,69.5
"1999","4811062",3,"0340","EDMONTON","ST. ALBERT CY",1,0,0,100,0,0,39
"2000","2457035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2001","2464010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,16
"2001","2466040",3,"1060","MONTRÉAL","BELOEIL V",1,0,100,0,0,0,8
"2007","2467030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",2,0,100,0,0,0,15.5
"2007","2471033",2,"1060","MONTRÉAL","BOUCHERVILLE V",1,0,100,0,0,0,6
"2007","5915039",3,"2410","VANCOUVER","PORT COQUITLAM CY",11,0,45.454545454545,27.272727272727,27.272727272727,0,36.4545454545455
"2008","2467050",2,"1060","MONTRÉAL","CHÂTEAUGUAY V",2,0,100,0,0,0,12
"2011","3506008",3,"1265","OTTAWA","OTTAWA CV",20,0,90,0,5,5,24.3
"2013","5915020",2,"2410","VANCOUVER","GREATER VANCOUVER A RDA",2,0,0,0,0,100,140.5
"2018","2456083",3,"1060","MONTRÉAL","VAUDREUIL-DORION V",1,0,100,0,0,0,6
"2020","2473015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",4,25,75,0,0,0,8
"2021","2474005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",3,0,100,0,0,0,13.3333333333333
"1989","2465260",1,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991","2465260",3,"1060",NA,NA,24,29.166666666667,70.833333333333,0,0,0,7.5
"1992","2462240",3,"1060",NA,NA,1,100,0,0,0,0,4
"1992","5915004",2,"2410","VANCOUVER","SURREY CY",1,0,0,0,100,0,70
"1994","3524001",2,"2270","TORONTO","PICKERING CY",1,0,0,100,0,0,59
"2001","4811016",3,"0340","EDMONTON","LEDUC CY",3,0,0,100,0,0,31
"2002","3524001",3,"2270","TORONTO","PICKERING CY",2,0,0,100,0,0,56
"2008","2457005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2009","2460013",1,"1060","MONTRÉAL","REPENTIGNY V",NA,NA,NA,NA,NA,NA,NA
"2011","2466142",3,"1060","MONTRÉAL","DOLLARD DES ORMEAUX V",1,0,100,0,0,0,12
"2013","2460020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",1,0,100,0,0,0,6
"2013","3520005",2,"2270","TORONTO","AJAX T",NA,NA,NA,NA,NA,NA,NA
"2013","5915004",3,"2410","VANCOUVER","SURREY CY",8,0,0,75,25,0,49
"2015","4811056",2,"0340","EDMONTON","FORT SASKATCHEWAN CY",1,0,0,100,0,0,48
"2017","2473035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",5,60,40,0,0,0,4.8
"2020","2467015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,100,0,0,0,0,4
"2020","4806016",2,"0140","CALGARY","CALGARY CY",2,0,0,0,50,50,107.5
"2021","4811061",2,"0340","EDMONTON","EDMONTON CY",26,50,26.923076923077,3.846153846154,11.538461538462,7.692307692308,26.8076923076923
"1990","2452550",2,"1060",NA,NA,1,0,100,0,0,0,6
"1990","2465220",2,"1060",NA,NA,2,0,0,0,50,50,130
"1994","2457030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",1,0,100,0,0,0,12
"1998","2467015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,6
"2000","2473010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"2001","2464005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2003","2467030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",2,0,100,0,0,0,6
"2003","5915025",3,"2410","VANCOUVER","BURNABY CY",2,0,0,100,0,0,23
"2005","4811052",3,"0340","EDMONTON","STRATHCONA COUNTY SM",1,0,0,0,0,100,158
"2006","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",37,27.027027027027,72.972972972973,0,0,0,7.83783783783784
"2009","2466058",3,"1060","MONTRÉAL","CÔTE SAINT-LUC V",1,0,0,100,0,0,24
"2011","2467030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",2,0,100,0,0,0,13
"2013","2473030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",4,0,100,0,0,0,12.25
"2013","2473035",2,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,0,0,100,0,0,40
"2016","2471025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,0,100,0,0,0,6
"2017","3524001",2,"2270","TORONTO","PICKERING CY",1,0,0,0,0,100,284
"2018","4806019",2,"0140","CALGARY","COCHRANE T",NA,NA,NA,NA,NA,NA,NA
"2019","2458007",3,"1060","MONTRÉAL","LAVALTRIE V",16,12.5,56.25,6.25,6.25,18.75,53.875
