reference_period,ref_qq,metro,metcode,dweltype,mkttycd,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
2006-03-01,1,Calgary,0140,5.0,3.0,4780.0,78,61.28,0.0,42.33
2006-06-01,2,Calgary,0140,5.0,3.0,5517.0,88,62.69,3.33,48.52
2006-06-01,2,Calgary,0140,2.0,1.0,634.0,317,2.0,0.0,5.58
2006-06-01,2,Calgary,0140,5.0,2.0,87.0,1,87.0,0.0,0.77
2006-06-01,2,Calgary,0140,2.0,3.0,196.0,98,2.0,0.0,1.72
2006-06-01,2,Calgary,0140,4.0,1.0,19.0,6,3.17,0.0,0.17
2006-06-01,2,Calgary,0140,4.0,3.0,925.0,167,5.54,0.01,8.13
2006-06-01,2,Calgary,0140,1.0,3.0,7.0,7,1.0,0.0,0.06
2006-06-01,2,Calgary,0140,5.0,1.0,3.0,2,1.5,0.0,0.03
2006-06-01,2,Calgary,0140,1.0,1.0,5983.0,5983,1.0,0.0,52.61
2006-09-01,3,Calgary,0140,2.0,1.0,690.0,345,2.0,0.0,6.03
2006-09-01,3,Calgary,0140,4.0,3.0,1022.0,178,5.74,0.01,8.93
2006-09-01,3,Calgary,0140,2.0,3.0,178.0,89,2.0,0.0,1.56
2006-09-01,3,Calgary,0140,5.0,1.0,1.0,1,1.0,0.0,0.01
2006-09-01,3,Calgary,0140,5.0,2.0,147.0,2,73.5,0.0,1.29
2006-09-01,3,Calgary,0140,5.0,3.0,5698.0,91,62.62,3.62,49.82
2006-09-01,3,Calgary,0140,1.0,3.0,6.0,6,1.0,0.0,0.05
2006-09-01,3,Calgary,0140,4.0,1.0,4.0,1,4.0,0.0,0.03
2006-09-01,3,Calgary,0140,1.0,1.0,6442.0,6442,1.0,0.0,56.32
2006-12-01,4,Calgary,0140,2.0,1.0,772.0,386,2.0,0.0,6.7
2006-12-01,4,Calgary,0140,4.0,3.0,1161.0,203,5.72,0.0,10.08
2006-12-01,4,Calgary,0140,1.0,3.0,7.0,7,1.0,0.0,0.06
2006-12-01,4,Calgary,0140,5.0,3.0,5550.0,92,60.33,2.5,48.19
2006-12-01,4,Calgary,0140,5.0,2.0,188.0,3,62.67,0.0,1.63
2006-12-01,4,Calgary,0140,4.0,1.0,12.0,3,4.0,0.0,0.1
2006-12-01,4,Calgary,0140,2.0,3.0,148.0,74,2.0,0.0,1.29
2006-12-01,4,Calgary,0140,1.0,1.0,6485.0,6485,1.0,0.0,56.31
2006-12-01,4,Calgary,0140,5.0,1.0,1.0,1,1.0,0.0,0.01
2007-03-01,1,Calgary,0140,1.0,3.0,7.0,7,1.0,0.0,0.06
2007-03-01,1,Calgary,0140,4.0,1.0,12.0,3,4.0,0.0,0.1
2007-03-01,1,Calgary,0140,4.0,3.0,1184.0,205,5.78,0.0,10.21
