reference_period,metro,metcode,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
2013,Winnipeg,2680,3896.0,1305,2.99,0.15,50.22
2014,Winnipeg,2680,4555.0,1421,3.21,0.2,58.09
2015,Winnipeg,2680,4606.0,1198,3.84,0.24,57.64
2016,Winnipeg,2680,3988.0,1204,3.31,0.18,48.89
2017,Winnipeg,2680,5121.0,1618,3.17,0.16,61.68
2018,Winnipeg,2680,5374.0,1426,3.77,0.22,63.72
2019,Winnipeg,2680,5753.0,1293,4.45,0.27,67.72
2020,Winnipeg,2680,6193.0,1256,4.93,0.29,72.24
2021,Winnipeg,2680,7029.0,1917,3.67,0.17,80.82
2022,Winnipeg,2680,8128.0,2355,3.45,0.17,91.55
2023,Winnipeg,2680,7947.0,1625,4.89,0.27,86.84
