reference_period,metro,metcode,dweltype,mkttycd,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
1994,Calgary,0140,5.0,3.0,601.0,25,24.04,0.0,7.32
1994,Calgary,0140,4.0,1.0,54.0,9,6.0,0.0,0.66
1994,Calgary,0140,4.0,2.0,4.0,1,4.0,0.0,0.05
1994,Calgary,0140,2.0,1.0,116.0,58,2.0,0.0,1.41
1994,Calgary,0140,1.0,1.0,1315.0,1315,1.0,0.0,16.03
1994,Calgary,0140,2.0,3.0,134.0,67,2.0,0.0,1.63
1995,Calgary,0140,1.0,1.0,1474.0,1474,1.0,0.0,17.55
1995,Calgary,0140,2.0,3.0,146.0,73,2.0,0.0,1.74
1995,Calgary,0140,2.0,1.0,80.0,40,2.0,0.0,0.95
1995,Calgary,0140,4.0,3.0,559.0,112,4.99,0.0,6.66
1995,Calgary,0140,5.0,1.0,4.0,1,4.0,0.0,0.05
1995,Calgary,0140,4.0,1.0,63.0,15,4.2,0.0,0.75
1995,Calgary,0140,5.0,3.0,529.0,16,33.06,0.0,6.3
1996,Calgary,0140,4.0,2.0,3.0,1,3.0,0.0,0.03
1996,Calgary,0140,5.0,2.0,6.0,1,6.0,0.0,0.07
1996,Calgary,0140,5.0,1.0,5.0,1,5.0,0.0,0.06
1996,Calgary,0140,2.0,3.0,136.0,68,2.0,0.0,1.57
1996,Calgary,0140,4.0,1.0,20.0,4,5.0,0.0,0.23
1996,Calgary,0140,5.0,3.0,512.0,21,24.38,0.0,5.9
1996,Calgary,0140,4.0,3.0,423.0,96,4.41,0.0,4.88
1996,Calgary,0140,1.0,3.0,1.0,1,1.0,0.0,0.01
1996,Calgary,0140,2.0,1.0,90.0,45,2.0,0.0,1.04
1996,Calgary,0140,1.0,1.0,1983.0,1983,1.0,0.0,22.86
1996,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.02
1997,Calgary,0140,1.0,3.0,11.0,11,1.0,0.0,0.12
1997,Calgary,0140,4.0,3.0,729.0,162,4.5,0.0,8.1
1997,Calgary,0140,2.0,1.0,150.0,75,2.0,0.0,1.67
1997,Calgary,0140,5.0,3.0,986.0,33,29.88,0.0,10.96
