reference_period,metro,metcode,stcan_cmacode,censustr,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
2009,Calgary,0140,825,0041.00,161.0,8,20.13,0.0,1.3
2009,Calgary,0140,825,0050.01,2.0,2,1.0,0.0,0.02
2009,Calgary,0140,825,0064.00,10.0,9,1.11,0.0,0.08
2009,Calgary,0140,825,0021.00,71.0,11,6.45,0.0,0.57
2009,Calgary,0140,825,0204.03,2.0,2,1.0,0.0,0.02
2009,Calgary,0140,825,0034.00,310.0,10,31.0,0.6,2.5
2009,Calgary,0140,825,0042.00,898.0,5,179.6,12.0,7.26
2009,Calgary,0140,825,0001.21,71.0,63,1.13,0.0,0.57
2009,Calgary,0140,825,0001.26,167.0,12,13.92,0.0,1.35
2009,Calgary,0140,825,0023.00,43.0,32,1.34,0.0,0.35
2009,Calgary,0140,825,0035.02,142.0,1,142.0,3.0,1.15
2009,Calgary,0140,825,0001.27,170.0,154,1.1,0.0,1.37
2009,Calgary,0140,825,0038.29,29.0,29,1.0,0.0,0.23
2009,Calgary,0140,825,0072.00,34.0,15,2.27,0.0,0.27
2009,Calgary,0140,825,0050.03,7.0,6,1.17,0.0,0.06
2009,Calgary,0140,825,0065.00,4.0,2,2.0,0.0,0.03
2009,Calgary,0140,825,0030.00,376.0,8,47.0,0.0,3.04
2009,Calgary,0140,825,0050.04,288.0,199,1.45,0.0,2.33
2009,Calgary,0140,825,0058.00,18.0,14,1.29,0.0,0.15
2009,Calgary,0140,825,0066.01,2.0,1,2.0,0.0,0.02
2009,Calgary,0140,825,0207.00,118.0,98,1.2,0.0,0.95
2010,Calgary,0140,825,0021.00,72.0,11,6.55,0.0,0.57
2010,Calgary,0140,825,0048.00,20.0,3,6.67,0.0,0.16
2010,Calgary,0140,825,0055.00,25.0,25,1.0,0.0,0.2
2010,Calgary,0140,825,0204.03,2.0,2,1.0,0.0,0.02
2010,Calgary,0140,825,0206.03,15.0,15,1.0,0.0,0.12
2010,Calgary,0140,825,0205.01,52.0,52,1.0,0.0,0.41
2010,Calgary,0140,825,0205.03,6.0,5,1.2,0.0,0.05
2010,Calgary,0140,825,0029.00,29.0,26,1.12,0.0,0.23
2010,Calgary,0140,825,0046.02,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0008.00,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0035.01,8.0,8,1.0,0.0,0.06
2010,Calgary,0140,825,0043.00,272.0,1,272.0,24.0,2.16
2010,Calgary,0140,825,0052.08,10.0,10,1.0,0.0,0.08
2010,Calgary,0140,825,0070.00,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0019.00,6.0,4,1.5,0.0,0.05
2010,Calgary,0140,825,0054.00,24.0,19,1.26,0.0,0.19
2010,Calgary,0140,825,0001.07,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0022.00,56.0,32,1.75,0.0,0.44
2010,Calgary,0140,825,0049.01,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0001.21,119.0,68,1.75,0.0,0.94
2010,Calgary,0140,825,0027.00,14.0,11,1.27,0.27,0.11
2010,Calgary,0140,825,0051.00,14.0,10,1.4,0.0,0.11
2010,Calgary,0140,825,0044.00,520.0,2,260.0,28.0,4.13
2010,Calgary,0140,825,0046.02,5.0,5,1.0,0.0,0.04
2010,Calgary,0140,825,0059.00,9.0,8,1.13,0.0,0.07
2010,Calgary,0140,825,0060.00,36.0,9,4.0,0.0,0.29
2010,Calgary,0140,825,0039.00,4.0,2,2.0,0.0,0.03
2010,Calgary,0140,825,0052.04,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0053.00,29.0,13,2.23,0.0,0.23
2010,Calgary,0140,825,0077.11,3.0,3,1.0,0.0,0.02
2010,Calgary,0140,825,0205.03,188.0,64,2.94,0.0,1.49
2010,Calgary,0140,825,0206.01,163.0,105,1.55,0.0,1.29
2010,Calgary,0140,825,0031.00,200.0,1,200.0,36.0,1.59
2010,Calgary,0140,825,0064.00,24.0,18,1.33,0.0,0.19
2010,Calgary,0140,825,0006.00,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0032.00,15.0,15,1.0,0.0,0.12
2010,Calgary,0140,825,0002.04,149.0,18,8.28,0.0,1.18
2010,Calgary,0140,825,0026.00,9.0,3,3.0,0.0,0.07
2010,Calgary,0140,825,0050.05,66.0,60,1.1,0.0,0.52
2010,Calgary,0140,825,0058.00,10.0,9,1.11,0.0,0.08
2010,Calgary,0140,825,0077.15,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0201.02,25.0,25,1.0,0.0,0.2
2010,Calgary,0140,825,0023.00,61.0,47,1.3,0.0,0.48
2010,Calgary,0140,825,0056.00,46.0,30,1.53,0.0,0.37
2010,Calgary,0140,825,0206.02,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0042.00,217.0,1,217.0,42.0,1.72
2010,Calgary,0140,825,0020.00,35.0,18,1.94,0.0,0.28
2010,Calgary,0140,825,0025.00,50.0,25,2.0,0.12,0.4
2010,Calgary,0140,825,0028.00,15.0,15,1.0,0.0,0.12
2010,Calgary,0140,825,0063.00,35.0,28,1.25,0.0,0.28
2010,Calgary,0140,825,0076.11,10.0,5,2.0,0.0,0.08
2010,Calgary,0140,825,0007.04,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0076.10,520.0,229,2.27,0.02,4.13
2010,Calgary,0140,825,0001.27,81.0,81,1.0,0.0,0.64
2010,Calgary,0140,825,0002.13,788.0,584,1.35,0.0,6.25
2010,Calgary,0140,825,0206.03,253.0,196,1.29,0.0,2.01
2010,Calgary,0140,825,0034.00,188.0,10,18.8,0.0,1.49
2010,Calgary,0140,825,0036.02,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0038.29,11.0,11,1.0,0.0,0.09
2010,Calgary,0140,825,0057.00,125.0,24,5.21,0.13,0.99
2010,Calgary,0140,825,0061.00,2.0,2,1.0,0.0,0.02
2010,Calgary,0140,825,0074.00,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0204.03,3.0,3,1.0,0.0,0.02
2010,Calgary,0140,825,0030.00,326.0,10,32.6,1.4,2.59
