reference_period,stcan_cmacode,metro,metcode,FSA,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
1988,825,Calgary,0140,nan,2480.0,,,2122,1.17,0.02,5.7632379793061475,1.0
1989,825,Calgary,0140,nan,5014.0,,,4697,1.07,0.0,4.482085732565579,0.0
1990,825,Calgary,0140,nan,7508.0,,,6764,1.11,0.0,4.90970894412577,0.0
1990,825,Calgary,0140,,1.0,,,1,1.0,0.0,,1.0
1991,825,Calgary,0140,nan,5065.0,,,4204,1.2,0.0,4.766712770862148,0.0
1992,825,Calgary,0140,nan,6509.0,,,5858,1.11,0.0,4.8069353327085285,0.0
1993,825,Calgary,0140,nan,6286.0,,,5486,1.15,0.0,4.513857466063349,0.0
1994,825,Calgary,0140,nan,6823.0,,,5903,1.16,0.0,4.761320240043644,0.0
1995,825,Calgary,0140,nan,5674.0,,,4493,1.26,0.0,5.18486795146324,0.0
1996,825,Calgary,0140,nan,6781.0,,,5636,1.2,0.0,5.1600871222433975,0.0
1997,825,Calgary,0140,nan,9185.0,,,7970,1.15,0.0,4.58130081300813,0.0
1998,825,Calgary,0140,nan,12111.0,,,9972,1.21,0.0,4.481125270497715,0.0
1999,825,Calgary,0140,nan,9648.0,,,7564,1.28,0.01,4.6322341857335125,0.0
1999,825,Calgary,0140,,7.0,,,7,1.0,0.0,7.833333333333333,1.0
2000,825,Calgary,0140,nan,10719.0,,,7302,1.47,0.03,5.038774787535411,0.0
2000,825,Calgary,0140,,10.0,,,9,1.11,0.0,6.888888888888889,2.0
2001,825,Calgary,0140,nan,11080.0,,,7391,1.5,0.02,4.797841020608439,0.0
2002,825,Calgary,0140,nan,12627.0,,,9025,1.4,0.02,4.91593567251462,0.0
2002,825,Calgary,0140,,3.0,,,3,1.0,0.0,12.666666666666666,8.0
2003,825,Calgary,0140,,1.0,,,1,1.0,0.0,8.0,25.0
2003,825,Calgary,0140,nan,14286.0,,,9678,1.48,0.02,5.278576094056173,0.0
2004,825,Calgary,0140,nan,13014.0,,,8992,1.45,0.0,5.4839827874731055,0.0
2005,825,Calgary,0140,nan,12814.0,,,8661,1.48,0.0,5.412414131501472,0.0
2006,825,Calgary,0140,T2C,549.0,,,185,2.97,0.0,6.497267759562842,1.0
2006,825,Calgary,0140,T1Y,1.0,,,1,1.0,0.0,,0.0
2006,825,Calgary,0140,T3B,16.0,,,11,1.45,0.0,12.0,3.0
2006,825,Calgary,0140,T2Y,91.0,,,75,1.21,0.0,8.293333333333333,2.0
2006,825,Calgary,0140,T2S,16.0,,,16,1.0,0.0,14.75,1.0
2006,825,Calgary,0140,T3C,18.0,,,14,1.29,0.0,10.928571428571429,0.0
2006,825,Calgary,0140,T2R,512.0,,,2,256.0,23.5,25.5,3.0
2006,825,Calgary,0140,T3A,2.0,,,2,1.0,0.0,12.5,0.0
2006,825,Calgary,0140,T2E,359.0,,,71,5.06,0.13,10.814285714285715,1.0
2006,825,Calgary,0140,T2G,375.0,,,12,31.25,3.67,13.5,1.0
2006,825,Calgary,0140,T2H,64.0,,,9,7.11,0.0,12.444444444444445,1.0
2006,825,Calgary,0140,T2V,29.0,,,22,1.32,0.0,12.727272727272727,0.0
2006,825,Calgary,0140,T3E,460.0,,,94,4.89,0.04,9.542553191489361,1.0
2006,825,Calgary,0140,T2J,1.0,,,1,1.0,0.0,9.0,0.0
2006,825,Calgary,0140,T2P,124.0,,,1,124.0,0.0,20.0,8.0
2006,825,Calgary,0140,T2L,3.0,,,3,1.0,0.0,11.666666666666666,1.0
2006,825,Calgary,0140,T2T,204.0,,,108,1.89,0.13,11.14018691588785,1.0
2006,825,Calgary,0140,T2W,18.0,,,3,6.0,0.0,11.333333333333334,11.0
2006,825,Calgary,0140,T3H,1.0,,,1,1.0,0.0,19.0,0.0
2006,825,Calgary,0140,T2B,16.0,,,4,4.0,0.0,16.25,5.0
2006,825,Calgary,0140,nan,9629.0,,,8063,1.19,0.0,5.848016225123589,1.0
