reference_period,metro,metcode,stcan_cmacode,censustr,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
2001,Calgary,0140,825,0024.00,80.0,,,3,26.67,1.0,17.333333333333332,3.0
2001,Calgary,0140,825,0073.00,5.0,,,1,5.0,0.0,6.0,0.0
2001,Calgary,0140,825,0076.05,60.0,,,3,20.0,1.0,8.333333333333334,1.0
2001,Calgary,0140,825,0002.03,155.0,,,23,6.74,0.0,6.695652173913044,3.0
2001,Calgary,0140,825,0050.02,106.0,,,20,5.3,0.0,6.15,1.0
2001,Calgary,0140,825,0001.06,10.0,,,2,5.0,0.0,7.5,8.0
2001,Calgary,0140,825,0051.00,10.0,,,1,10.0,3.0,5.0,1.0
2001,Calgary,0140,825,0206.00,86.0,,,19,4.53,0.0,8.947368421052632,1.0
2001,Calgary,0140,825,0031.00,52.0,,,2,26.0,2.0,15.0,9.0
2001,Calgary,0140,825,0062.00,6.0,,,1,6.0,0.0,9.0,0.0
2001,Calgary,0140,825,0030.00,150.0,,,4,37.5,2.5,13.25,1.0
2001,Calgary,0140,825,0060.00,39.0,,,10,3.9,0.0,12.4,-4.0
2001,Calgary,0140,825,0001.08,49.0,,,7,7.0,0.43,12.142857142857142,0.0
2001,Calgary,0140,825,0029.00,10.0,,,1,10.0,3.0,12.0,0.0
2001,Calgary,0140,825,0038.19,7.0,,,2,3.5,0.0,15.0,6.0
2001,Calgary,0140,825,0001.12,517.0,,,8,64.63,1.38,9.0,1.0
2001,Calgary,0140,825,0002.01,61.0,,,13,4.69,0.0,6.583333333333333,0.0
2001,Calgary,0140,825,0205.00,27.0,,,6,4.5,0.0,6.5,0.0
2001,Calgary,0140,825,0021.00,43.0,,,3,14.33,0.0,10.666666666666666,0.0
2001,Calgary,0140,825,0033.02,8.0,,,1,8.0,0.0,7.0,0.0
2001,Calgary,0140,825,0045.00,112.0,,,2,56.0,5.5,17.0,1.0
2001,Calgary,0140,825,0022.00,224.0,,,10,22.4,0.4,8.222222222222221,1.0
2001,Calgary,0140,825,0076.07,34.0,,,7,4.86,0.0,9.285714285714286,1.0
2001,Calgary,0140,825,0001.03,3.0,,,1,3.0,0.0,8.0,17.0
2001,Calgary,0140,825,0049.03,19.0,,,4,4.75,0.0,16.0,3.0
2001,Calgary,0140,825,0038.12,120.0,,,2,60.0,3.0,7.5,2.0
2001,Calgary,0140,825,0000.00,7497.0,,,7143,1.05,0.0,4.619120654396728,0.0
2001,Calgary,0140,825,0046.01,156.0,,,1,156.0,25.0,24.0,5.0
2001,Calgary,0140,825,0017.02,34.0,,,9,3.78,0.0,8.666666666666666,0.0
2001,Calgary,0140,825,0035.01,58.0,,,2,29.0,3.0,7.5,0.0
2001,Calgary,0140,825,0044.00,6.0,,,1,6.0,3.0,4.0,21.0
2001,Calgary,0140,825,0049.02,4.0,,,1,4.0,0.0,6.0,0.0
2001,Calgary,0140,825,0038.09,12.0,,,2,6.0,0.0,6.5,6.0
2001,Calgary,0140,825,0050.01,15.0,,,2,7.5,1.5,6.5,1.0
2001,Calgary,0140,825,0056.00,7.0,,,2,3.5,1.0,12.5,1.0
2001,Calgary,0140,825,0034.00,61.0,,,11,5.55,0.27,6.363636363636363,0.0
2001,Calgary,0140,825,0077.08,24.0,,,6,4.0,0.0,17.166666666666668,1.0
2001,Calgary,0140,825,0059.00,30.0,,,2,15.0,1.5,14.5,1.0
2001,Calgary,0140,825,0052.05,140.0,,,11,12.73,0.55,6.818181818181818,2.0
2001,Calgary,0140,825,0058.00,39.0,,,2,19.5,2.0,13.0,0.0
2001,Calgary,0140,825,0074.00,4.0,,,1,4.0,0.0,21.0,7.0
2001,Calgary,0140,825,0077.09,167.0,,,19,8.79,0.32,7.526315789473684,0.0
2001,Calgary,0140,825,0020.00,12.0,,,3,4.0,2.0,8.0,0.0
2001,Calgary,0140,825,0042.00,145.0,,,1,145.0,4.0,13.0,1.0
2001,Calgary,0140,825,0002.02,214.0,,,2,107.0,4.0,11.0,2.0
2001,Calgary,0140,825,0076.08,4.0,,,1,4.0,0.0,7.0,0.0
2001,Calgary,0140,825,0001.02,66.0,,,2,33.0,4.0,8.0,2.0
