reference_period,ref_qq,stcan_cmacode,metro,metcode,FSA,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
1993-10-01,4,825,Calgary,0140,nan,1750.0,,,1470,1.19,0.0,4.81038374717833,0.0
1994-03-01,1,825,Calgary,0140,nan,1289.0,,,1104,1.17,0.0,4.749024707412223,0.0
1994-05-01,2,825,Calgary,0140,nan,2070.0,,,1673,1.24,0.0,4.993933265925177,0.0
1994-07-01,3,825,Calgary,0140,nan,2063.0,,,1896,1.09,0.0,4.5119363395225465,0.0
1994-12-01,4,825,Calgary,0140,nan,1401.0,,,1230,1.14,0.0,4.84041184041184,0.0
1995-02-01,1,825,Calgary,0140,nan,1077.0,,,860,1.25,0.0,5.073378839590443,0.0
1995-05-01,2,825,Calgary,0140,nan,1330.0,,,1094,1.22,0.0,5.201351351351351,0.0
1995-09-01,3,825,Calgary,0140,nan,1549.0,,,1373,1.13,0.0,5.162874251497006,0.0
1995-12-01,4,825,Calgary,0140,nan,1718.0,,,1166,1.47,0.0,5.296411856474259,0.0
1996-01-01,1,825,Calgary,0140,nan,1053.0,,,981,1.07,0.0,5.227080394922426,0.0
1996-05-01,2,825,Calgary,0140,nan,1603.0,,,1287,1.25,0.0,5.7552941176470584,0.0
1996-09-01,3,825,Calgary,0140,nan,2139.0,,,1785,1.2,0.0,4.841951219512195,0.0
1996-11-01,4,825,Calgary,0140,nan,1986.0,,,1583,1.25,0.0,4.951331496786042,1.0
1997-01-01,1,825,Calgary,0140,nan,1567.0,,,1274,1.23,0.0,4.649621212121212,0.0
1997-05-01,2,825,Calgary,0140,nan,2143.0,,,1923,1.11,0.0,4.395275590551181,0.0
1997-08-01,3,825,Calgary,0140,nan,2881.0,,,2560,1.13,0.0,4.611741489886532,0.0
1997-12-01,4,825,Calgary,0140,nan,2594.0,,,2213,1.17,0.0,4.6382860322760155,0.0
1998-02-01,1,825,Calgary,0140,nan,2260.0,,,1882,1.2,0.0,4.395657418576598,0.0
1998-05-01,2,825,Calgary,0140,nan,3092.0,,,2395,1.29,0.0,4.289714593430264,0.0
1998-08-01,3,825,Calgary,0140,nan,3453.0,,,3022,1.14,0.0,4.551036370746969,0.0
1998-11-01,4,825,Calgary,0140,nan,3306.0,,,2673,1.24,0.01,4.6228851291184325,0.0
1999-01-01,1,825,Calgary,0140,nan,2141.0,,,1874,1.14,0.01,4.504283965728274,0.0
1999-04-01,2,825,Calgary,0140,nan,2200.0,,,1773,1.24,0.01,4.575598802395209,0.0
1999-09-01,3,825,Calgary,0140,nan,2505.0,,,1990,1.26,0.01,4.6460905349794235,0.0
1999-12-01,4,825,Calgary,0140,,7.0,,,7,1.0,0.0,7.833333333333333,1.0
1999-12-01,4,825,Calgary,0140,nan,2802.0,,,1927,1.45,0.03,4.806728232189974,0.0
2000-01-01,1,825,Calgary,0140,nan,2207.0,,,1478,1.49,0.04,4.971830985915493,0.0
2000-01-01,1,825,Calgary,0140,,6.0,,,6,1.0,0.0,7.333333333333333,3.0
2000-05-01,2,825,Calgary,0140,nan,3094.0,,,1889,1.64,0.02,5.404494382022472,0.0
2000-06-01,2,825,Calgary,0140,,4.0,,,3,1.33,0.0,6.0,0.0
2000-07-01,3,825,Calgary,0140,nan,2834.0,,,2134,1.33,0.02,4.92713567839196,0.0
2000-10-01,4,825,Calgary,0140,nan,2584.0,,,1801,1.43,0.03,4.854736842105263,0.0
2001-01-01,1,825,Calgary,0140,nan,2784.0,,,1545,1.8,0.04,5.167291822955739,0.0
2001-04-01,2,825,Calgary,0140,nan,2817.0,,,1786,1.58,0.04,4.914768552534901,0.0
2001-09-01,3,825,Calgary,0140,nan,2967.0,,,2085,1.42,0.01,4.493413173652694,0.0
2001-12-01,4,825,Calgary,0140,nan,2512.0,,,1975,1.27,0.01,4.716,0.0
2002-01-01,1,825,Calgary,0140,nan,2954.0,,,1865,1.58,0.04,4.953863898500576,0.0
2002-04-01,2,825,Calgary,0140,nan,3046.0,,,2170,1.4,0.02,4.645301466594242,0.0
2002-06-01,2,825,Calgary,0140,,3.0,,,3,1.0,0.0,12.666666666666666,8.0
