reference_period,stcan_cmacode,metro,metcode,FSA,dweltype,mkttycd,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price
1993,825,Calgary,0140,nan,1.0,1.0,5147.0,,,5147,1.0,0.0,4.243008079552517,0.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,5.0,2.0,89.0,,,4,22.25,0.0,7.75,1.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,5.0,1.0,4.0,,,1,4.0,0.0,3.0,0.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,1.0,3.0,16.0,,,16,1.0,0.0,6.6875,0.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,4.0,4.0,62.0,,,11,5.64,0.0,5.818181818181818,1.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,4.0,2.0,73.0,,,10,7.3,0.0,5.6,1.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,4.0,3.0,518.0,,,119,4.35,0.0,8.851851851851851,1.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,2.0,1.0,206.0,,,103,2.0,0.0,6.541666666666667,0.0,,,,,,,,,,,
1993,825,Calgary,0140,nan,2.0,3.0,130.0,,,65,2.0,0.0,6.26984126984127,1.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,2.0,3.0,122.0,,,61,2.0,0.0,12.363636363636363,2.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,1.0,1.0,5583.0,,,5583,1.0,0.0,4.371707605800533,0.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,1.0,3.0,1.0,,,1,1.0,0.0,,0.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,2.0,2.0,14.0,,,7,2.0,0.0,7.857142857142857,2.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,4.0,3.0,661.0,,,144,4.59,0.0,9.188976377952756,2.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,4.0,1.0,31.0,,,5,6.2,0.0,11.8,1.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,5.0,3.0,119.0,,,11,10.82,0.0,13.5,-1.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,4.0,2.0,118.0,,,4,29.5,0.0,8.0,3.0,,,,,,,,,,,
1994,825,Calgary,0140,nan,2.0,1.0,174.0,,,87,2.0,0.0,7.0375,0.0,,,,,,,,,,,
1995,825,Calgary,0140,nan,5.0,3.0,557.0,,,14,39.79,0.0,11.714285714285714,1.0,,,,,,,,,,,
1995,825,Calgary,0140,nan,2.0,3.0,128.0,,,64,2.0,0.0,7.766666666666667,1.0,,,,,,,,,,,
1995,825,Calgary,0140,nan,4.0,2.0,28.0,,,3,9.33,0.0,5.666666666666667,1.0,,,,,,,,,,,
1995,825,Calgary,0140,nan,5.0,2.0,55.0,,,2,27.5,0.0,9.0,1.0,,,,,,,,,,,
1995,825,Calgary,0140,nan,4.0,1.0,46.0,,,7,6.57,0.0,11.142857142857142,1.0,,,,,,,,,,,
1995,825,Calgary,0140,nan,2.0,1.0,130.0,,,65,2.0,0.0,8.1,1.0,,,,,,,,,,,
1995,825,Calgary,0140,nan,1.0,1.0,4222.0,,,4222,1.0,0.0,4.777340676632573,0.0,,,,,,,,,,,
1995,825,Calgary,0140,nan,4.0,3.0,508.0,,,116,4.38,0.0,10.131578947368421,2.0,,,,,,,,,,,
1996,825,Calgary,0140,nan,5.0,2.0,6.0,,,1,6.0,0.0,3.0,0.0,,,,,,,,,,,
1996,825,Calgary,0140,nan,2.0,1.0,130.0,,,65,2.0,0.0,8.75,1.0,,,,,,,,,,,
1996,825,Calgary,0140,nan,5.0,3.0,523.0,,,13,40.23,0.0,12.846153846153847,1.0,,,,,,,,,,,
1996,825,Calgary,0140,nan,1.0,3.0,3.0,,,3,1.0,0.0,4.0,5.0,,,,,,,,,,,
1996,825,Calgary,0140,nan,1.0,1.0,5347.0,,,5347,1.0,0.0,4.526486168334315,0.0,,,,,,,,,,,
1996,825,Calgary,0140,nan,2.0,3.0,162.0,,,81,2.0,0.0,13.772151898734178,2.0,,,,,,,,,,,
1996,825,Calgary,0140,nan,4.0,3.0,552.0,,,112,4.93,0.0,14.82882882882883,2.0,,,,,,,,,,,
1996,825,Calgary,0140,nan,4.0,1.0,58.0,,,14,4.14,0.0,12.428571428571429,2.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,2.0,1.0,202.0,,,101,2.0,0.0,6.612244897959184,0.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,2.0,3.0,218.0,,,109,2.0,0.0,9.39622641509434,3.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,1.0,1.0,7563.0,,,7563,1.0,0.0,4.302155771905424,0.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,4.0,2.0,8.0,,,2,4.0,0.0,8.0,2.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,5.0,1.0,6.0,,,2,3.0,0.0,14.0,0.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,2.0,2.0,2.0,,,1,2.0,0.0,9.0,0.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,4.0,1.0,20.0,,,4,5.0,0.0,14.75,0.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,4.0,3.0,631.0,,,145,4.35,0.0,9.083916083916083,3.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,1.0,3.0,21.0,,,21,1.0,0.0,5.714285714285714,3.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,5.0,3.0,496.0,,,19,26.11,0.0,13.263157894736842,2.0,,,,,,,,,,,
1997,825,Calgary,0140,nan,5.0,2.0,18.0,,,3,6.0,0.0,5.333333333333333,1.0,,,,,,,,,,,
1998,825,Calgary,0140,nan,4.0,2.0,9.0,,,2,4.5,0.0,5.0,4.0,,,,,,,,,,,
1998,825,Calgary,0140,nan,5.0,3.0,1114.0,,,39,28.56,0.54,9.512820512820513,2.0,,,,,,,,,,,
1998,825,Calgary,0140,nan,2.0,3.0,240.0,,,120,2.0,0.0,7.758928571428571,2.0,,,,,,,,,,,
1998,825,Calgary,0140,nan,4.0,3.0,894.0,,,202,4.43,0.0,7.8606965174129355,2.0,,,,,,,,,,,
1998,825,Calgary,0140,nan,5.0,1.0,7.0,,,2,3.5,0.0,3.5,3.0,,,,,,,,,,,
