reference_period,ref_qq,metcode,metro,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,population,comp_per_10kpop
2005-09-01,3,0140,Calgary,15640.0,,,9372,1.67,0.0,5.290654205607477,0.36,1120692.72,139.56
2006-07-01,3,0140,Calgary,12732.0,,,9860,1.29,0.01,6.275290215588723,0.85,1151604.22,110.56
2006-10-01,4,0140,Calgary,15488.0,,,9160,1.69,0.04,6.949033391915641,0.85,1151604.22,134.49
2006-04-01,2,0140,Calgary,12324.0,,,8460,1.46,0.0,5.599804782820888,0.62,1151604.22,107.02
2006-03-01,1,0140,Calgary,10216.0,,,7872,1.3,0.0,5.815296566077003,0.5,1151604.22,88.71
2007-03-01,1,0140,Calgary,10888.0,,,8664,1.26,0.0,7.840919755983107,1.0,1183363.88,92.01
2007-05-01,2,0140,Calgary,16216.0,,,11052,1.47,0.01,7.777049180327869,0.88,1183363.88,137.03
2007-08-01,3,0140,Calgary,13160.0,,,9648,1.36,0.01,7.8793969849246235,0.89,1183363.88,111.21
2007-10-01,4,0140,Calgary,12184.0,,,10060,1.21,0.01,8.098314606741573,0.76,1183363.88,102.96
2008-11-01,4,0140,Calgary,13888.0,,,6068,2.29,0.05,8.543360433604336,0.66,1217803.53,114.04
2008-01-01,1,0140,Calgary,16476.0,,,10204,1.61,0.03,8.491906829846032,0.79,1217803.53,135.29
2008-04-01,2,0140,Calgary,13196.0,,,7608,1.73,0.02,8.106044538706257,0.78,1217803.53,108.36
2008-07-01,3,0140,Calgary,13220.0,,,7020,1.88,0.0,8.086226851851851,0.74,1217803.53,108.56
2009-10-01,4,0140,Calgary,7500.0,,,5660,1.33,0.01,6.563984674329502,0.84,1237706.53,60.6
2009-01-01,1,0140,Calgary,8072.0,,,4628,1.74,0.01,7.751531058617672,0.74,1237706.53,65.22
2009-04-01,2,0140,Calgary,8560.0,,,4848,1.77,0.01,7.6445012787723785,0.81,1237706.53,69.16
2009-09-01,3,0140,Calgary,8820.0,,,4528,1.95,0.01,8.654142581888246,0.98,1237706.53,71.26
2010-04-01,2,0140,Calgary,10140.0,,10140.0,7236,1.4,0.0,5.80503144654088,0.84,1259794.84,80.49
2010-03-01,1,0140,Calgary,8860.0,,8860.0,4884,1.81,0.01,6.863900414937759,1.19,1259794.84,70.33
2010-07-01,3,0140,Calgary,13084.0,,13084.0,7460,1.75,0.08,6.0397759103641455,0.78,1259794.84,103.86
2010-11-01,4,0140,Calgary,11880.0,,11880.0,8268,1.44,0.03,6.372173058013766,0.45,1259794.84,94.3
2011-04-01,2,0140,Calgary,7324.0,,7324.0,5624,1.3,0.01,6.199698568198945,0.69,1294993.91,56.56
2011-09-01,3,0140,Calgary,7968.0,,7968.0,5544,1.44,0.01,6.103964098728497,0.65,1294993.91,61.53
2011-03-01,1,0140,Calgary,6224.0,,6224.0,4324,1.44,0.01,6.582551594746716,0.63,1294993.91,48.06
2011-12-01,4,0140,Calgary,9240.0,,9240.0,6452,1.43,0.01,6.371029224904701,0.61,1294993.91,71.35
2012-07-01,3,0140,Calgary,9672.0,,9672.0,6532,1.48,0.03,6.163029525032092,0.42,1339347.88,72.21
2012-01-01,1,0140,Calgary,8168.0,,8168.0,5160,1.58,0.02,6.90612569610183,0.45,1339347.88,60.98
2012-12-01,4,0140,Calgary,10680.0,,10680.0,6396,1.67,0.02,6.815355329949239,0.42,1339347.88,79.74
2012-04-01,2,0140,Calgary,9852.0,,9852.0,6392,1.54,0.03,6.330729166666667,0.46,1339347.88,73.56
2013-05-01,2,0140,Calgary,14944.0,,14944.0,6992,2.14,0.06,6.534310850439883,0.44,1382962.75,108.06
2013-11-01,4,0140,Calgary,13244.0,,13244.0,8208,1.61,0.04,6.950425638457687,0.4,1382962.75,95.77
2013-02-01,1,0140,Calgary,8916.0,,8916.0,5608,1.59,0.03,6.807272727272728,0.37,1382962.75,64.47
2013-09-01,3,0140,Calgary,11120.0,,11120.0,7444,1.49,0.03,6.353778751369113,0.35,1382962.75,80.41
2014-07-01,3,0140,Calgary,12176.0,,12176.0,8152,1.49,0.02,6.670318725099602,0.48,1410896.5,86.3
2014-02-01,1,0140,Calgary,15128.0,,15128.0,6660,2.27,0.08,7.159021406727828,0.39,1410896.5,107.22
2014-04-01,2,0140,Calgary,13456.0,,13456.0,6856,1.96,0.07,6.799057159693577,0.38,1410896.5,95.37
2014-10-01,4,0140,Calgary,14252.0,,14252.0,8288,1.72,0.04,7.029126213592233,0.41,1410896.5,101.01
2015-05-01,2,0140,Calgary,15888.0,,15888.0,6824,2.33,0.09,7.215182307232516,0.58,1435513.81,110.68
2015-02-01,1,0140,Calgary,12556.0,,12556.0,6624,1.9,0.05,7.563868613138686,0.48,1435513.81,87.47
2015-08-01,3,0140,Calgary,14936.0,,14936.0,6764,2.21,0.09,7.591127098321343,0.49,1435513.81,104.05
2015-10-01,4,0140,Calgary,14792.0,,14792.0,6716,2.2,0.06,8.049546827794561,0.47,1435513.81,103.04
