reference_period,metro,metcode,dweltype,mkttycd,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price,population,comp_per_10kpop
1993,Calgary,0140,4.0,1.0,8.0,,,2,4.0,0.0,13.5,0.5,,,,,,,,,,,,803617.45,0.1
1993,Calgary,0140,5.0,3.0,27.0,,,5,5.4,0.0,5.8,0.4,,,,,,,,,,,,803617.45,0.34
1993,Calgary,0140,1.0,1.0,5147.0,,,5147,1.0,0.0,4.243008079552517,0.21,,,,,,,,,,,,803617.45,64.05
1993,Calgary,0140,5.0,2.0,89.0,,,4,22.25,0.0,7.75,1.25,,,,,,,,,,,,803617.45,1.11
1993,Calgary,0140,4.0,3.0,518.0,,,119,4.35,0.0,8.851851851851851,0.98,,,,,,,,,,,,803617.45,6.45
1993,Calgary,0140,1.0,3.0,16.0,,,16,1.0,0.0,6.6875,0.13,,,,,,,,,,,,803617.45,0.2
1993,Calgary,0140,2.0,1.0,206.0,,,103,2.0,0.0,6.541666666666667,0.16,,,,,,,,,,,,803617.45,2.56
1993,Calgary,0140,2.0,3.0,130.0,,,65,2.0,0.0,6.26984126984127,0.71,,,,,,,,,,,,803617.45,1.62
1993,Calgary,0140,4.0,4.0,62.0,,,11,5.64,0.0,5.818181818181818,1.27,,,,,,,,,,,,803617.45,0.77
1993,Calgary,0140,5.0,1.0,4.0,,,1,4.0,0.0,3.0,0.0,,,,,,,,,,,,803617.45,0.05
1993,Calgary,0140,2.0,2.0,6.0,,,3,2.0,0.0,5.5,0.67,,,,,,,,,,,,803617.45,0.07
1993,Calgary,0140,4.0,2.0,73.0,,,10,7.3,0.0,5.6,1.4,,,,,,,,,,,,803617.45,0.91
1994,Calgary,0140,4.0,2.0,118.0,,,4,29.5,0.0,8.0,2.5,,,,,,,,,,,,820531.9,1.44
1994,Calgary,0140,2.0,2.0,14.0,,,7,2.0,0.0,7.857142857142857,1.57,,,,,,,,,,,,820531.9,0.17
1994,Calgary,0140,1.0,3.0,1.0,,,1,1.0,0.0,,0.0,,,,,,,,,,,,820531.9,0.01
1994,Calgary,0140,4.0,3.0,661.0,,,144,4.59,0.0,9.188976377952756,2.03,,,,,,,,,,,,820531.9,8.06
1994,Calgary,0140,2.0,3.0,122.0,,,61,2.0,0.0,12.363636363636363,1.62,,,,,,,,,,,,820531.9,1.49
1994,Calgary,0140,4.0,1.0,31.0,,,5,6.2,0.0,11.8,1.2,,,,,,,,,,,,820531.9,0.38
1994,Calgary,0140,2.0,1.0,174.0,,,87,2.0,0.0,7.0375,0.45,,,,,,,,,,,,820531.9,2.12
1994,Calgary,0140,1.0,1.0,5583.0,,,5583,1.0,0.0,4.371707605800533,0.25,,,,,,,,,,,,820531.9,68.04
1994,Calgary,0140,5.0,3.0,119.0,,,11,10.82,0.0,13.5,-0.64,,,,,,,,,,,,820531.9,1.45
1995,Calgary,0140,2.0,3.0,128.0,,,64,2.0,0.0,7.766666666666667,0.72,,,,,,,,,,,,839716.2,1.52
1995,Calgary,0140,5.0,2.0,55.0,,,2,27.5,0.0,9.0,1.0,,,,,,,,,,,,839716.2,0.65
1995,Calgary,0140,4.0,3.0,508.0,,,116,4.38,0.0,10.131578947368421,2.31,,,,,,,,,,,,839716.2,6.05
1995,Calgary,0140,1.0,1.0,4222.0,,,4222,1.0,0.0,4.777340676632573,0.21,,,,,,,,,,,,839716.2,50.28
1995,Calgary,0140,4.0,1.0,46.0,,,7,6.57,0.0,11.142857142857142,1.0,,,,,,,,,,,,839716.2,0.55
1995,Calgary,0140,5.0,3.0,557.0,,,14,39.79,0.0,11.714285714285714,1.07,,,,,,,,,,,,839716.2,6.63
1995,Calgary,0140,4.0,2.0,28.0,,,3,9.33,0.0,5.666666666666667,1.0,,,,,,,,,,,,839716.2,0.33
1995,Calgary,0140,2.0,1.0,130.0,,,65,2.0,0.0,8.1,0.58,,,,,,,,,,,,839716.2,1.55
1996,Calgary,0140,1.0,3.0,3.0,,,3,1.0,0.0,4.0,5.0,,,,,,,,,,,,867371.68,0.03
1996,Calgary,0140,1.0,1.0,5347.0,,,5347,1.0,0.0,4.526486168334315,0.32,,,,,,,,,,,,867371.68,61.65
1996,Calgary,0140,4.0,3.0,552.0,,,112,4.93,0.0,14.82882882882883,2.46,,,,,,,,,,,,867371.68,6.36
1996,Calgary,0140,4.0,1.0,58.0,,,14,4.14,0.0,12.428571428571429,1.64,,,,,,,,,,,,867371.68,0.67
1996,Calgary,0140,5.0,3.0,523.0,,,13,40.23,0.0,12.846153846153847,1.38,,,,,,,,,,,,867371.68,6.03
1996,Calgary,0140,2.0,1.0,130.0,,,65,2.0,0.0,8.75,0.78,,,,,,,,,,,,867371.68,1.5
1996,Calgary,0140,5.0,2.0,6.0,,,1,6.0,0.0,3.0,0.0,,,,,,,,,,,,867371.68,0.07
1996,Calgary,0140,2.0,3.0,162.0,,,81,2.0,0.0,13.772151898734178,1.85,,,,,,,,,,,,867371.68,1.87
1997,Calgary,0140,1.0,3.0,21.0,,,21,1.0,0.0,5.714285714285714,2.81,,,,,,,,,,,,899742.31,0.23
1997,Calgary,0140,4.0,3.0,631.0,,,145,4.35,0.0,9.083916083916083,3.32,,,,,,,,,,,,899742.31,7.01
