reference_period,metcode,metro,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,population,comp_per_10kpop
2014,1490,Regina,3284.0,,3284.0,1486,2.21,0.2,11.372013651877133,-0.2,238746.69,137.55
2015,1490,Regina,2343.0,,2343.0,959,2.44,0.14,11.306722689075631,-0.07,244489.19,95.83
2016,1490,Regina,1796.0,,1796.0,916,1.96,0.15,10.006772009029346,0.17,250498.59,71.7
2017,1490,Regina,1580.0,,1580.0,907,1.74,0.14,8.21564245810056,1.28,255725.09,61.79
2018,1490,Regina,2050.0,44.0,2006.0,815,2.52,0.26,9.378140703517587,0.49,260552.66,78.68
2019,1490,Regina,941.0,28.0,913.0,388,2.43,0.15,8.575916230366492,0.61,263056.66,35.77
2020,1490,Regina,609.0,15.0,594.0,348,1.75,0.23,8.132743362831858,0.44,263924.19,23.07
2021,1490,Regina,871.0,27.0,844.0,511,1.7,0.18,9.4,0.48,267819.44,32.52
2022,1490,Regina,752.0,47.0,705.0,514,1.46,0.09,8.716831683168317,0.41,276267.47,27.22
2023,1490,Regina,867.0,9.0,858.0,355,2.44,0.27,10.565340909090908,0.87,283848.5,30.54
1988,1700,Saskatoon,979.0,,,591,1.66,0.07,5.230769230769231,0.41,216113.54,45.3
1989,1700,Saskatoon,966.0,,,479,2.02,0.04,5.2379518072289155,0.19,215816.65,44.76
1990,1700,Saskatoon,403.0,,,313,1.29,0.02,4.9646464646464645,0.11,217086.47,18.56
1991,1700,Saskatoon,318.0,,,244,1.3,0.02,5.06875,0.36,219336.14,14.5
1992,1700,Saskatoon,427.0,,,335,1.27,0.0,5.313725490196078,0.16,221094.42,19.31
1993,1700,Saskatoon,625.0,,,342,1.83,0.01,4.147465437788019,0.26,222880.12,28.04
1994,1700,Saskatoon,541.0,,,370,1.46,0.04,3.7452471482889735,0.16,226066.8,23.93
1995,1700,Saskatoon,615.0,,,464,1.33,0.07,4.180064308681672,0.12,228510.7,26.91
1996,1700,Saskatoon,922.0,,,653,1.41,0.06,4.621739130434783,0.16,229608.61,40.16
1997,1700,Saskatoon,1126.0,,,759,1.48,0.02,5.085470085470085,0.24,231285.44,48.68
1998,1700,Saskatoon,1315.0,,,805,1.63,0.03,5.5709624796084825,-0.01,232227.48,56.63
1999,1700,Saskatoon,981.0,,,749,1.31,0.0,4.616487455197133,-0.06,232000.6,42.28
2000,1700,Saskatoon,1251.0,,,738,1.7,0.02,5.108433734939759,0.31,232228.6,53.87
2001,1700,Saskatoon,932.0,,,618,1.51,0.0,5.181443298969072,0.06,233960.19,39.84
2002,1700,Saskatoon,1010.0,,,654,1.54,0.01,4.962633451957295,0.15,235521.96,42.88
2003,1700,Saskatoon,1675.0,,,833,2.01,0.01,5.991989319092123,0.18,237924.91,70.4
2004,1700,Saskatoon,1322.0,,,780,1.69,0.0,5.952991452991453,0.17,239407.14,55.22
2005,1700,Saskatoon,1329.0,,,846,1.57,0.0,6.215286624203822,0.07,241473.91,55.04
2006,1700,Saskatoon,1039.0,,,817,1.27,0.0,6.232283464566929,0.04,245414.25,42.34
2007,1700,Saskatoon,1475.0,,,1092,1.35,0.0,6.782775119617225,0.14,250703.94,58.83
2008,1700,Saskatoon,2369.0,,,1704,1.39,0.02,8.809352517985612,0.28,257128.94,92.13
2009,1700,Saskatoon,1872.0,,,1164,1.61,0.01,8.977313974591652,0.52,263793.31,70.96
2010,1700,Saskatoon,2000.0,,2000.0,1544,1.3,0.01,6.704290429042905,0.91,270660.06,73.89
2011,1700,Saskatoon,2520.0,,2520.0,1763,1.43,0.01,6.894043528064147,0.99,279808.06,90.06
2012,1700,Saskatoon,3122.0,,3122.0,1880,1.66,0.04,7.265118790496761,1.12,287148.66,108.72
2013,1700,Saskatoon,3253.0,,3253.0,2008,1.62,0.06,7.1569122098890015,1.26,293539.28,110.82
2014,1700,Saskatoon,2910.0,,2910.0,1888,1.54,0.04,7.459299191374663,1.1,298436.91,97.51
2015,1700,Saskatoon,2663.0,1.0,2662.0,1545,1.72,0.04,7.6577574967405475,0.97,306335.03,86.93
2016,1700,Saskatoon,2954.0,,2954.0,1150,2.57,0.09,8.342651036970244,0.8,314743.47,93.85
2017,1700,Saskatoon,2053.0,,2053.0,1211,1.7,0.04,7.706867671691792,1.6,322234.22,63.71
2018,1700,Saskatoon,1568.0,75.0,1493.0,1128,1.39,0.02,8.091561938958707,1.24,329582.5,47.58
2019,1700,Saskatoon,1563.0,108.0,1455.0,853,1.83,0.08,7.246445497630332,1.09,336365.72,46.47
2020,1700,Saskatoon,1451.0,119.0,1332.0,896,1.62,0.04,7.585778781038375,1.45,339056.94,42.8
2021,1700,Saskatoon,2190.0,159.0,2031.0,1185,1.85,0.05,7.646757679180888,1.56,346142.19,63.27
2022,1700,Saskatoon,2186.0,139.0,2047.0,1113,1.96,0.05,7.8889891696750905,1.26,358698.11,60.94
2023,1700,Saskatoon,2285.0,163.0,2122.0,1107,2.06,0.06,8.704379562043796,2.32,371401.2,61.52
1988,2270,Toronto,20303.0,,,13001,1.56,0.01,7.565050916496945,1.18,3917164.25,51.83
1989,2270,Toronto,39397.0,,,18505,2.13,0.04,7.120869015460658,0.61,3983955.18,98.89
1990,2270,Toronto,27936.0,,,11908,2.35,0.07,9.121478873239436,0.74,4024230.39,69.42
1991,2270,Toronto,26007.0,,,10381,2.51,0.1,8.185431184668989,1.76,4088768.17,63.61
1992,2270,Toronto,22402.0,,,10853,2.06,0.05,8.356393029603192,1.57,4140645.05,54.1
1993,2270,Toronto,19827.0,,,9626,2.06,0.06,6.348360655737705,2.12,4218289.04,47.0
1994,2270,Toronto,17375.0,,,10323,1.68,0.04,6.255198487712666,1.96,4300396.52,40.4
1995,2270,Toronto,15835.0,,,9237,1.71,0.06,6.849166768033086,1.29,4382926.91,36.13
1996,2270,Toronto,18422.0,,,9787,1.88,0.05,6.882927403223909,2.04,4475011.36,41.17
1997,2270,Toronto,23342.0,,,14234,1.64,0.03,6.018738941611709,1.41,4562392.82,51.16
1998,2270,Toronto,21482.0,,,13930,1.54,0.04,6.38058053320713,0.63,4642956.2,46.27
1999,2270,Toronto,29847.0,,,18318,1.63,0.02,6.579770920698504,0.82,4742345.3,62.94
2000,2270,Toronto,33740.0,,,19007,1.78,0.03,6.677327274845625,0.71,4867120.12,69.32
2001,2270,Toronto,37138.0,,,23395,1.59,0.03,6.579200240228217,0.95,4992213.18,74.39
2002,2270,Toronto,45170.0,,,23979,1.88,0.04,5.934169099547771,0.78,5073780.26,89.03
2003,2270,Toronto,38644.0,,,21126,1.83,0.03,6.4089950437625225,1.08,5156167.9,74.95
2004,2270,Toronto,39620.0,,,22364,1.77,0.02,6.907568969582646,1.08,5237275.8,75.65
2005,2270,Toronto,39296.0,,,19716,1.99,0.02,7.0762435587338315,1.1,5324050.69,73.81
2006,2270,Toronto,38121.0,,,17391,2.19,0.03,7.500692645907366,1.4,5405200.53,70.53
2007,2270,Toronto,30357.0,,,16443,1.85,0.03,7.377198532202961,1.14,5490496.22,55.29
2008,2270,Toronto,36258.0,,,15932,2.28,0.05,8.174793601651187,1.38,5576892.34,65.01
2009,2270,Toronto,28356.0,,,10798,2.63,0.08,8.963623951628632,1.7,5670081.03,50.01
2010,2270,Toronto,31393.0,,31393.0,11374,2.76,0.11,8.141960494738786,1.82,5757332.41,54.53
2011,2270,Toronto,33831.0,,33831.0,10716,3.16,0.12,8.711525189786059,1.78,5842797.0,57.9
2012,2270,Toronto,31907.0,,31907.0,12810,2.49,0.09,9.197627501613944,1.78,5922947.75,53.87
2013,2270,Toronto,33708.0,,33708.0,11910,2.83,0.11,9.486196844993142,1.76,5992282.34,56.25
2014,2270,Toronto,29213.0,4.0,29209.0,11269,2.59,0.09,9.905874863586758,2.03,6036308.06,48.4
2015,2270,Toronto,46384.0,4.0,46380.0,9157,5.07,0.33,9.357581167019971,1.82,6113865.56,75.87
2016,2270,Toronto,34613.0,,34613.0,10890,3.18,0.15,10.82122487143525,1.84,6203150.78,55.8
2017,2270,Toronto,37132.0,,37132.0,13919,2.67,0.12,10.63641044501655,3.74,6322286.06,58.73
2018,2270,Toronto,37750.0,1.0,37749.0,11040,3.42,0.16,11.11592462590061,2.96,6451395.44,58.51
2019,2270,Toronto,27410.0,2.0,27408.0,7337,3.74,0.19,11.972140966708455,2.05,6541027.47,41.9
2020,2270,Toronto,30841.0,,30841.0,5727,5.39,0.32,12.635324015247777,2.85,6534311.78,47.2
2021,2270,Toronto,36723.0,,36723.0,6646,5.53,0.35,12.025716045580536,2.21,6630833.66,55.38
2022,2270,Toronto,28955.0,,28955.0,6417,4.51,0.26,12.32727560050569,2.31,6892786.79,42.01
2023,2270,Toronto,43139.0,2.0,43137.0,7504,5.75,0.36,13.633573008849558,3.1,7149426.0,60.34
1988,2410,Vancouver,10292.0,,,5731,1.8,0.1,5.0466744457409565,0.66,1562206.0,65.88
1989,2410,Vancouver,18044.0,,,10657,1.69,0.06,5.3457549857549855,0.3,1602542.22,112.6
1990,2410,Vancouver,19925.0,,,9625,2.07,0.12,5.880786900695017,0.48,1640691.86,121.44
1991,2410,Vancouver,14630.0,,,7022,2.08,0.14,6.018512228260869,0.72,1683577.65,86.9
1992,2410,Vancouver,16487.0,,,8473,1.95,0.11,5.649325888601389,0.58,1726331.88,95.5
1993,2410,Vancouver,19737.0,,,8125,2.43,0.17,5.850443081117928,0.67,1780597.35,110.84
1994,2410,Vancouver,20387.0,,,7684,2.65,0.18,5.850456621004566,0.5,1837066.61,110.98
1995,2410,Vancouver,19837.0,,,6489,3.06,0.22,6.098757023667631,0.55,1898778.65,104.47
1996,2410,Vancouver,13917.0,,,5589,2.49,0.19,6.186415256053139,0.65,1953821.83,71.23
1997,2410,Vancouver,16041.0,,,5861,2.74,0.19,5.930209568999604,0.64,1982404.87,80.92
1998,2410,Vancouver,13927.0,,,4857,2.87,0.22,6.125897558640498,0.75,2009927.38,69.29
1999,2410,Vancouver,11102.0,,,4139,2.68,0.23,5.651830985915493,0.58,2037155.74,54.5
2000,2410,Vancouver,9106.0,,,3862,2.36,0.23,5.9763205828779595,0.62,2071193.06,43.96
2001,2410,Vancouver,8004.0,,,3886,2.06,0.18,6.111508452535761,0.42,2095687.76,38.19
2002,2410,Vancouver,12068.0,,,4886,2.47,0.22,5.560197136822342,0.46,2113272.26,57.11
2003,2410,Vancouver,13394.0,,,6225,2.15,0.2,5.861352410151593,0.46,2130166.64,62.88
2004,2410,Vancouver,14302.0,,,6395,2.24,0.23,6.464468260511129,0.55,2155314.48,66.36
2005,2410,Vancouver,15834.0,,,5865,2.7,0.25,6.843365012319606,0.7,2185166.7,72.46
2006,2410,Vancouver,18072.0,,,6499,2.78,0.29,7.798294997587261,0.84,2212623.72,81.68
2007,2410,Vancouver,17816.0,,,5758,3.09,0.33,8.244998244998245,0.77,2248043.41,79.25
2008,2410,Vancouver,19150.0,,,4886,3.92,0.45,9.344333748443338,0.9,2295908.66,83.41
2009,2410,Vancouver,16788.0,,,4599,3.65,0.47,11.464725643896976,1.03,2340698.16,71.72
2010,2410,Vancouver,16474.0,,16474.0,5414,3.04,0.44,9.04183154324477,1.33,2369558.16,69.52
2011,2410,Vancouver,12919.0,,12919.0,4911,2.63,0.35,9.47330147517141,0.87,2413758.0,53.52
2012,2410,Vancouver,16958.0,,16958.0,5675,2.99,0.56,10.371843095110156,0.86,2453661.88,69.11
2013,2410,Vancouver,18392.0,,18392.0,6534,2.81,0.37,11.264449968924797,-0.15,2502439.06,73.5
2014,2410,Vancouver,17731.0,792.0,16939.0,6186,2.87,0.22,10.513071895424837,0.78,2539789.5,69.81
2015,2410,Vancouver,17346.0,1523.0,15823.0,6574,2.64,0.14,10.220479704797048,0.98,2577770.0,67.29
2016,2410,Vancouver,18148.0,1659.0,16489.0,6794,2.67,0.14,11.038955223880597,0.92,2611912.25,69.48
2017,2410,Vancouver,21806.0,1769.0,20037.0,7355,2.96,0.17,12.74040632054176,2.13,2652526.91,82.21
2018,2410,Vancouver,24555.0,2164.0,22391.0,7952,3.09,0.2,12.264750762970499,1.71,2704459.53,90.79
2019,2410,Vancouver,22603.0,1935.0,20668.0,7032,3.21,0.21,12.734567008818852,1.63,2740702.84,82.47
2020,2410,Vancouver,24039.0,1917.0,22122.0,6513,3.69,0.26,13.642801435033537,1.95,2756901.97,87.2
2021,2410,Vancouver,25229.0,1876.0,23353.0,6111,4.13,0.31,13.257118927973199,2.41,2827421.09,89.23
2022,2410,Vancouver,21440.0,1654.0,19786.0,5127,4.18,0.34,13.298116947472746,1.99,2934407.48,73.06
2023,2410,Vancouver,20797.0,2061.0,18736.0,6098,3.41,0.26,14.00896265560166,2.34,3034528.0,68.53
1988,2440,Victoria,1460.0,,,985,1.48,0.08,4.689349112426036,0.49,283268.49,51.54
1989,2440,Victoria,2660.0,,,1458,1.82,0.16,4.61961503208066,0.25,289992.01,91.73
1990,2440,Victoria,2660.0,,,1440,1.85,0.11,4.887661141804788,0.31,295354.94,90.06
1991,2440,Victoria,2512.0,,,1337,1.88,0.12,6.75635593220339,0.43,300363.65,83.63
1992,2440,Victoria,2316.0,,,1321,1.75,0.16,5.3534002229654405,0.63,304634.67,76.03
1993,2440,Victoria,2443.0,,,1116,2.19,0.23,5.0720092915214865,0.51,309247.32,79.0
1994,2440,Victoria,2557.0,,,991,2.58,0.4,5.685323383084577,0.69,313054.51,81.68
1995,2440,Victoria,1908.0,,,702,2.72,0.29,5.982046678635547,1.05,316577.32,60.27
1996,2440,Victoria,1106.0,,,625,1.77,0.07,6.026200873362446,0.97,318620.25,34.71
1997,2440,Victoria,1245.0,,,745,1.67,0.06,6.208121827411167,0.93,319103.39,39.02
1998,2440,Victoria,1140.0,,,720,1.58,0.01,6.333333333333333,0.37,320423.97,35.58
1999,2440,Victoria,896.0,,,563,1.59,0.02,5.87914691943128,0.28,321445.88,27.87
2000,2440,Victoria,1118.0,,,576,1.94,0.04,5.711453744493392,0.54,325388.32,34.36
2001,2440,Victoria,1028.0,,,615,1.67,0.07,5.552268244575937,0.48,327964.9,31.34
2002,2440,Victoria,1299.0,,,881,1.47,0.06,5.025850340136055,0.28,330513.83,39.3
2003,2440,Victoria,1449.0,,,897,1.62,0.08,5.492167101827676,0.95,332905.17,43.53
2004,2440,Victoria,1867.0,,,1101,1.7,0.08,6.0761421319796955,0.61,336460.36,55.49
2005,2440,Victoria,1873.0,,,1055,1.78,0.09,6.673913043478261,0.5,339382.63,55.19
2006,2440,Victoria,2045.0,,,1014,2.02,0.13,7.1967044284243045,0.46,341758.72,59.84
2007,2440,Victoria,2141.0,,,982,2.18,0.12,8.69022869022869,0.49,343976.75,62.24
2008,2440,Victoria,2149.0,,,944,2.28,0.14,9.134573304157549,0.54,347660.0,61.81
2009,2440,Victoria,2463.0,,,813,3.03,0.22,9.689295039164492,0.86,350969.19,70.18
2010,2440,Victoria,1784.0,,1784.0,1069,1.67,0.05,6.941532258064516,0.79,351424.13,50.76
2011,2440,Victoria,1642.0,,1642.0,894,1.84,0.04,9.045395590142672,0.58,357625.72,45.91
2012,2440,Victoria,1591.0,,1591.0,747,2.13,0.22,8.880658436213992,0.52,364130.69,43.69
2013,2440,Victoria,1465.0,,1465.0,747,1.96,0.39,9.875,0.51,369521.41,39.65
2014,2440,Victoria,1813.0,51.0,1762.0,759,2.39,0.28,8.934336525307797,0.75,375048.81,48.34
2015,2440,Victoria,1765.0,114.0,1651.0,787,2.24,0.14,7.890322580645162,0.56,383797.78,45.99
2016,2440,Victoria,1787.0,189.0,1598.0,1021,1.75,0.09,8.739901477832513,0.73,389897.66,45.83
2017,2440,Victoria,2526.0,270.0,2256.0,1327,1.9,0.1,8.712863705972435,1.45,396024.78,63.78
2018,2440,Victoria,2668.0,187.0,2481.0,1062,2.51,0.16,9.92138063279003,1.33,402702.78,66.25
2019,2440,Victoria,3626.0,262.0,3364.0,1181,3.07,0.17,10.91063829787234,1.33,408794.41,88.7
2020,2440,Victoria,4044.0,205.0,3839.0,1014,3.99,0.27,11.716683119447186,1.12,412649.88,98.0
2021,2440,Victoria,3907.0,246.0,3661.0,1207,3.24,0.22,10.880434782608695,1.15,421449.88,92.7
2022,2440,Victoria,2758.0,211.0,2547.0,1126,2.45,0.12,10.887985546522131,1.16,430221.23,64.11
2023,2440,Victoria,4194.0,206.0,3988.0,1001,4.19,0.29,12.42451874366768,1.19,437320.3,95.9
1988,2680,Winnipeg,2845.0,,,2098,1.36,0.04,5.871351995235259,0.7,665928.95,42.72
1989,2680,Winnipeg,5072.0,,,2418,2.1,0.05,6.066861883845778,0.14,670512.15,75.64
1990,2680,Winnipeg,2970.0,,,2288,1.3,0.03,6.613238512035011,0.41,676292.54,43.92
1991,2680,Winnipeg,1436.0,,,1131,1.27,0.01,6.697815533980583,1.12,678041.23,21.18
1992,2680,Winnipeg,1520.0,,,1228,1.24,0.0,6.696219035202086,0.77,680620.85,22.33
1993,2680,Winnipeg,1627.0,,,1304,1.25,0.01,5.826427771556551,0.54,682176.68,23.85
1994,2680,Winnipeg,1572.0,,,1280,1.23,0.0,5.140861466821886,0.46,685224.26,22.94
1995,2680,Winnipeg,1265.0,,,1027,1.23,0.01,6.9423076923076925,0.21,684295.37,18.49
1996,2680,Winnipeg,678.0,,,502,1.35,0.0,4.883534136546185,0.15,683795.78,9.92
1997,2680,Winnipeg,1750.0,,,1405,1.25,0.0,5.775267538644471,0.28,684487.56,25.57
1998,2680,Winnipeg,1531.0,,,1187,1.29,0.0,4.902757619738752,0.24,687770.69,22.26
1999,2680,Winnipeg,1485.0,,,1078,1.38,0.0,5.862152357920193,0.35,692120.88,21.46
2000,2680,Winnipeg,1487.0,,,1366,1.09,0.0,6.039848197343454,0.35,695482.83,21.38
2001,2680,Winnipeg,1542.0,,,1266,1.22,0.01,5.352392065344224,0.37,699611.33,22.04
2002,2680,Winnipeg,1585.0,,,1328,1.19,0.0,5.090291262135922,0.33,703761.5,22.52
2003,2680,Winnipeg,1949.0,,,1666,1.17,0.0,5.4,0.47,709960.27,27.45
2004,2680,Winnipeg,2468.0,,,1811,1.36,0.0,5.685884691848907,0.68,712822.3,34.62
2005,2680,Winnipeg,2475.0,,,1886,1.31,0.01,5.920512820512821,0.64,715651.02,34.58
2006,2680,Winnipeg,2618.0,,,1821,1.44,0.02,5.521739130434782,0.69,718832.66,36.42
2007,2680,Winnipeg,2590.0,,,1759,1.47,0.02,5.46831955922865,0.73,722117.78,35.87
2008,2680,Winnipeg,3543.0,,,1983,1.79,0.02,6.447004608294931,0.87,728616.41,48.63
2009,2680,Winnipeg,2670.0,,,1682,1.59,0.02,6.034552845528455,1.06,734956.38,36.33
2010,2680,Winnipeg,2388.0,,2388.0,1844,1.3,0.01,5.806471306471306,0.83,744413.44,32.08
2011,2680,Winnipeg,3179.0,,3179.0,1953,1.63,0.03,6.24015748031496,0.76,755814.59,42.06
2012,2680,Winnipeg,3258.0,,3258.0,2010,1.62,0.04,6.66255364806867,0.87,765230.81,42.58
2013,2680,Winnipeg,3891.0,,3891.0,2407,1.62,0.05,6.727514399645547,1.21,775759.53,50.16
2014,2680,Winnipeg,3464.0,,3464.0,1928,1.8,0.06,6.8744565217391305,0.77,784144.75,44.18
2015,2680,Winnipeg,4182.0,,4182.0,2103,1.99,0.08,7.5140503875969,0.92,799158.41,52.33
2016,2680,Winnipeg,4594.0,,4594.0,2029,2.26,0.11,7.077154308617234,0.87,815756.56,56.32
2017,2680,Winnipeg,4337.0,,4337.0,2182,1.99,0.07,6.827683615819209,0.99,830206.0,52.24
2018,2680,Winnipeg,4945.0,13.0,4932.0,2343,2.11,0.08,7.418181818181818,0.73,843356.34,58.63
2019,2680,Winnipeg,4345.0,54.0,4291.0,2095,2.07,0.09,7.687137330754352,0.79,849586.22,51.14
2020,2680,Winnipeg,4653.0,85.0,4568.0,1985,2.34,0.1,7.793904958677686,1.01,857251.75,54.28
2021,2680,Winnipeg,4833.0,64.0,4769.0,1896,2.55,0.13,7.447311827956989,1.21,869726.75,55.57
2022,2680,Winnipeg,4671.0,116.0,4555.0,1897,2.46,0.07,9.66008537886873,1.3,887796.52,52.61
2023,2680,Winnipeg,5680.0,142.0,5538.0,2607,2.18,0.08,10.328167376985665,2.28,915111.5,62.07
