"ref_yy","metcode","metro","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"1999","0140","CALGARY",72,91.666666666667,8.333333333333,0,0,0,0.555555555555556
"1999","0340","EDMONTON",30,100,0,0,0,0,0
"1999","1060","MONTRÉAL",433,98.845265588915,1.154734411085,0,0,0,0.200923787528868
"1999","1265","OTTAWA",12,100,0,0,0,0,0
"1999","2270","TORONTO",85,77.647058823529,3.529411764706,16.470588235294,1.176470588235,1.176470588235,3.04705882352941
"1999","2410","VANCOUVER",70,41.428571428571,41.428571428571,12.857142857143,4.285714285714,0,5.05714285714286
"2000","0140","CALGARY",70,91.428571428571,7.142857142857,1.428571428571,0,0,0.614285714285714
"2000","0340","EDMONTON",37,100,0,0,0,0,0
"2000","1060","MONTRÉAL",407,100,0,0,0,0,0.00737100737100737
"2000","1265","OTTAWA",13,100,0,0,0,0,0
"2000","2270","TORONTO",104,85.576923076923,1.923076923077,10.576923076923,0.961538461538,0.961538461538,2.26923076923077
"2000","2410","VANCOUVER",60,25,56.666666666667,10,6.666666666667,1.666666666667,6.55
"2001","0140","CALGARY",41,95.121951219512,4.878048780488,0,0,0,0.268292682926829
"2001","0340","EDMONTON",57,98.245614035088,1.754385964912,0,0,0,0.140350877192982
"2001","1060",NA,448,100,0,0,0,0,0
"2001","1265","OTTAWA",25,96,4,0,0,0,0.24
"2001","2270","TORONTO",112,79.464285714286,2.678571428571,8.928571428571,7.142857142857,1.785714285714,3.71428571428571
"2001","2410","VANCOUVER",73,20.547945205479,45.205479452055,15.068493150685,17.808219178082,1.369863013699,8.61643835616438
"2002","0140","CALGARY",65,100,0,0,0,0,0.0461538461538462
"2002","0340","EDMONTON",67,98.507462686567,1.492537313433,0,0,0,0.0597014925373134
"2002","1060","MONTRÉAL",895,95.754189944134,3.687150837989,0.558659217877,0,0,0.840223463687151
"2002","1265","OTTAWA",30,96.666666666667,0,3.333333333333,0,0,0.5
"2002","2270","TORONTO",82,79.268292682927,3.658536585366,10.975609756098,3.658536585366,2.439024390244,3.92682926829268
"2002","2410","VANCOUVER",92,26.086956521739,48.913043478261,11.95652173913,8.695652173913,4.347826086957,8.20652173913044
"2003","0140","CALGARY",63,100,0,0,0,0,0
"2003","0340","EDMONTON",74,100,0,0,0,0,0
"2003","1060","MONTRÉAL",1048,99.522900763359,0.381679389313,0,0,0.095419847328,0.220419847328244
"2003","1265","OTTAWA",15,100,0,0,0,0,0
"2003","2270","TORONTO",123,73.983739837398,11.382113821138,8.130081300813,1.626016260163,4.878048780488,3.65040650406504
"2003","2410","VANCOUVER",102,26.470588235294,43.137254901961,15.686274509804,10.78431372549,3.921568627451,8.67647058823529
"2004","0140","CALGARY",67,100,0,0,0,0,0
"2004","0340","EDMONTON",65,87.692307692308,9.230769230769,3.076923076923,0,0,0.876923076923077
"2004","1060","MONTRÉAL",1234,99.35170178282,0.162074554295,0.32414910859,0,0.162074554295,0.247163695299838
"2004","1265","OTTAWA",30,96.666666666667,0,3.333333333333,0,0,0.4
"2004","2270","TORONTO",100,81,3,12,2,2,3.16
"2004","2410","VANCOUVER",135,22.222222222222,44.444444444444,17.777777777778,12.592592592593,2.962962962963,8.68888888888889
"2005","0140","CALGARY",64,100,0,0,0,0,0
"2005","0340","EDMONTON",70,94.285714285714,5.714285714286,0,0,0,0.385714285714286
"2005","1060","MONTRÉAL",1103,99.184043517679,0.271985494107,0.543970988214,0,0,0.154125113327289
"2005","1265","OTTAWA",20,100,0,0,0,0,0
"2005","2270","TORONTO",134,63.432835820896,8.208955223881,14.925373134328,6.716417910448,6.716417910448,6.87313432835821
"2005","2410","VANCOUVER",142,23.239436619718,41.549295774648,19.718309859155,10.56338028169,4.929577464789,9.25352112676056
"2006","0140","CALGARY",76,96.052631578947,1.315789473684,1.315789473684,1.315789473684,0,0.644736842105263
"2006","0340","EDMONTON",63,98.412698412698,0,1.587301587302,0,0,0.158730158730159
"2006","1060","MONTRÉAL",1108,98.826714801444,0.631768953069,0.451263537906,0.090252707581,0,0.674187725631769
"2006","1265","OTTAWA",42,95.238095238095,0,4.761904761905,0,0,0.452380952380952
"2006","2270","TORONTO",159,77.358490566038,1.88679245283,11.949685534591,4.40251572327,4.40251572327,4.47798742138365
"2006","2410","VANCOUVER",126,18.253968253968,46.825396825397,20.634920634921,10.31746031746,3.968253968254,9.15079365079365
"2007","0140","CALGARY",66,98.484848484848,1.515151515152,0,0,0,0.136363636363636
"2007","0340","EDMONTON",79,93.670886075949,6.329113924051,0,0,0,0.253164556962025
"2007","1060","MONTRÉAL",1047,99.522445081184,0.286532951289,0.191021967526,0,0,0.453677172874881
"2007","1265","OTTAWA",63,96.825396825397,1.587301587302,1.587301587302,0,0,0.26984126984127
"2007","2270","TORONTO",100,83,1,9,5,2,3.45
"2007","2410","VANCOUVER",153,18.954248366013,43.137254901961,24.83660130719,7.18954248366,5.882352941176,9.76470588235294
"2008","0140","CALGARY",63,80.952380952381,6.349206349206,3.174603174603,6.349206349206,3.174603174603,3.74603174603175
"2008","0340","EDMONTON",43,81.395348837209,18.604651162791,0,0,0,0.790697674418605
"2008","1060","MONTRÉAL",1120,99.910714285714,0,0.089285714286,0,0,0.06875
"2008","1265","OTTAWA",64,98.4375,1.5625,0,0,0,0.0625
"2008","2270","TORONTO",120,49.166666666667,0.833333333333,22.5,15.833333333333,11.666666666667,12.2416666666667
"2008","2410","VANCOUVER",149,14.765100671141,51.677852348993,21.476510067114,7.38255033557,4.697986577181,8.42281879194631
"2009","0140","CALGARY",15,93.333333333333,6.666666666667,0,0,0,0.266666666666667
"2009","0340","EDMONTON",19,100,0,0,0,0,0.157894736842105
"2009","1060","MONTRÉAL",1000,98.9,0.9,0.1,0.1,0,0.33
"2009","1265","OTTAWA",45,100,0,0,0,0,0.0444444444444444
"2009","2270","TORONTO",93,64.516129032258,9.677419354839,10.752688172043,5.376344086022,9.677419354839,7.34408602150538
