"ref_yy","CSDuid","mkttycd","metcode","metro","first_value.muni.","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"1988","5911019",3,"2410",NA,NA,2,0,100,0,0,0,8
"1988","5911025",3,"2410","VANCOUVER","BURNABY CY",3,0,0,66.666666666667,33.333333333333,0,57.6666666666667
"1988","5913011",3,"2410","VANCOUVER","DELTA CY",1,0,0,100,0,0,23
"1988","5915004",2,"2410","VANCOUVER","SURREY CY",1,0,0,0,100,0,100
"1988","5915004",3,"2410","VANCOUVER","SURREY CY",15,40,53.333333333333,6.666666666667,0,0,7.73333333333333
"1988","5915007",1,"2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"1988","5915007",3,"2410","VANCOUVER","WHITE ROCK CY",5,0,60,40,0,0,15.4
"1988","5915011",3,"2410","VANCOUVER","DELTA CY",2,0,50,50,0,0,15.5
"1988","5915015",3,"2410","VANCOUVER","RICHMOND CY",9,0,22.222222222222,55.555555555556,22.222222222222,0,41.2222222222222
"1988","5915022",2,"2410","VANCOUVER","VANCOUVER CY",10,0,50,50,0,0,26.8
"1988","5915022",3,"2410","VANCOUVER","VANCOUVER CY",38,0,47.368421052632,39.473684210526,10.526315789474,2.631578947368,28.4210526315789
"1988","5915025",2,"2410","VANCOUVER","BURNABY CY",1,0,0,100,0,0,37
"1988","5915025",3,"2410","VANCOUVER","BURNABY CY",5,0,20,80,0,0,25.2
"1988","5915029",2,"2410","VANCOUVER","NEW WESTMINSTER CY",1,0,0,0,100,0,80
"1988","5915029",3,"2410","VANCOUVER","NEW WESTMINSTER CY",3,0,0,66.666666666667,0,33.333333333333,74.3333333333333
"1988","5915034",3,"2410","VANCOUVER","COQUITLAM CY",1,0,0,0,100,0,75
"1988","5915039",2,"2410","VANCOUVER","PORT COQUITLAM CY",2,0,0,100,0,0,37
"1988","5915039",3,"2410","VANCOUVER","PORT COQUITLAM CY",2,0,100,0,0,0,12
"1988","5915046",2,"2410","VANCOUVER","NORTH VANCOUVER DM",1,0,0,0,100,0,64
"1988","5915046",3,"2410","VANCOUVER","NORTH VANCOUVER DM",5,60,20,0,20,0,18.4
"1988","5915051",3,"2410","VANCOUVER","NORTH VANCOUVER CY",2,0,100,0,0,0,18.5
"1988","5915055",3,"2410","VANCOUVER","WEST VANCOUVER DM",3,0,100,0,0,0,9.33333333333333
"1989","2452440",2,"1060",NA,NA,3,33.333333333333,66.666666666667,0,0,0,7
"1989","2452480",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","2452550",2,"1060",NA,NA,4,50,50,0,0,0,4.5
"1989","2452780",1,"1060",NA,NA,2,50,50,0,0,0,4.5
"1989","2452780",2,"1060",NA,NA,16,81.25,18.75,0,0,0,3.9375
"1989","2456120",1,"1060",NA,NA,1,100,0,0,0,0,4
"1989","2456120",2,"1060",NA,NA,15,80,20,0,0,0,3.66666666666667
"1989","2456120",3,"1060",NA,NA,2,50,50,0,0,0,4.5
"1989","2456280",2,"1060",NA,NA,3,0,100,0,0,0,9.33333333333333
"1989","2456310",2,"1060",NA,NA,4,75,0,25,0,0,10.25
"1989","2456310",3,"1060",NA,NA,1,100,0,0,0,0,3
"1989","2456400",0,"1060",NA,NA,1,100,0,0,0,0,3
"1989","2456400",2,"1060",NA,NA,29,79.310344827586,10.344827586207,10.344827586207,0,0,6.24137931034483
"1989","2456400",3,"1060",NA,NA,6,33.333333333333,66.666666666667,0,0,0,8.66666666666667
"1989","2456400",4,"1060",NA,NA,1,0,100,0,0,0,12
"1989","2456450",2,"1060",NA,NA,3,100,0,0,0,0,3
"1989","2456500",2,"1060",NA,NA,2,0,100,0,0,0,7.5
"1989","2456580",3,"1060",NA,NA,1,0,0,0,0,100,115
"1989","2456650",1,"1060",NA,NA,1,100,0,0,0,0,4
"1989","2456650",2,"1060",NA,NA,49,71.428571428571,26.530612244898,2.040816326531,0,0,5.08163265306122
"1989","2456650",3,"1060",NA,NA,10,50,20,10,10,10,32.7
"1989","2456750",2,"1060",NA,NA,2,0,0,100,0,0,43
"1989","2457150",2,"1060",NA,NA,2,0,50,50,0,0,26
"1989","2457280",2,"1060",NA,NA,9,33.333333333333,66.666666666667,0,0,0,5.44444444444444
"1989","2457280",3,"1060",NA,NA,4,100,0,0,0,0,3
"1989","2457320",2,"1060",NA,NA,12,100,0,0,0,0,3
"1989","2457400",2,"1060",NA,NA,2,50,50,0,0,0,8.5
"1989","2462110",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","2462200",2,"1060",NA,NA,26,73.076923076923,26.923076923077,0,0,0,4.53846153846154
"1989","2462200",3,"1060",NA,NA,4,0,50,0,25,25,55.5
"1989","2462240",2,"1060",NA,NA,10,20,80,0,0,0,7.2
"1989","2462260",2,"1060",NA,NA,3,66.666666666667,33.333333333333,0,0,0,7.33333333333333
"1989","2462260",3,"1060",NA,NA,2,0,100,0,0,0,6
"1989","2462280",2,"1060",NA,NA,10,40,60,0,0,0,8.9
"1989","2462310",2,"1060",NA,NA,3,100,0,0,0,0,3.66666666666667
"1989","2462510",2,"1060",NA,NA,2,0,100,0,0,0,6
"1989","2463110",1,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","2463110",2,"1060",NA,NA,29,82.758620689655,17.241379310345,0,0,0,4.17241379310345
"1989","2463150",2,"1060",NA,NA,91,84.615384615385,14.285714285714,1.098901098901,0,0,3.76923076923077
"1989","2463190",2,"1060",NA,NA,25,88,12,0,0,0,3.36
"1989","2463200",2,"1060",NA,NA,5,60,40,0,0,0,4.4
"1989","2463220",2,"1060",NA,NA,32,62.5,34.375,3.125,0,0,7.28125
"1989","2463220",3,"1060",NA,NA,1,0,100,0,0,0,6
"1989","2463250",2,"1060",NA,NA,33,78.787878787879,21.212121212121,0,0,0,4
"1989","2464500",1,"1060",NA,NA,1,100,0,0,0,0,3
"1989","2464500",2,"1060",NA,NA,81,29.62962962963,66.666666666667,3.703703703704,0,0,7.92592592592593
"1989","2464500",3,"1060",NA,NA,31,6.451612903226,77.41935483871,16.129032258065,0,0,11.1290322580645
"1989","2465160",2,"1060",NA,NA,4,50,50,0,0,0,5.75
"1989","2465180",1,"1060",NA,NA,1,100,0,0,0,0,3
"1989","2465180",2,"1060",NA,NA,2,0,50,50,0,0,27.5
"1989","2465180",3,"1060",NA,NA,9,0,88.888888888889,0,0,11.111111111111,21.6666666666667
"1989","2465200",2,"1060",NA,NA,8,75,25,0,0,0,4.75
"1989","2465220",2,"1060",NA,NA,11,100,0,0,0,0,3.72727272727273
"1989","2465220",3,"1060",NA,NA,8,50,50,0,0,0,5
"1989","2465260",1,"1060",NA,NA,4,50,50,0,0,0,5.75
"1989","2465260",2,"1060",NA,NA,216,60.648148148148,33.333333333333,4.166666666667,1.388888888889,0.462962962963,7.93518518518519
"1989","2465260",3,"1060",NA,NA,35,45.714285714286,42.857142857143,8.571428571429,0,2.857142857143,12.8
"1989","2465260",4,"1060",NA,NA,7,0,100,0,0,0,12.2857142857143
"1989","2465300",3,"1060",NA,NA,2,0,0,50,50,0,64
"1989","2465320",2,"1060",NA,NA,9,55.555555555556,44.444444444444,0,0,0,5.22222222222222
"1989","2465320",3,"1060",NA,NA,4,25,25,0,0,50,90.5
"1989","2465340",2,"1060",NA,NA,20,100,0,0,0,0,3.1
"1989","2465340",3,"1060",NA,NA,2,100,0,0,0,0,5
"1989","2465400",2,"1060",NA,NA,2,0,100,0,0,0,7
"1989","2465420",2,"1060",NA,NA,10,10,90,0,0,0,6.7
"1989","2465420",3,"1060",NA,NA,7,0,100,0,0,0,6.71428571428571
"1989","2465480",2,"1060",NA,NA,3,66.666666666667,0,0,0,33.333333333333,70.6666666666667
"1989","2465480",3,"1060",NA,NA,6,0,0,16.666666666667,50,33.333333333333,91.8333333333333
"1989","2465500",2,"1060",NA,NA,1,100,0,0,0,0,3
"1989","2465500",3,"1060",NA,NA,2,0,100,0,0,0,6
"1989","2465540",3,"1060",NA,NA,1,0,0,100,0,0,47
"1989","2465580",2,"1060",NA,NA,1,100,0,0,0,0,4
"1989","2465700",1,"1060",NA,NA,1,100,0,0,0,0,3
"1989","2465700",2,"1060",NA,NA,46,54.347826086957,43.478260869565,0,2.173913043478,0,7
"1989","2465700",3,"1060",NA,NA,11,0,90.909090909091,9.090909090909,0,0,9.27272727272727
"1989","2465720",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","2465740",2,"1060",NA,NA,8,87.5,12.5,0,0,0,5.25
"1989","2466300",2,"1060",NA,NA,28,53.571428571429,42.857142857143,3.571428571429,0,0,6.46428571428571
"1989","2466300",3,"1060",NA,NA,1,0,100,0,0,0,16
"1989","2466380",2,"1060",NA,NA,11,63.636363636364,27.272727272727,0,9.090909090909,0,9.09090909090909
"1989","2466420",2,"1060",NA,NA,3,66.666666666667,33.333333333333,0,0,0,6.66666666666667
"1989","2466500",2,"1060",NA,NA,11,72.727272727273,27.272727272727,0,0,0,4.45454545454545
"1989","2466600",2,"1060",NA,NA,1,0,100,0,0,0,6
"1989","2466700",1,"1060",NA,NA,1,0,100,0,0,0,6
"1989","2466700",2,"1060",NA,NA,24,50,50,0,0,0,5.5
"1989","2469480",2,"1060",NA,NA,4,50,50,0,0,0,4.5
"1989","2469600",1,"1060",NA,NA,1,100,0,0,0,0,3
"1989","2469600",2,"1060",NA,NA,22,63.636363636364,31.818181818182,4.545454545455,0,0,7.36363636363636
"1989","2470110",2,"1060",NA,NA,1,100,0,0,0,0,3
"1989","2472150",2,"1060",NA,NA,9,77.777777777778,22.222222222222,0,0,0,4.22222222222222
"1989","2472150",3,"1060",NA,NA,7,100,0,0,0,0,4
"1989","2472210",2,"1060",NA,NA,4,100,0,0,0,0,3
"1989","2472230",1,"1060",NA,NA,2,100,0,0,0,0,3
"1989","2472230",2,"1060",NA,NA,8,75,25,0,0,0,4.25
"1989","2472230",3,"1060",NA,NA,3,0,100,0,0,0,10
"1989","2472260",2,"1060",NA,NA,24,58.333333333333,41.666666666667,0,0,0,4.25
"1989","2472260",3,"1060",NA,NA,5,0,80,20,0,0,10.2
"1989","2472400",2,"1060",NA,NA,1,0,100,0,0,0,6
"1989","2473120",2,"1060",NA,NA,9,66.666666666667,22.222222222222,11.111111111111,0,0,7.55555555555556
"1989","2473120",3,"1060",NA,NA,3,0,100,0,0,0,6
"1989","2473180",2,"1060",NA,NA,11,63.636363636364,36.363636363636,0,0,0,4.63636363636364
"1989","2473200",3,"1060",NA,NA,1,0,100,0,0,0,8
"1989","2473240",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","2473300",2,"1060",NA,NA,3,66.666666666667,33.333333333333,0,0,0,4.66666666666667
"1989","2473650",1,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","2473650",2,"1060",NA,NA,12,66.666666666667,25,8.333333333333,0,0,6.91666666666667
"1989","2473650",3,"1060",NA,NA,1,0,100,0,0,0,6
"1989","3503021",2,"1265",NA,NA,2,0,100,0,0,0,6
"1989","3503021",3,"1265",NA,NA,1,0,100,0,0,0,18
"1989","3506004",2,"1265",NA,NA,1,0,0,0,100,0,64
"1989","3506006",2,"1265",NA,NA,2,0,100,0,0,0,12.5
"1989","3506009",2,"1265",NA,NA,1,100,0,0,0,0,3
"1989","3506012",2,"1265",NA,NA,1,0,0,0,0,100,118
"1989","3506014",0,"1265",NA,NA,3,0,66.666666666667,33.333333333333,0,0,21
"1989","3506014",2,"1265",NA,NA,7,0,71.428571428571,0,28.571428571429,0,32.4285714285714
"1989","3506014",3,"1265",NA,NA,10,0,50,20,20,10,48.5
"1989","3518005",3,"2270","TORONTO","TORONTO C",4,0,0,0,100,0,67.5
"1989","3519028",3,"2270","TORONTO","VAUGHAN CY",3,0,0,0,0,100,204.666666666667
"1989","3519036",3,"2270","TORONTO","MARKHAM CY",4,0,0,25,0,75,220.75
"1989","3519038",2,"2270","TORONTO","RICHMOND HILL T",2,0,0,50,0,50,204
"1989","3519038",3,"2270","TORONTO","RICHMOND HILL T",2,0,0,0,0,100,204.5
"1989","3519046",2,"2270","TORONTO","AURORA T",1,100,0,0,0,0,3
"1989","3519046",3,"2270","TORONTO","AURORA T",1,0,0,100,0,0,21
"1989","3519048",2,"2270","TORONTO","NEWMARKET T",1,0,0,0,100,0,86
"1989","3519070",2,"2270","TORONTO","GEORGINA T",1,0,0,100,0,0,35
"1989","3519070",3,"2270","TORONTO","GEORGINA T",1,0,0,100,0,0,50
"1989","3520001",2,"2270","TORONTO","PICKERING CY",6,50,33.333333333333,0,16.666666666667,0,23.3333333333333
"1989","3520001",3,"2270","TORONTO","PICKERING CY",11,0,0,0,0,100,266
"1989","3520001",4,"2270","TORONTO","PICKERING CY",2,50,50,0,0,0,10
"1989","3520004",2,"2270",NA,NA,15,53.333333333333,6.666666666667,0,6.666666666667,33.333333333333,61.0666666666667
"1989","3520004",3,"2270",NA,NA,11,0,36.363636363636,9.090909090909,9.090909090909,45.454545454545,159.363636363636
"1989","3520004",4,"2270",NA,NA,3,0,100,0,0,0,12.3333333333333
"1989","3520006",2,"2270",NA,NA,1,0,0,0,0,100,169
"1989","3520006",3,"2270",NA,NA,3,0,0,33.333333333333,0,66.666666666667,142
"1989","3520008",2,"2270",NA,NA,2,0,0,0,50,50,116
"1989","3520008",3,"2270",NA,NA,4,0,0,50,25,25,73.25
"1989","3520014",2,"2270","TORONTO","ORANGEVILLE T",1,0,0,0,0,100,200
"1989","3520014",3,"2270","TORONTO","ORANGEVILLE T",3,0,0,0,33.333333333333,66.666666666667,156.333333333333
"1989","3520014",4,"2270","TORONTO","ORANGEVILLE T",2,0,0,0,0,100,167
"1989","3520019",1,"2270",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","3520019",2,"2270",NA,NA,2,100,0,0,0,0,4
"1989","3520019",3,"2270",NA,NA,3,0,0,0,0,100,231.666666666667
"1989","3521005",2,"2270","TORONTO","TORONTO C",5,0,0,20,0,80,195
"1989","3521005",3,"2270","TORONTO","TORONTO C",13,0,0,0,0,100,245.923076923077
"1989","3521010",2,"2270","TORONTO","BRAMPTON CY",1,0,0,0,0,100,101
"1989","3521010",3,"2270","TORONTO","BRAMPTON CY",2,0,0,0,0,100,146
"1989","3524001",2,"2270","TORONTO","PICKERING CY",3,0,66.666666666667,33.333333333333,0,0,25.3333333333333
"1989","3524009",2,"2270","TORONTO","MILTON T",1,0,100,0,0,0,14
"1989","3524015",3,"2270","TORONTO","HALTON HILLS T",1,0,0,0,100,0,84
"1989","3524015",4,"2270","TORONTO","HALTON HILLS T",1,0,0,100,0,0,40
"1989","3543012",2,"2270","TORONTO","MONO T",1,0,100,0,0,0,6
"1989","4806016",0,"0140","CALGARY","CALGARY CY",3,66.666666666667,0,33.333333333333,0,0,12.6666666666667
"1989","4806016",1,"0140","CALGARY","CALGARY CY",2,100,0,0,0,0,4
"1989","4806016",2,"0140","CALGARY","CALGARY CY",22,4.545454545455,95.454545454545,0,0,0,11.6363636363636
"1989","4806016",3,"0140","CALGARY","CALGARY CY",1,100,0,0,0,0,4
"1989","4811048",2,"0340","EDMONTON","STONY PLAIN T",1,0,0,100,0,0,36
"1989","4811061",3,"0340","EDMONTON","EDMONTON CY",4,0,0,75,25,0,49.25
"1989","4811061",4,"0340","EDMONTON","EDMONTON CY",1,0,0,0,100,0,86
"1989","5911019",3,"2410",NA,NA,5,0,80,20,0,0,15.6
"1989","5911025",2,"2410","VANCOUVER","BURNABY CY",3,0,33.333333333333,66.666666666667,0,0,20
"1989","5911025",3,"2410","VANCOUVER","BURNABY CY",9,11.111111111111,11.111111111111,66.666666666667,11.111111111111,0,34
"1989","5913011",3,"2410","VANCOUVER","DELTA CY",15,20,66.666666666667,6.666666666667,6.666666666667,0,13.8666666666667
"1989","5915004",2,"2410","VANCOUVER","SURREY CY",2,50,0,50,0,0,27.5
"1989","5915004",3,"2410","VANCOUVER","SURREY CY",16,37.5,12.5,31.25,12.5,6.25,31.875
"1989","5915007",3,"2410","VANCOUVER","WHITE ROCK CY",7,0,71.428571428571,28.571428571429,0,0,19.8571428571429
"1989","5915011",2,"2410","VANCOUVER","DELTA CY",1,0,0,0,100,0,68
"1989","5915011",3,"2410","VANCOUVER","DELTA CY",5,20,60,20,0,0,14.6
"1989","5915011",4,"2410","VANCOUVER","DELTA CY",1,0,0,100,0,0,48
"1989","5915015",2,"2410","VANCOUVER","RICHMOND CY",2,50,0,0,50,0,51.5
"1989","5915015",3,"2410","VANCOUVER","RICHMOND CY",20,5,0,65,30,0,44.25
"1989","5915022",1,"2410","VANCOUVER","VANCOUVER CY",1,0,0,100,0,0,36
"1989","5915022",2,"2410","VANCOUVER","VANCOUVER CY",18,0,22.222222222222,55.555555555556,11.111111111111,11.111111111111,41.6111111111111
"1989","5915022",3,"2410","VANCOUVER","VANCOUVER CY",65,7.692307692308,44.615384615385,36.923076923077,7.692307692308,3.076923076923,27.1846153846154
"1989","5915022",4,"2410","VANCOUVER","VANCOUVER CY",1,0,0,100,0,0,30
"1989","5915025",3,"2410","VANCOUVER","BURNABY CY",11,0,27.272727272727,9.090909090909,27.272727272727,36.363636363636,77.0909090909091
"1989","5915025",4,"2410","VANCOUVER","BURNABY CY",4,0,0,50,50,0,56.75
"1989","5915029",3,"2410","VANCOUVER","NEW WESTMINSTER CY",13,0,0,38.461538461538,30.769230769231,30.769230769231,68.9230769230769
