"ref_yy","CSDuid","mkttycd","metcode","metro","first_value.muni.","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"1988","2452440",2,"1060",NA,NA,3,66.666666666667,33.333333333333,0,0,0,4
"1988","2452780",2,"1060",NA,NA,5,100,0,0,0,0,3
"1988","2456120",2,"1060",NA,NA,12,50,50,0,0,0,4.5
"1988","2456280",2,"1060",NA,NA,1,0,100,0,0,0,16
"1988","2456310",2,"1060",NA,NA,1,100,0,0,0,0,4
"1988","2456310",3,"1060",NA,NA,1,100,0,0,0,0,3
"1988","2456400",1,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2456400",2,"1060",NA,NA,23,82.608695652174,8.695652173913,8.695652173913,0,0,5.60869565217391
"1988","2456400",3,"1060",NA,NA,2,0,100,0,0,0,11.5
"1988","2456500",2,"1060",NA,NA,1,0,100,0,0,0,10
"1988","2456580",3,"1060",NA,NA,1,0,0,0,100,0,69
"1988","2456650",1,"1060",NA,NA,4,100,0,0,0,0,4
"1988","2456650",2,"1060",NA,NA,54,88.888888888889,9.259259259259,0,0,1.851851851852,5.7037037037037
"1988","2456650",3,"1060",NA,NA,3,0,66.666666666667,33.333333333333,0,0,16.6666666666667
"1988","2456650",4,"1060",NA,NA,1,0,100,0,0,0,12
"1988","2456750",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2457110",2,"1060",NA,NA,1,0,100,0,0,0,15
"1988","2457150",3,"1060",NA,NA,2,0,100,0,0,0,6
"1988","2457280",1,"1060",NA,NA,1,0,100,0,0,0,8
"1988","2457280",2,"1060",NA,NA,5,80,20,0,0,0,3.6
"1988","2457320",2,"1060",NA,NA,2,0,100,0,0,0,6
"1988","2457400",2,"1060",NA,NA,3,66.666666666667,33.333333333333,0,0,0,7
"1988","2462200",2,"1060",NA,NA,8,0,100,0,0,0,11.25
"1988","2462200",3,"1060",NA,NA,2,0,100,0,0,0,16
"1988","2462200",4,"1060",NA,NA,2,100,0,0,0,0,4
"1988","2462240",2,"1060",NA,NA,3,0,100,0,0,0,12
"1988","2462240",3,"1060",NA,NA,5,0,100,0,0,0,8
"1988","2462280",2,"1060",NA,NA,15,66.666666666667,26.666666666667,6.666666666667,0,0,7.26666666666667
"1988","2462310",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2462510",2,"1060",NA,NA,3,0,100,0,0,0,8
"1988","2463110",2,"1060",NA,NA,7,42.857142857143,57.142857142857,0,0,0,7.14285714285714
"1988","2463150",2,"1060",NA,NA,61,77.049180327869,22.950819672131,0,0,0,3.9344262295082
"1988","2463190",2,"1060",NA,NA,15,93.333333333333,6.666666666667,0,0,0,4
"1988","2463200",2,"1060",NA,NA,1,100,0,0,0,0,5
"1988","2463220",2,"1060",NA,NA,23,86.95652173913,13.04347826087,0,0,0,6.04347826086957
"1988","2463220",3,"1060",NA,NA,1,0,100,0,0,0,10
"1988","2463250",2,"1060",NA,NA,19,78.947368421053,21.052631578947,0,0,0,4.05263157894737
"1988","2464500",2,"1060",NA,NA,42,33.333333333333,59.52380952381,4.761904761905,2.380952380952,0,10.6428571428571
"1988","2464500",3,"1060",NA,NA,24,0,91.666666666667,8.333333333333,0,0,14.1666666666667
"1988","2465160",2,"1060",NA,NA,4,75,25,0,0,0,4.25
"1988","2465180",2,"1060",NA,NA,5,20,20,60,0,0,29.4
"1988","2465180",3,"1060",NA,NA,3,0,33.333333333333,33.333333333333,33.333333333333,0,44.6666666666667
"1988","2465200",2,"1060",NA,NA,14,92.857142857143,7.142857142857,0,0,0,4.07142857142857
"1988","2465220",3,"1060",NA,NA,23,95.652173913043,0,4.347826086957,0,0,5.65217391304348
"1988","2465260",2,"1060",NA,NA,109,49.54128440367,42.201834862385,7.339449541284,0.917431192661,0,8.51376146788991
"1988","2465260",3,"1060",NA,NA,25,12,52,8,12,16,43.36
"1988","2465260",4,"1060",NA,NA,16,0,12.5,87.5,0,0,23.9375
"1988","2465280",2,"1060",NA,NA,1,0,0,100,0,0,51
"1988","2465320",3,"1060",NA,NA,7,0,85.714285714286,0,0,14.285714285714,24.7142857142857
"1988","2465340",2,"1060",NA,NA,12,100,0,0,0,0,3.33333333333333
"1988","2465420",2,"1060",NA,NA,3,66.666666666667,33.333333333333,0,0,0,4.66666666666667
"1988","2465420",3,"1060",NA,NA,5,0,100,0,0,0,7
"1988","2465480",2,"1060",NA,NA,6,33.333333333333,0,0,33.333333333333,33.333333333333,68.6666666666667
"1988","2465480",3,"1060",NA,NA,4,0,25,50,25,0,50.25
"1988","2465540",2,"1060",NA,NA,4,75,0,0,0,25,42.25
"1988","2465580",3,"1060",NA,NA,1,0,0,100,0,0,36
"1988","2465640",3,"1060",NA,NA,1,0,0,100,0,0,24
"1988","2465700",2,"1060",NA,NA,6,33.333333333333,66.666666666667,0,0,0,8.66666666666667
"1988","2465700",3,"1060",NA,NA,16,0,87.5,0,12.5,0,17.5
"1988","2465720",3,"1060",NA,NA,5,80,20,0,0,0,4.4
"1988","2465740",2,"1060",NA,NA,2,50,50,0,0,0,5
"1988","2465740",3,"1060",NA,NA,7,28.571428571429,71.428571428571,0,0,0,5.71428571428571
"1988","2466380",2,"1060",NA,NA,11,63.636363636364,27.272727272727,0,0,9.090909090909,16.9090909090909
"1988","2466380",3,"1060",NA,NA,6,0,66.666666666667,0,16.666666666667,16.666666666667,34.5
"1988","2466420",2,"1060",NA,NA,5,80,0,20,0,0,12.6
"1988","2466500",2,"1060",NA,NA,5,80,0,0,0,20,27.4
"1988","2466600",2,"1060",NA,NA,1,0,0,100,0,0,21
"1988","2466700",1,"1060",NA,NA,1,100,0,0,0,0,3
"1988","2466700",2,"1060",NA,NA,9,100,0,0,0,0,3
"1988","2469480",2,"1060",NA,NA,1,0,100,0,0,0,8
"1988","2469600",1,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","2469600",2,"1060",NA,NA,8,75,12.5,12.5,0,0,7
"1988","2470110",2,"1060",NA,NA,1,0,100,0,0,0,10
"1988","2470180",4,"1060",NA,NA,1,0,100,0,0,0,15
"1988","2470460",2,"1060",NA,NA,4,100,0,0,0,0,4
"1988","2472150",2,"1060",NA,NA,1,100,0,0,0,0,3
"1988","2472230",2,"1060",NA,NA,11,90.909090909091,9.090909090909,0,0,0,3.36363636363636
"1988","2472230",3,"1060",NA,NA,2,0,100,0,0,0,8
"1988","2472260",2,"1060",NA,NA,4,25,75,0,0,0,5.25
"1988","2472260",3,"1060",NA,NA,2,0,100,0,0,0,12
"1988","2472400",2,"1060",NA,NA,3,0,100,0,0,0,6
"1988","2473120",2,"1060",NA,NA,13,23.076923076923,76.923076923077,0,0,0,7.61538461538461
"1988","2473180",2,"1060",NA,NA,13,100,0,0,0,0,3
"1988","2473300",2,"1060",NA,NA,2,100,0,0,0,0,4.5
"1988","2473500",2,"1060",NA,NA,1,0,100,0,0,0,6
"1988","2473650",2,"1060",NA,NA,7,28.571428571429,71.428571428571,0,0,0,8.85714285714286
"1988","3503021",3,"1265",NA,NA,1,0,0,100,0,0,24
"1988","3506004",3,"1265",NA,NA,1,0,0,0,100,0,88
"1988","3506006",2,"1265",NA,NA,2,0,0,100,0,0,40.5
"1988","3506006",4,"1265",NA,NA,1,0,0,0,100,0,70
"1988","3506012",2,"1265",NA,NA,2,0,0,0,100,0,67
"1988","3506012",3,"1265",NA,NA,1,0,0,0,0,100,200
"1988","3506014",0,"1265",NA,NA,1,0,100,0,0,0,8
"1988","3506014",1,"1265",NA,NA,3,66.666666666667,33.333333333333,0,0,0,4.66666666666667
"1988","3506014",2,"1265",NA,NA,7,14.285714285714,28.571428571429,28.571428571429,28.571428571429,0,40.1428571428571
"1988","3506014",3,"1265",NA,NA,3,0,0,33.333333333333,33.333333333333,33.333333333333,144.333333333333
"1988","3506014",4,"1265",NA,NA,2,0,0,0,100,0,76
"1988","3518001",3,"2270","TORONTO","PICKERING CY",2,0,0,0,0,100,237
"1988","3518029",2,"2270","TORONTO","UXBRIDGE TP",1,0,100,0,0,0,7
"1988","3519028",3,"2270","TORONTO","VAUGHAN CY",1,0,0,0,0,100,196
"1988","3519038",3,"2270","TORONTO","RICHMOND HILL T",2,0,0,0,0,100,237.5
"1988","3519046",2,"2270","TORONTO","AURORA T",1,0,100,0,0,0,8
"1988","3519046",3,"2270","TORONTO","AURORA T",2,50,50,0,0,0,12
"1988","3520001",2,"2270","TORONTO","PICKERING CY",3,0,0,0,0,100,202
"1988","3520001",3,"2270","TORONTO","PICKERING CY",6,0,0,0,33.333333333333,66.666666666667,220.166666666667
"1988","3520001",4,"2270","TORONTO","PICKERING CY",2,0,0,0,50,50,86
"1988","3520004",2,"2270",NA,NA,8,37.5,37.5,12.5,0,12.5,22
"1988","3520004",3,"2270",NA,NA,7,0,28.571428571429,14.285714285714,28.571428571429,28.571428571429,107.285714285714
"1988","3520006",3,"2270",NA,NA,1,0,0,100,0,0,35
"1988","3520008",2,"2270",NA,NA,2,0,0,50,50,0,65
"1988","3520008",3,"2270",NA,NA,1,0,0,0,0,100,201
"1988","3520019",2,"2270",NA,NA,1,0,0,0,0,100,110
"1988","3521005",2,"2270","TORONTO","TORONTO C",3,0,0,0,0,100,204
"1988","3521005",3,"2270","TORONTO","TORONTO C",6,0,0,16.666666666667,33.333333333333,50,183.333333333333
"1988","3521010",2,"2270","TORONTO","BRAMPTON CY",1,0,0,0,0,100,114
"1988","3521010",3,"2270","TORONTO","BRAMPTON CY",2,0,0,0,0,100,200
"1988","3522014",2,"2270","TORONTO","ORANGEVILLE T",1,0,0,100,0,0,28
"1988","3522014",3,"2270","TORONTO","ORANGEVILLE T",1,100,0,0,0,0,3
"1988","3524001",3,"2270","TORONTO","PICKERING CY",1,0,0,0,0,100,208
"1988","3524009",2,"2270","TORONTO","MILTON T",1,0,100,0,0,0,8
"1988","4806016",1,"0140","CALGARY","CALGARY CY",4,100,0,0,0,0,3.75
"1988","4811061",2,"0340","EDMONTON","EDMONTON CY",2,0,0,0,50,50,126
"1988","4811061",3,"0340","EDMONTON","EDMONTON CY",1,0,0,100,0,0,31
