"ref_yy","metcode","metro","unitsperstory","unitsperstory1620","unitsperstory1115"
"1988","0140","CALGARY",NA,NA,NA
"1988","0340","EDMONTON",21.7692307692308,0,0
"1988","1060",NA,67.6229508196721,0,0
"1988","1265",NA,95.1333333333333,0,0
"1988","2270",NA,77.3406593406593,0,0
"1988","2410","VANCOUVER",370.857142857143,0,0
"1989","0140","CALGARY",NA,NA,NA
"1989","0340","EDMONTON",NA,NA,NA
"1989","1060",NA,136,0,0
"1989","1265",NA,NA,NA,NA
"1989","2270",NA,48.1389728096677,0,0
"1989","2410","VANCOUVER",43.7654320987654,0,0
"1990","0140","CALGARY",37.0833333333333,0,0
"1990","0340","EDMONTON",22.84,0,0
"1990","1060",NA,122,0,0
"1990","1265",NA,265,0,0
"1990","2270",NA,26.8005698005698,0,0
"1990","2410","VANCOUVER",25.0634328358209,0,0
"1991","0140","CALGARY",NA,NA,NA
"1991","0340","EDMONTON",90.3333333333333,0,0
"1991","1060",NA,94.4444444444444,0,0
"1991","1265",NA,NA,NA,NA
"1991","2270",NA,26.3665158371041,0,0
"1991","2410","VANCOUVER",38.8507462686567,0,0
"1992","0140","CALGARY",NA,NA,NA
"1992","0340","EDMONTON",99.4285714285714,0,0
"1992","1060",NA,62.7,0,0
"1992","1265",NA,61.4090909090909,0,0
"1992","2270",NA,28.8263888888889,0,0
"1992","2410","VANCOUVER",23.0237288135593,0,0
"1993","0140","CALGARY",NA,NA,NA
"1993","0340","EDMONTON",NA,NA,NA
"1993","1060",NA,107.666666666667,0,0
"1993","1265",NA,28.6923076923077,0,0
"1993","2270",NA,39.6608695652174,0,0
"1993","2410","VANCOUVER",20.4457364341085,0,0
"1994","0140","CALGARY",NA,NA,NA
"1994","0340","EDMONTON",NA,NA,NA
"1994","1060","MONTRÃAL",46.52,0,0
"1994","1265",NA,7.66666666666667,0,0
"1994","2270",NA,33.6336633663366,0,0
"1994","2410","VANCOUVER",10.3392299687825,0,0
"1995","0140","CALGARY",NA,NA,NA
"1995","0340","EDMONTON",NA,NA,NA
"1995","1060","MONTRÃAL",46.9285714285714,0,0
"1995","1265",NA,21.3125,0,0
"1995","2270",NA,55.010989010989,0,0
"1995","2410","VANCOUVER",9.46085858585859,0,0
"1996","0140","CALGARY",NA,NA,NA
"1996","0340","EDMONTON",NA,NA,NA
"1996","1060","MONTRÃAL",NA,NA,NA
"1996","1265",NA,NA,NA,NA
"1996","2270","TORONTO",44.7058823529412,0,0
"1996","2410","VANCOUVER",10.2606310013717,0,0
"1997","0140","CALGARY",NA,NA,NA
"1997","0340","EDMONTON",NA,NA,NA
"1997","1060","MONTRÃAL",NA,NA,NA
"1997","1265",NA,NA,NA,NA
"1997","2270","TORONTO",44.3030303030303,0,0
"1997","2410","VANCOUVER",10.5135135135135,0,0
"1998","0140","CALGARY",75.4285714285714,0,0
"1998","0340","EDMONTON",NA,NA,NA
"1998","1060","MONTRÃAL",NA,NA,NA
"1998","1265","OTTAWA",NA,NA,NA
"1998","2270","TORONTO",42.552380952381,0,0
"1998","2410","VANCOUVER",8.61033519553073,0,0
"1999","0140","CALGARY",91.0357142857143,0,0
"1999","0340","EDMONTON",NA,NA,NA
"1999","1060","MONTRÃAL",124.705882352941,0,0
"1999","1265",NA,NA,NA,NA
"1999","2270","TORONTO",32.875486381323,0,0
"1999","2410","VANCOUVER",11.4473684210526,0,0
"2000","0140","CALGARY",64.9069767441861,0,0
"2000","0340","EDMONTON",NA,NA,NA
"2000","1060","MONTRÃAL",NA,NA,NA
"2000","1265",NA,NA,NA,NA
"2000","2270","TORONTO",42.6434782608696,0,0
"2000","2410","VANCOUVER",9.3951367781155,0,0
"2001","0140","CALGARY",186.181818181818,0,0
"2001","0340","EDMONTON",253.75,0,0
"2001","1060","MONTRÃAL",NA,NA,NA
"2001","1265","OTTAWA",84.8333333333333,0,0
"2001","2270","TORONTO",31.8100961538462,0,0
"2001","2410","VANCOUVER",8.83025210084034,0,0
"2002","0140","CALGARY",962.333333333333,0,0
"2002","0340","EDMONTON",996.5,0,0
"2002","1060","MONTRÃAL",34.52,0,0
"2002","1265","OTTAWA",103.6,0,0
"2002","2270","TORONTO",32.7225806451613,0,0
"2002","2410","VANCOUVER",7.87860394537178,0,0
"2003","0140","CALGARY",NA,NA,NA
"2003","0340","EDMONTON",NA,NA,NA
"2003","1060","MONTRÃAL",1621.75,0,0
"2003","1265","OTTAWA",NA,NA,NA
"2003","2270","TORONTO",35.1867612293144,0,0
"2003","2410","VANCOUVER",8.18170580964153,0,0
"2004","0140","CALGARY",NA,NA,NA
"2004","0340","EDMONTON",62.2448979591837,0,0
"2004","1060","MONTRÃAL",128.457142857143,0,0
"2004","1265","OTTAWA",91.75,0,0
"2004","2270","TORONTO",42.4185303514377,0,0
"2004","2410","VANCOUVER",8.29236499068901,0,0
"2005","0140","CALGARY",NA,NA,NA
"2005","0340","EDMONTON",167.666666666667,0,0
"2005","1060","MONTRÃAL",102.33734939759,0,0
"2005","1265","OTTAWA",NA,NA,NA
"2005","2270","TORONTO",17.3061452513966,0,0
"2005","2410","VANCOUVER",7.86960132890365,0,0
"2006","0140","CALGARY",88.9787234042553,0,0
"2006","0340","EDMONTON",351.9,0,0
"2006","1060","MONTRÃAL",63.375,0,0
"2006","1265","OTTAWA",45.7368421052632,0,0
"2006","2270","TORONTO",20.633431085044,0,0
"2006","2410","VANCOUVER",8.21266968325792,0,0
"2007","0140","CALGARY",775.25,0,0
"2007","0340","EDMONTON",201.95,0,0
"2007","1060","MONTRÃAL",145.191489361702,0,0
"2007","1265","OTTAWA",53.2857142857143,0,0
"2007","2270","TORONTO",29.3558823529412,0,0
"2007","2410","VANCOUVER",8.8135593220339,0,0
"2008","0140","CALGARY",23.7811158798283,0,0
"2008","0340","EDMONTON",72.8529411764706,0,0
"2008","1060","MONTRÃAL",250.692307692308,0,0
"2008","1265","OTTAWA",255.25,0,0
"2008","2270","TORONTO",16.5574112734864,0,0
"2008","2410","VANCOUVER",9.93445378151261,0,0
"2009","0140","CALGARY",86,0,0
"2009","0340","EDMONTON",209.333333333333,0,0
"2009","1060","MONTRÃAL",85.1940298507463,0,0
"2009","1265","OTTAWA",NA,NA,NA
"2009","2270","TORONTO",18.6725403817915,0,0
"2009","2410","VANCOUVER",8.01277955271565,0,0
"2010","0140","CALGARY",26.5217391304348,0,0
"2010","0340","EDMONTON",55.2333333333333,0,0
"2010","1060","MONTRÃAL",24.1776061776062,0,0
"2010","1265","OTTAWA",44.8275862068966,0,0
"2010","2270","TORONTO",22.2538860103627,0,0
"2010","2410","VANCOUVER",12.5667311411992,0,0
"2011","0140","CALGARY",95.4761904761905,0,95.4761904761905
"2011","0340","EDMONTON",52.9512195121951,0,52.9512195121951
"2011","1060","MONTRÃAL",27.2280701754386,0,27.2280701754386
"2011","1265","OTTAWA",28.5925925925926,0,28.5925925925926
"2011","2270","TORONTO",15.7394416607015,0,15.7394416607015
"2011","2410","VANCOUVER",12.1536231884058,0,12.1536231884058
"2012","0140","CALGARY",32.9913043478261,0,32.9913043478261
"2012","0340","EDMONTON",30.2015503875969,0,30.2015503875969
"2012","1060","MONTRÃAL",13.871835443038,0,13.871835443038
"2012","1265","OTTAWA",17.912,0,17.912
"2012","2270","TORONTO",17.1052631578947,0,17.1052631578947
"2012","2410","VANCOUVER",9.73147256977863,0,9.73147256977863
"2013","0140","CALGARY",18.0217391304348,0,18.0217391304348
"2013","0340","EDMONTON",20.6016597510373,0,20.6016597510373
"2013","1060","MONTRÃAL",13.437984496124,0,13.437984496124
"2013","1265","OTTAWA",12.2662721893491,0,12.2662721893491
"2013","2270","TORONTO",14.878813559322,0,14.878813559322
"2013","2410","VANCOUVER",10.2694198623402,0,10.2694198623402
"2014","0140","CALGARY",20.4539682539683,0,20.4539682539683
"2014","0340","EDMONTON",16.5056179775281,0,16.5056179775281
"2014","1060","MONTRÃAL",11.483556638246,0,11.483556638246
"2014","1265","OTTAWA",12.2931034482759,0,12.2931034482759
"2014","2270","TORONTO",17.7967581047382,0,17.7967581047382
"2014","2410","VANCOUVER",11.0757062146893,0,11.0757062146893
"2015","0140","CALGARY",15.5257142857143,0,15.5257142857143
"2015","0340","EDMONTON",15.108545034642,0,15.108545034642
"2015","1060","MONTRÃAL",11.3491379310345,0,11.3491379310345
"2015","1265","OTTAWA",9.08474576271187,0,9.08474576271187
"2015","2270","TORONTO",12.2178169358786,0,12.2178169358786
"2015","2410","VANCOUVER",9.62162162162162,0,9.62162162162162
"2016","0140","CALGARY",11.542662116041,11.542662116041,0
"2016","0340","EDMONTON",16.3478260869565,16.3478260869565,0
"2016","1060","MONTRÃAL",10.6783295711061,10.6783295711061,0
"2016","1265","OTTAWA",10.1395348837209,10.1395348837209,0
"2016","2270","TORONTO",12.5547533092659,12.5547533092659,0
"2016","2410","VANCOUVER",9.42946530147895,9.42946530147895,0
"2017","0140","CALGARY",14.6297709923664,14.6297709923664,0
"2017","0340","EDMONTON",13.1659388646288,13.1659388646288,0
"2017","1060","MONTRÃAL",10.8236574746009,10.8236574746009,0
"2017","1265","OTTAWA",10.4476987447699,10.4476987447699,0
"2017","2270","TORONTO",12.830303030303,12.830303030303,0
"2017","2410","VANCOUVER",10.6200139958013,10.6200139958013,0
"2018","0140","CALGARY",18.2110091743119,18.2110091743119,0
"2018","0340","EDMONTON",13.6666666666667,13.6666666666667,0
"2018","1060","MONTRÃAL",10.9954954954955,10.9954954954955,0
"2018","1265","OTTAWA",11.4573170731707,11.4573170731707,0
"2018","2270","TORONTO",12.1546176347681,12.1546176347681,0
"2018","2410","VANCOUVER",9.61399711399711,9.61399711399711,0
"2019","0140","CALGARY",14.7082066869301,14.7082066869301,0
"2019","0340","EDMONTON",18.2655367231638,18.2655367231638,0
"2019","1060","MONTRÃAL",11.737987987988,11.737987987988,0
"2019","1265","OTTAWA",11.4393063583815,11.4393063583815,0
"2019","2270","TORONTO",11.9831838565022,11.9831838565022,0
"2019","2410","VANCOUVER",9.21191734742912,9.21191734742912,0
"2020","0140","CALGARY",16.8982035928144,16.8982035928144,0
"2020","0340","EDMONTON",14.9111111111111,14.9111111111111,0
"2020","1060","MONTRÃAL",12.2546666666667,12.2546666666667,0
"2020","1265","OTTAWA",12.5128205128205,12.5128205128205,0
"2020","2270","TORONTO",13.4432092798453,13.4432092798453,0
"2020","2410","VANCOUVER",8.4476423759951,8.4476423759951,0
"2021","0140","CALGARY",17.4890965732087,0,0
"2021","0340","EDMONTON",16.5357142857143,0,0
"2021","1060","MONTRÃAL",12.1098784997359,0,0
"2021","1265","OTTAWA",11.3172413793103,0,0
"2021","2270","TORONTO",12.3443101292205,0,0
"2021","2410","VANCOUVER",9.75518433179723,0,0
"2022","0140","CALGARY",18.6646706586826,0,0
"2022","0340","EDMONTON",16.6568265682657,0,0
"2022","1060","MONTRÃAL",12.9042784626541,0,0
"2022","1265","OTTAWA",10.6913580246914,0,0
"2022","2270","TORONTO",11.9062038404727,0,0
"2022","2410","VANCOUVER",8.98089519650655,0,0
"2023","0140","CALGARY",19.1532033426184,0,0
"2023","0340","EDMONTON",20.686170212766,0,0
"2023","1060","MONTRÃAL",14.6883289124668,0,0
"2023","1265","OTTAWA",14.2546419098143,0,0
"2023","2270","TORONTO",13.4728260869565,0,0
"2023","2410","VANCOUVER",9.98237885462555,0,0
