"","reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","underconstr_per_10kpop"
"64","1988-4","1265",4,3,"December 31, 1988",NA,311,56,5.55357142857143,0.464285714285714,1988,4,"694702.2267506439",4.4767382055856
"65","1988-4","1265",5,0,"December 31, 1988",NA,8,1,8,0,1988,4,"694702.2267506439",0.1151572528768
"66","1988-4","1265",5,1,"December 31, 1988",NA,16,4,4,0,1988,4,"694702.2267506439",0.2303145057536
"67","1988-4","1265",5,2,"December 31, 1988",NA,661,13,50.8461538461538,0.307692307692308,1988,4,"694702.2267506439",9.5148680189456
"68","1988-4","1265",5,3,"December 31, 1988",NA,957,9,106.333333333333,2.11111111111111,1988,4,"694702.2267506439",13.7756863753872
"69","1988-4","1265",5,4,"December 31, 1988",NA,222,3,74,0,1988,4,"694702.2267506439",3.1956137673312
"70","1989-1","0140",1,1,"March 31, 1989","CALGARY",1438,1438,1,0,1989,1,"729550.383",19.7107702704064
"71","1989-1","0140",2,1,"March 31, 1989","CALGARY",294,147,2,0,1989,1,"729550.383",4.02987931814985
"72","1989-1","0140",2,2,"March 31, 1989","CALGARY",8,4,2,0,1989,1,"729550.383",0.10965658008571
"73","1989-1","0140",4,1,"March 31, 1989","CALGARY",21,3,7,0,1989,1,"729550.383",0.287848522724989
"74","1989-1","0140",4,2,"March 31, 1989","CALGARY",224,40,5.6,0,1989,1,"729550.383",3.07038424239988
"75","1989-1","0140",5,1,"March 31, 1989","CALGARY",7,2,3.5,0,1989,1,"729550.383",0.0959495075749964
"76","1989-1","0610",1,1,"March 31, 1989",NA,942,942,1,0,1989,1,"610112.429",15.4397772480062
"77","1989-1","0610",2,1,"March 31, 1989","HAMILTON",14,7,2,0,1989,1,"610112.429",0.229465903898181
"78","1989-1","0610",2,3,"March 31, 1989",NA,12,6,2,0,1989,1,"610112.429",0.196685060484155
"79","1989-1","0610",4,1,"March 31, 1989","HAMILTON",35,7,5,0,1989,1,"610112.429",0.573664759745453
"80","1989-1","0610",4,2,"March 31, 1989",NA,30,6,5,0,1989,1,"610112.429",0.491712651210389
"81","1989-1","0610",4,3,"March 31, 1989","HAMILTON",369,53,6.9622641509434,0,1989,1,"610112.429",6.04806560988778
"82","1989-1","0610",4,4,"March 31, 1989",NA,35,5,7,0,1989,1,"610112.429",0.573664759745453
"83","1989-1","0610",5,2,"March 31, 1989",NA,54,1,54,0,1989,1,"610112.429",0.8850827721787
"84","1989-1","0610",5,3,"March 31, 1989","HAMILTON",518,9,57.5555555555556,0,1989,1,"610112.429",8.49023844423271
"85","1989-1","0610",5,4,"March 31, 1989",NA,51,1,51,0,1989,1,"610112.429",0.835911507057661
"86","1989-1","1265",1,1,"March 31, 1989",NA,1225,1225,1,0,1989,1,"699010.174594525",17.524780675912
"87","1989-1","1265",1,2,"March 31, 1989",NA,1,1,1,0,1989,1,"699010.174594525",0.0143059434089077
"88","1989-1","1265",2,1,"March 31, 1989",NA,52,26,2,0,1989,1,"699010.174594525",0.743909057263203
"89","1989-1","1265",2,2,"March 31, 1989",NA,6,3,2,0,1989,1,"699010.174594525",0.0858356604534465
"90","1989-1","1265",4,1,"March 31, 1989",NA,221,43,5.13953488372093,0,1989,1,"699010.174594525",3.16161349336861
"91","1989-1","1265",4,2,"March 31, 1989",NA,186,35,5.31428571428571,0,1989,1,"699010.174594525",2.66090547405684
"92","1989-1","1265",4,3,"March 31, 1989",NA,232,38,6.10526315789474,0.684210526315789,1989,1,"699010.174594525",3.3189788708666
"93","1989-1","1265",5,2,"March 31, 1989",NA,413,14,29.5,1.14285714285714,1989,1,"699010.174594525",5.9083546278789
"94","1989-1","1265",5,3,"March 31, 1989",NA,982,12,81.8333333333333,1.58333333333333,1989,1,"699010.174594525",14.0484364275474
"95","1989-1","1265",5,4,"March 31, 1989",NA,222,3,74,4,1989,1,"699010.174594525",3.17591943677752
"96","1989-2","0140",1,0,"June 30, 1989","CALGARY",210,210,1,0,1989,2,"734918.114",2.85746120553507
"97","1989-2","0140",1,1,"June 30, 1989","CALGARY",1450,1450,1,0,1989,2,"734918.114",19.7300892763136
"98","1989-2","0140",1,2,"June 30, 1989","CALGARY",3,3,1,0,1989,2,"734918.114",0.0408208743647867
"99","1989-2","0140",2,0,"June 30, 1989","CALGARY",28,14,2,0,1989,2,"734918.114",0.380994827404676
"100","1989-2","0140",2,1,"June 30, 1989","CALGARY",228,114,2,0,1989,2,"734918.114",3.10238645172379
"101","1989-2","0140",2,2,"June 30, 1989","CALGARY",8,4,2,0,1989,2,"734918.114",0.108855664972765
"102","1989-2","0140",4,1,"June 30, 1989","CALGARY",21,3,7,0,1989,2,"734918.114",0.285746120553507
"103","1989-2","0140",4,2,"June 30, 1989","CALGARY",224,40,5.6,0,1989,2,"734918.114",3.04795861923741
"104","1989-2","0140",5,1,"June 30, 1989","CALGARY",7,2,3.5,0,1989,2,"734918.114",0.095248706851169
"105","1989-2","0610",1,1,"June 30, 1989",NA,952,952,1,0,1989,2,"612283.13",15.5483624054773
"106","1989-2","0610",2,1,"June 30, 1989","HAMILTON",12,6,2,0,1989,2,"612283.13",0.19598776141358
"107","1989-2","0610",2,3,"June 30, 1989",NA,12,6,2,0,1989,2,"612283.13",0.19598776141358
"108","1989-2","0610",4,0,"June 30, 1989",NA,8,1,8,0,1989,2,"612283.13",0.130658507609053
"109","1989-2","0610",4,1,"June 30, 1989","HAMILTON",23,5,4.6,0,1989,2,"612283.13",0.375643209376028
"110","1989-2","0610",4,2,"June 30, 1989",NA,125,17,7.35294117647059,0,1989,2,"612283.13",2.04153918139146
"111","1989-2","0610",4,3,"June 30, 1989",NA,315,36,8.75,0,1989,2,"612283.13",5.14467873710648
"112","1989-2","0610",4,4,"June 30, 1989",NA,55,5,11,0,1989,2,"612283.13",0.898277239812242
"113","1989-2","0610",5,2,"June 30, 1989",NA,108,2,54,0,1989,2,"612283.13",1.76388985272222
"114","1989-2","0610",5,3,"June 30, 1989","HAMILTON",562,8,70.25,0,1989,2,"612283.13",9.178760159536
"115","1989-2","0610",5,4,"June 30, 1989",NA,51,1,51,0,1989,2,"612283.13",0.832947986007715
"116","1989-2","1265",1,1,"June 30, 1989",NA,1716,1716,1,0,1989,2,"703566.8941991241",24.3900049042719
"117","1989-2","1265",2,1,"June 30, 1989",NA,49,25,1.96,0,1989,2,"703566.8941991241",0.696451188991448
"118","1989-2","1265",2,2,"June 30, 1989",NA,6,3,2,0,1989,2,"703566.8941991241",0.0852797374275242
"119","1989-2","1265",2,3,"June 30, 1989",NA,2,1,2,0,1989,2,"703566.8941991241",0.0284265791425081
"120","1989-2","1265",4,1,"June 30, 1989",NA,360,69,5.21739130434783,0,1989,2,"703566.8941991241",5.11678424565145
"121","1989-2","1265",4,2,"June 30, 1989",NA,66,16,4.125,0,1989,2,"703566.8941991241",0.938077111702766
"122","1989-2","1265",4,3,"June 30, 1989",NA,108,21,5.14285714285714,0.238095238095238,1989,2,"703566.8941991241",1.53503527369544
"123","1989-2","1265",5,2,"June 30, 1989",NA,439,11,39.9090909090909,0.545454545454545,1989,2,"703566.8941991241",6.23963412178052
"124","1989-2","1265",5,3,"June 30, 1989",NA,1166,14,83.2857142857143,1.07142857142857,1989,2,"703566.8941991241",16.5726956400822
"125","1989-2","1265",5,4,"June 30, 1989",NA,78,1,78,6,1989,2,"703566.8941991241",1.10863658655781
"126","1989-3","0140",1,0,"September 30, 1989","CALGARY",378,378,1,0,1989,3,"742152.045",5.09329594315138
"127","1989-3","0140",1,1,"September 30, 1989","CALGARY",1360,1360,1,0,1989,3,"742152.045",18.3250859330314
"128","1989-3","0140",1,2,"September 30, 1989","CALGARY",15,15,1,0,1989,3,"742152.045",0.202114918379023
"129","1989-3","0140",2,0,"September 30, 1989","CALGARY",38,19,2,0,1989,3,"742152.045",0.512024459893525
"130","1989-3","0140",2,1,"September 30, 1989","CALGARY",236,118,2,0,1989,3,"742152.045",3.17994138249663
"131","1989-3","0140",2,2,"September 30, 1989","CALGARY",2,1,2,0,1989,3,"742152.045",0.0269486557838697
"132","1989-3","0140",4,0,"September 30, 1989","CALGARY",53,3,17.6666666666667,0,1989,3,"742152.045",0.714139378272548
"133","1989-3","0140",4,1,"September 30, 1989","CALGARY",152,37,4.10810810810811,0,1989,3,"742152.045",2.0480978395741
"134","1989-3","0140",4,3,"September 30, 1989","CALGARY",42,7,6,0,1989,3,"742152.045",0.565921771461264
"135","1989-3","0140",5,0,"September 30, 1989","CALGARY",39,4,9.75,0,1989,3,"742152.045",0.52549878778546
"136","1989-3","0140",5,2,"September 30, 1989","CALGARY",6,2,3,0,1989,3,"742152.045",0.0808459673516092
"137","1989-3","0610",1,1,"September 30, 1989","HAMILTON",816,816,1,0,1989,3,"613678.6869999999",13.296860674583
"138","1989-3","0610",2,1,"September 30, 1989",NA,16,8,2,0,1989,3,"613678.6869999999",0.260722758325156
"139","1989-3","0610",2,3,"September 30, 1989","HAMILTON",6,3,2,0,1989,3,"613678.6869999999",0.0977710343719335
"140","1989-3","0610",4,1,"September 30, 1989","HAMILTON",30,5,6,0,1989,3,"613678.6869999999",0.488855171859667
"141","1989-3","0610",4,3,"September 30, 1989",NA,536,81,6.61728395061728,0,1989,3,"613678.6869999999",8.73421240389272
"142","1989-3","0610",5,2,"September 30, 1989",NA,106,2,53,0,1989,3,"613678.6869999999",1.72728827390416
"143","1989-3","0610",5,3,"September 30, 1989","HAMILTON",551,7,78.7142857142857,0,1989,3,"613678.6869999999",8.97863998982256
"144","1989-3","0610",5,4,"September 30, 1989",NA,51,1,51,0,1989,3,"613678.6869999999",0.831053792161435
"145","1989-3","1265",1,1,"September 30, 1989","OTTAWA",1595,1595,1,0,1989,3,"708194.6448610859",22.522056775971
"146","1989-3","1265",1,2,"September 30, 1989",NA,1,1,1,0,1989,3,"708194.6448610859",0.0141204117717687
"147","1989-3","1265",2,1,"September 30, 1989","OTTAWA",73,37,1.97297297297297,0,1989,3,"708194.6448610859",1.03079005933911
"148","1989-3","1265",2,2,"September 30, 1989",NA,2,1,2,0,1989,3,"708194.6448610859",0.0282408235435373
"149","1989-3","1265",2,3,"September 30, 1989",NA,2,1,2,0,1989,3,"708194.6448610859",0.0282408235435373
"150","1989-3","1265",4,0,"September 30, 1989",NA,3,1,3,0,1989,3,"708194.6448610859",0.042361235315306
"151","1989-3","1265",4,1,"September 30, 1989","OTTAWA",557,95,5.86315789473684,0,1989,3,"708194.6448610859",7.86506935687514
"152","1989-3","1265",4,2,"September 30, 1989",NA,3,1,3,0,1989,3,"708194.6448610859",0.042361235315306
"153","1989-3","1265",4,3,"September 30, 1989",NA,92,18,5.11111111111111,0,1989,3,"708194.6448610859",1.29907788300272
"154","1989-3","1265",5,0,"September 30, 1989",NA,51,2,25.5,0,1989,3,"708194.6448610859",0.720141000360201
"155","1989-3","1265",5,2,"September 30, 1989",NA,691,12,57.5833333333333,1.41666666666667,1989,3,"708194.6448610859",9.75720453429214
"156","1989-3","1265",5,3,"September 30, 1989",NA,874,10,87.4,1.2,1989,3,"708194.6448610859",12.3412398885258
"157","1989-4","0140",1,0,"December 31, 1989","CALGARY",239,239,1,0,1989,4,"747414.603",3.19768972991286
"158","1989-4","0140",1,1,"December 31, 1989","CALGARY",1788,1788,1,0,1989,4,"747414.603",23.9224654271305
"159","1989-4","0140",1,2,"December 31, 1989","CALGARY",6,6,1,0,1989,4,"747414.603",0.0802767296212434
"160","1989-4","0140",2,0,"December 31, 1989","CALGARY",24,12,2,0,1989,4,"747414.603",0.321106918484974
"161","1989-4","0140",2,1,"December 31, 1989","CALGARY",248,124,2,0,1989,4,"747414.603",3.31810482434473
"162","1989-4","0140",2,2,"December 31, 1989","CALGARY",20,10,2,0,1989,4,"747414.603",0.267589098737478
"163","1989-4","0140",4,0,"December 31, 1989","CALGARY",47,2,23.5,0,1989,4,"747414.603",0.628834382033074
"164","1989-4","0140",4,1,"December 31, 1989","CALGARY",139,31,4.48387096774194,0,1989,4,"747414.603",1.85974423622547
"165","1989-4","0140",4,2,"December 31, 1989","CALGARY",12,3,4,0,1989,4,"747414.603",0.160553459242487
"166","1989-4","0140",4,3,"December 31, 1989","CALGARY",42,7,6,0,1989,4,"747414.603",0.561937107348704
"167","1989-4","0140",5,0,"December 31, 1989","CALGARY",30,1,30,0,1989,4,"747414.603",0.401383648106217
"168","1989-4","0140",5,1,"December 31, 1989","CALGARY",13,4,3.25,0,1989,4,"747414.603",0.173932914179361
"169","1989-4","0140",5,2,"December 31, 1989","CALGARY",254,22,11.5454545454545,0,1989,4,"747414.603",3.39838155396597
"170","1989-4","0140",5,3,"December 31, 1989","CALGARY",4,1,4,0,1989,4,"747414.603",0.0535178197474956
"171","1989-4","0610",1,1,"December 31, 1989","HAMILTON",853,853,1,0,1989,4,"615293.795",13.8632959885448
"172","1989-4","0610",2,1,"December 31, 1989","HAMILTON",10,5,2,0,1989,4,"615293.795",0.162523985797711
"173","1989-4","0610",2,3,"December 31, 1989","HAMILTON",10,5,2,0,1989,4,"615293.795",0.162523985797711
"174","1989-4","0610",4,1,"December 31, 1989",NA,112,27,4.14814814814815,0,1989,4,"615293.795",1.82026864093437
"175","1989-4","0610",4,2,"December 31, 1989","HAMILTON",63,13,4.84615384615385,0,1989,4,"615293.795",1.02390111052558
"176","1989-4","0610",4,3,"December 31, 1989","HAMILTON",289,42,6.88095238095238,0,1989,4,"615293.795",4.69694318955386
"177","1989-4","0610",5,2,"December 31, 1989",NA,69,2,34.5,0,1989,4,"615293.795",1.12141550200421
"178","1989-4","0610",5,3,"December 31, 1989","HAMILTON",249,4,62.25,0,1989,4,"615293.795",4.04684724636302
"179","1989-4","0610",5,4,"December 31, 1989",NA,51,1,51,0,1989,4,"615293.795",0.828872327568328
"180","1989-4","1265",1,1,"December 31, 1989",NA,1222,1222,1,0,1989,4,"712715.6858770581",17.1456869017303
"181","1989-4","1265",1,2,"December 31, 1989",NA,2,2,1,0,1989,4,"712715.6858770581",0.0280616806902296
"182","1989-4","1265",2,1,"December 31, 1989",NA,50,26,1.92307692307692,0,1989,4,"712715.6858770581",0.701542017255741
"183","1989-4","1265",2,2,"December 31, 1989",NA,2,1,2,0,1989,4,"712715.6858770581",0.0280616806902296
"184","1989-4","1265",2,3,"December 31, 1989",NA,10,5,2,0,1989,4,"712715.6858770581",0.140308403451148
"185","1989-4","1265",4,1,"December 31, 1989",NA,342,66,5.18181818181818,0,1989,4,"712715.6858770581",4.79854739802926
"186","1989-4","1265",4,2,"December 31, 1989",NA,11,4,2.75,0,1989,4,"712715.6858770581",0.154339243796263
"187","1989-4","1265",4,3,"December 31, 1989",NA,216,41,5.26829268292683,0,1989,4,"712715.6858770581",3.0306615145448
"188","1989-4","1265",5,1,"December 31, 1989",NA,3,1,3,2,1989,4,"712715.6858770581",0.0420925210353444
"189","1989-4","1265",5,2,"December 31, 1989",NA,330,10,33,0,1989,4,"712715.6858770581",4.63017731388789
"190","1989-4","1265",5,3,"December 31, 1989",NA,722,9,80.2222222222222,1.33333333333333,1989,4,"712715.6858770581",10.1302667291729
"191","1990-1","0140",1,0,"March 31, 1990","CALGARY",180,180,1,0,1990,1,"752304.777",2.39264730868511
"192","1990-1","0140",1,1,"March 31, 1990","CALGARY",2346,2346,1,0,1990,1,"752304.777",31.1841699231959
"193","1990-1","0140",1,2,"March 31, 1990","CALGARY",2,2,1,0,1990,1,"752304.777",0.0265849700965012
"194","1990-1","0140",1,3,"March 31, 1990","CALGARY",1,1,1,0,1990,1,"752304.777",0.0132924850482506
"195","1990-1","0140",2,0,"March 31, 1990","CALGARY",22,11,2,0,1990,1,"752304.777",0.292434671061513
"196","1990-1","0140",2,1,"March 31, 1990","CALGARY",240,120,2,0,1990,1,"752304.777",3.19019641158014
"197","1990-1","0140",2,2,"March 31, 1990","CALGARY",20,10,2,0,1990,1,"752304.777",0.265849700965012
"198","1990-1","0140",2,3,"March 31, 1990","CALGARY",128,64,2,0,1990,1,"752304.777",1.70143808617608
"199","1990-1","0140",4,1,"March 31, 1990","CALGARY",57,15,3.8,0,1990,1,"752304.777",0.757671647750284
"200","1990-1","0140",4,2,"March 31, 1990","CALGARY",12,3,4,0,1990,1,"752304.777",0.159509820579007
"201","1990-1","0140",4,3,"March 31, 1990","CALGARY",108,27,4,0,1990,1,"752304.777",1.43558838521106
"202","1990-1","0140",5,1,"March 31, 1990","CALGARY",12,3,4,0,1990,1,"752304.777",0.159509820579007
"203","1990-1","0140",5,2,"March 31, 1990","CALGARY",255,22,11.5909090909091,0,1990,1,"752304.777",3.3895836873039
"204","1990-1","0140",5,3,"March 31, 1990","CALGARY",34,5,6.8,0,1990,1,"752304.777",0.45194449164052
"205","1990-1","0610",1,1,"March 31, 1990",NA,910,910,1,0,1990,1,"616713.997",14.7556242346807
"206","1990-1","0610",2,1,"March 31, 1990","HAMILTON",8,4,2,0,1990,1,"616713.997",0.129719773491698
"207","1990-1","0610",2,3,"March 31, 1990","HAMILTON",6,3,2,0,1990,1,"616713.997",0.0972898301187738
"208","1990-1","0610",4,1,"March 31, 1990",NA,239,44,5.43181818181818,0,1990,1,"616713.997",3.87537823306449
"209","1990-1","0610",4,2,"March 31, 1990",NA,130,19,6.84210526315789,0,1990,1,"616713.997",2.1079463192401
"210","1990-1","0610",4,3,"March 31, 1990","HAMILTON",323,55,5.87272727272727,0,1990,1,"616713.997",5.23743585472732
"211","1990-1","0610",5,2,"March 31, 1990",NA,57,1,57,0,1990,1,"616713.997",0.924253386128352
"212","1990-1","0610",5,3,"March 31, 1990",NA,345,5,69,0,1990,1,"616713.997",5.5941652318295
"213","1990-1","1265",1,1,"March 31, 1990",NA,1062,1062,1,0,1990,1,"716991.718432139",14.811886562962
"214","1990-1","1265",1,2,"March 31, 1990",NA,2,2,1,0,1990,1,"716991.718432139",0.0278943249773295
"215","1990-1","1265",2,0,"March 31, 1990",NA,2,1,2,0,1990,1,"716991.718432139",0.0278943249773295
"216","1990-1","1265",2,1,"March 31, 1990",NA,42,23,1.82608695652174,0,1990,1,"716991.718432139",0.585780824523919
"217","1990-1","1265",2,2,"March 31, 1990",NA,2,1,2,0,1990,1,"716991.718432139",0.0278943249773295
"218","1990-1","1265",2,3,"March 31, 1990",NA,10,5,2,0,1990,1,"716991.718432139",0.139471624886647
"219","1990-1","1265",4,1,"March 31, 1990",NA,237,47,5.04255319148936,0,1990,1,"716991.718432139",3.30547750981354
"220","1990-1","1265",4,2,"March 31, 1990",NA,11,3,3.66666666666667,0,1990,1,"716991.718432139",0.153418787375312
"221","1990-1","1265",4,3,"March 31, 1990",NA,141,28,5.03571428571429,0,1990,1,"716991.718432139",1.96654991090173
"222","1990-1","1265",5,1,"March 31, 1990",NA,20,1,20,0,1990,1,"716991.718432139",0.278943249773295
"223","1990-1","1265",5,2,"March 31, 1990",NA,597,19,31.4210526315789,0.105263157894737,1990,1,"716991.718432139",8.32645600573285
"224","1990-1","1265",5,3,"March 31, 1990",NA,422,8,52.75,0.5,1990,1,"716991.718432139",5.88570257021652
"225","1990-2","0140",1,0,"June 30, 1990","CALGARY",204,204,1,0,1990,2,"756822.5660000001",2.69547988081529
"226","1990-2","0140",1,1,"June 30, 1990","CALGARY",2234,2234,1,0,1990,2,"756822.5660000001",29.5181473222615
"227","1990-2","0140",1,2,"June 30, 1990","CALGARY",4,4,1,0,1990,2,"756822.5660000001",0.0528525466826527
"228","1990-2","0140",2,0,"June 30, 1990","CALGARY",18,9,2,0,1990,2,"756822.5660000001",0.237836460071937
"229","1990-2","0140",2,1,"June 30, 1990","CALGARY",30,15,2,0,1990,2,"756822.5660000001",0.396394100119895
"230","1990-2","0140",2,2,"June 30, 1990","CALGARY",14,7,2,0,1990,2,"756822.5660000001",0.184983913389284
"231","1990-2","0140",2,3,"June 30, 1990","CALGARY",78,39,2,0,1990,2,"756822.5660000001",1.03062466031173
"232","1990-2","0140",4,2,"June 30, 1990","CALGARY",105,23,4.56521739130435,0,1990,2,"756822.5660000001",1.38737935041963
