"","reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","underconstr_per_10kpop"
"1","1988-2","0140",1,0,"June 30, 1988","CALGARY",1,1,1,0,1988,2,"714926.887",0.0139874442853343
"2","1988-2","0140",1,1,"June 30, 1988","CALGARY",1424,1424,1,0,1988,2,"714926.887",19.9181206623161
"3","1988-2","0140",2,1,"June 30, 1988","CALGARY",98,49,2,0,1988,2,"714926.887",1.37076953996276
"4","1988-2","0140",4,1,"June 30, 1988","CALGARY",64,8,8,0,1988,2,"714926.887",0.895196434261396
"5","1988-2","0140",5,1,"June 30, 1988","CALGARY",11,3,3.66666666666667,0,1988,2,"714926.887",0.153861887138677
"6","1988-2","0140",5,2,"June 30, 1988","CALGARY",4,1,4,0,1988,2,"714926.887",0.0559497771413373
"7","1988-2","0610",1,1,"June 30, 1988",NA,1112,1112,1,0,1988,2,"599723.112",18.5418900447512
"8","1988-2","0610",2,1,"June 30, 1988","HAMILTON",18,9,2,0,1988,2,"599723.112",0.300138507918634
"9","1988-2","0610",4,2,"June 30, 1988",NA,231,35,6.6,0,1988,2,"599723.112",3.85177751828914
"10","1988-2","0610",4,3,"June 30, 1988",NA,228,38,6,0,1988,2,"599723.112",3.80175443363603
"11","1988-2","0610",5,2,"June 30, 1988",NA,112,2,56,0,1988,2,"599723.112",1.86752849371595
"12","1988-2","0610",5,3,"June 30, 1988",NA,1182,19,62.2105263157895,0,1988,2,"599723.112",19.7090953533237
"13","1988-2","1265",1,1,"June 30, 1988",NA,1873,1873,1,0,1988,2,"687116.1271702311",27.2588566319004
"14","1988-2","1265",2,1,"June 30, 1988",NA,45,23,1.95652173913043,0,1988,2,"687116.1271702311",0.654911131038718
"15","1988-2","1265",4,1,"June 30, 1988","OTTAWA",370,66,5.60606060606061,0,1988,2,"687116.1271702311",5.38482485520724
"16","1988-2","1265",4,2,"June 30, 1988",NA,239,40,5.975,0,1988,2,"687116.1271702311",3.47830578485008
"17","1988-2","1265",4,3,"June 30, 1988",NA,75,13,5.76923076923077,0,1988,2,"687116.1271702311",1.0915185517312
"18","1988-2","1265",4,4,"June 30, 1988",NA,33,5,6.6,0,1988,2,"687116.1271702311",0.480268162761727
"19","1988-2","1265",5,1,"June 30, 1988","OTTAWA",10,3,3.33333333333333,0,1988,2,"687116.1271702311",0.145535806897493
"20","1988-2","1265",5,2,"June 30, 1988",NA,1102,28,39.3571428571429,0,1988,2,"687116.1271702311",16.0380459201037
"21","1988-2","1265",5,3,"June 30, 1988",NA,840,11,76.3636363636364,0,1988,2,"687116.1271702311",12.2250077793894
"22","1988-3","0140",1,1,"September 30, 1988","CALGARY",1442,1442,1,0,1988,3,"719616.5580000001",20.038449421004
"23","1988-3","0140",2,1,"September 30, 1988","CALGARY",182,91,2,0,1988,3,"719616.5580000001",2.52912468420439
"24","1988-3","0140",4,1,"September 30, 1988","CALGARY",61,7,8.71428571428571,0,1988,3,"719616.5580000001",0.84767365789268
"25","1988-3","0140",5,1,"September 30, 1988","CALGARY",11,3,3.66666666666667,0,1988,3,"719616.5580000001",0.152859184210155
"26","1988-3","0140",5,2,"September 30, 1988","CALGARY",4,1,4,0,1988,3,"719616.5580000001",0.055585157894602
"27","1988-3","0610",1,1,"September 30, 1988",NA,1429,1429,1,0,1988,3,"604688.9670000001",23.6319840113769
"28","1988-3","0610",2,1,"September 30, 1988","HAMILTON",12,6,2,0,1988,3,"604688.9670000001",0.198449130956279
"29","1988-3","0610",4,2,"September 30, 1988",NA,68,9,7.55555555555556,0,1988,3,"604688.9670000001",1.12454507541891
"30","1988-3","0610",4,3,"September 30, 1988",NA,257,15,17.1333333333333,0,1988,3,"604688.9670000001",4.25011888798031
"31","1988-3","0610",5,3,"September 30, 1988","HAMILTON",901,14,64.3571428571429,0,1988,3,"604688.9670000001",14.9002222493006
"32","1988-3","0610",5,4,"September 30, 1988",NA,47,1,47,0,1988,3,"604688.9670000001",0.777259096245426
"33","1988-3","1265",1,1,"September 30, 1988",NA,1860,1860,1,0,1988,3,"690767.356122307",26.9265764155576
"34","1988-3","1265",1,2,"September 30, 1988",NA,2,2,1,0,1988,3,"690767.356122307",0.0289533079737179
"35","1988-3","1265",2,1,"September 30, 1988",NA,54,27,2,0,1988,3,"690767.356122307",0.781739315290382
"36","1988-3","1265",2,2,"September 30, 1988",NA,6,3,2,0,1988,3,"690767.356122307",0.0868599239211536
"37","1988-3","1265",4,1,"September 30, 1988",NA,374,67,5.58208955223881,0,1988,3,"690767.356122307",5.41426859108524
"38","1988-3","1265",4,2,"September 30, 1988",NA,227,23,9.8695652173913,0,1988,3,"690767.356122307",3.28620045501698
"39","1988-3","1265",4,3,"September 30, 1988",NA,114,24,4.75,0,1988,3,"690767.356122307",1.65033855450192
"40","1988-3","1265",5,1,"September 30, 1988",NA,4,1,4,0,1988,3,"690767.356122307",0.0579066159474357
"41","1988-3","1265",5,2,"September 30, 1988",NA,812,29,28,0.275862068965517,1988,3,"690767.356122307",11.7550430373295
"42","1988-3","1265",5,3,"September 30, 1988",NA,947,9,105.222222222222,2.88888888888889,1988,3,"690767.356122307",13.7093913255554
"43","1988-3","1265",5,4,"September 30, 1988",NA,222,3,74,0,1988,3,"690767.356122307",3.21381718508268
"44","1988-4","0140",1,1,"December 31, 1988","CALGARY",1341,1341,1,0,1988,4,"724449.865",18.5105976933269
"45","1988-4","0140",2,1,"December 31, 1988","CALGARY",230,115,2,0,1988,4,"724449.865",3.17482287059298
"46","1988-4","0140",2,2,"December 31, 1988","CALGARY",2,1,2,0,1988,4,"724449.865",0.0276071553964607
"47","1988-4","0140",4,1,"December 31, 1988","CALGARY",21,3,7,0,1988,4,"724449.865",0.289875131662838
"48","1988-4","0140",4,2,"December 31, 1988","CALGARY",76,3,25.3333333333333,0,1988,4,"724449.865",1.04907190506551
"49","1988-4","0140",5,1,"December 31, 1988","CALGARY",11,3,3.66666666666667,0,1988,4,"724449.865",0.151839354680534
"50","1988-4","0610",1,1,"December 31, 1988",NA,1050,1050,1,0,1988,4,"607581.042",17.2816452031431
"51","1988-4","0610",2,1,"December 31, 1988","HAMILTON",10,5,2,0,1988,4,"607581.042",0.164587097172792
"52","1988-4","0610",4,2,"December 31, 1988",NA,15,3,5,0,1988,4,"607581.042",0.246880645759187
"53","1988-4","0610",4,3,"December 31, 1988",NA,329,41,8.02439024390244,0,1988,4,"607581.042",5.41491549698484
"54","1988-4","0610",4,4,"December 31, 1988",NA,35,5,7,0,1988,4,"607581.042",0.576054840104771
"55","1988-4","0610",5,2,"December 31, 1988",NA,54,1,54,0,1988,4,"607581.042",0.888770324733075
"56","1988-4","0610",5,3,"December 31, 1988","HAMILTON",818,13,62.9230769230769,0,1988,4,"607581.042",13.4632245487344
"57","1988-4","0610",5,4,"December 31, 1988",NA,105,2,52.5,0,1988,4,"607581.042",1.72816452031431
"58","1988-4","1265",1,1,"December 31, 1988",NA,1473,1473,1,0,1988,4,"694702.2267506439",21.2033291859408
"59","1988-4","1265",2,1,"December 31, 1988",NA,52,26,2,0,1988,4,"694702.2267506439",0.7485221436992
"60","1988-4","1265",2,2,"December 31, 1988",NA,8,4,2,0,1988,4,"694702.2267506439",0.1151572528768
"61","1988-4","1265",4,0,"December 31, 1988",NA,26,2,13,0,1988,4,"694702.2267506439",0.3742610718496
"62","1988-4","1265",4,1,"December 31, 1988",NA,303,58,5.22413793103448,0,1988,4,"694702.2267506439",4.3615809527088
"63","1988-4","1265",4,2,"December 31, 1988",NA,280,47,5.95744680851064,0,1988,4,"694702.2267506439",4.030503850688
