"","reference_period_qq","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","underconstr_per_10kpop"
"44","1991-4","0610","December 31, 1991",NA,1374,442,3.10859728506787,0.00678733031674208,1991,4,"623080.796",22.0517147827487
"45","1991-4","1265","December 31, 1991",NA,2431,747,3.25435073627845,0.00535475234270415,1991,4,"742919.301303064",32.7222619702581
"46","1992-1","0140","March 31, 1992","CALGARY",2071,1590,1.30251572327044,0,1992,1,"782132.749",26.4788810166546
"47","1992-1","0610","March 31, 1992",NA,1285,447,2.87472035794183,0,1992,1,"623773.236",20.6004349952584
"48","1992-1","1265","March 31, 1992",NA,2384,449,5.30957683741648,0.022271714922049,1992,1,"746121.7732902999",31.9518888919013
"49","1992-2","0140","June 30, 1992","CALGARY",2665,2152,1.23838289962825,0,1992,2,"784994.777",33.9492704675664
"50","1992-2","0610","June 30, 1992",NA,1506,514,2.92996108949416,0,1992,2,"624391.6460000001",24.1194770885836
"51","1992-2","1265","June 30, 1992",NA,3094,924,3.34848484848485,0.00541125541125541,1992,2,"749247.3200669179",41.2947756653125
"52","1992-3","0140","September 30, 1992","CALGARY",2350,1767,1.32993774759479,0,1992,3,"786397.575",29.8831033399359
"53","1992-3","0610","September 30, 1992","HAMILTON",1452,507,2.86390532544379,0,1992,3,"624313.014",23.2575641935922
"54","1992-3","1265","September 30, 1992",NA,2673,1006,2.65705765407555,0.0159045725646123,1992,3,"752402.879727156",35.5261798169793
"55","1992-4","0140","December 31, 1992","CALGARY",2454,1888,1.29978813559322,0,1992,4,"789289.723",31.0912448051728
"56","1992-4","0610","December 31, 1992","HAMILTON",1347,486,2.7716049382716,0,1992,4,"625032.573",21.550876837262
"57","1992-4","1265","December 31, 1992",NA,1886,703,2.6827880512091,0.0284495021337127,1992,4,"755695.390365255",24.9571457500677
"58","1993-1","0140","March 31, 1993","CALGARY",2494,1853,1.34592552617377,0,1993,1,"792442.646",31.4723092275375
"59","1993-1","0610","March 31, 1993","HAMILTON",876,400,2.19,0,1993,1,"625927.3080000001",13.9952353700472
"60","1993-1","1265","March 31, 1993",NA,1125,387,2.90697674418605,0.0232558139534884,1993,1,"759175.950016865",14.8186991431302
"61","1993-2","0140","June 30, 1993","CALGARY",2674,1962,1.36289500509684,0,1993,2,"795856.344",33.5990285201521
"62","1993-2","0610","June 30, 1993","HAMILTON",1303,646,2.01702786377709,0,1993,2,"626997.22",20.7815913442168
"63","1993-2","1265","June 30, 1993",NA,1197,464,2.57974137931034,0,1993,2,"762672.296483289",15.694814214695
"64","1993-3","0140","September 30, 1993","CALGARY",2657,1836,1.44716775599129,0,1993,3,"799783.125",33.2215061426809
"65","1993-3","0610","September 30, 1993","HAMILTON",1533,567,2.7037037037037,0,1993,3,"628465.428",24.3927498904522
"66","1993-3","1265","September 30, 1993",NA,1219,430,2.83488372093023,0.0372093023255814,1993,3,"765956.32750724",15.9147454785988
"67","1993-4","0140","December 31, 1993","CALGARY",2635,1967,1.33960345704118,0,1993,4,"803617.45",32.7892332352912
"68","1993-4","0610","December 31, 1993","HAMILTON",1810,695,2.60431654676259,0,1993,4,"629796.445",28.7394445359246
"69","1993-4","1265","December 31, 1993",NA,1522,431,3.53132250580046,0.0487238979118329,1993,4,"768799.940831432",19.7970878919945
"70","1994-1","0140","March 31, 1994","CALGARY",2578,2024,1.27371541501976,0,1994,1,"807611.627",31.9212838673012
"71","1994-1","0610","March 31, 1994","HAMILTON",1602,624,2.56730769230769,0,1994,1,"631213.391",25.3796897030659
"72","1994-1","1265","March 31, 1994",NA,1374,415,3.31084337349398,0.0506024096385542,1994,1,"771049.602307312",17.8198652316064
"73","1994-2","0140","June 30, 1994","CALGARY",2704,2217,1.21966621560668,0,1994,2,"811765.6560000001",33.3101059402296
"74","1994-2","0610","June 30, 1994","HAMILTON",1922,815,2.35828220858896,0,1994,2,"632716.265",30.3769652578791
