"","reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"549","2006-2","1265","K1V","June 30, 2006","OTTAWA",20,12,1.66666666666667,0
"550","2006-2","1265","K1W","June 30, 2006","OTTAWA",0,3,0,0
"551","2006-2","1265","K1Y","June 30, 2006","OTTAWA",1,1,1,0
"552","2006-2","1265","K1Z","June 30, 2006","OTTAWA",3,3,1,0
"553","2006-2","1265","K2A","June 30, 2006","OTTAWA",0,1,0,0
"554","2006-2","1265","K2B","June 30, 2006","OTTAWA",2,2,1,0
"555","2006-2","1265","K2C","June 30, 2006","OTTAWA",5,5,1,0
"556","2006-2","1265","K2E","June 30, 2006","OTTAWA",0,1,0,0
"557","2006-2","1265","K2G","June 30, 2006","OTTAWA",0,1,0,0
"558","2006-2","1265","K2H","June 30, 2006","OTTAWA",2,2,1,0
"559","2006-2","1265","K2K","June 30, 2006","OTTAWA",1,4,0.25,0
"560","2006-2","1265","K2M","June 30, 2006","OTTAWA",0,1,0,0
"561","2006-2","1265","K2S","June 30, 2006","OTTAWA",0,5,0,0
"562","2006-2","1265","K2T","June 30, 2006","OTTAWA",1,1,1,0
"563","2006-2","1265","K4K","June 30, 2006","OTTAWA",0,1,0,0
"564","2006-2","1265","K4M","June 30, 2006","OTTAWA",1,1,1,0
"565","2006-2","1265","K4P","June 30, 2006","OTTAWA",5,8,0.625,0
"566","2006-2","1265","nan","June 30, 2006","OTTAWA",169,227,0.744493392070485,0
"567","2006-2","1400","G0A","June 30, 2006","QUÉBEC",1,27,0.037037037037037,0
"568","2006-2","1400","G1B","June 30, 2006","QUÉBEC",2,2,1,0
"569","2006-2","1400","G1C","June 30, 2006","QUÉBEC",1,2,0.5,0
"570","2006-2","1400","G1K","June 30, 2006","QUÉBEC",26,2,13,0
"571","2006-2","1400","G1T","June 30, 2006","QUÉBEC",0,1,0,0
"572","2006-2","1400","G1W","June 30, 2006","QUÉBEC",1,1,1,0
"573","2006-2","1400","G1X","June 30, 2006","QUÉBEC",4,12,0.333333333333333,0.333333333333333
"574","2006-2","1400","G1Y","June 30, 2006","QUÉBEC",1,1,1,2
"575","2006-2","1400","G2A","June 30, 2006","QUÉBEC",13,3,4.33333333333333,3
"576","2006-2","1400","G2B","June 30, 2006","QUÉBEC",2,18,0.111111111111111,0
"577","2006-2","1400","G2C","June 30, 2006","QUÉBEC",5,5,1,1
"578","2006-2","1400","G2E","June 30, 2006","QUÉBEC",4,20,0.2,0.15
"579","2006-2","1400","G2G","June 30, 2006","QUÉBEC",2,16,0.125,0
"580","2006-2","1400","G2J","June 30, 2006","QUÉBEC",1,1,1,3
"581","2006-2","1400","G2L","June 30, 2006","QUÉBEC",8,1,8,0
"582","2006-2","1400","G2N","June 30, 2006","QUÉBEC",0,1,0,0
"583","2006-2","1400","G3A","June 30, 2006","QUÉBEC",3,15,0.2,0
"584","2006-2","1400","G3B","June 30, 2006","QUÉBEC",0,17,0,0
"585","2006-2","1400","G3E","June 30, 2006","QUÉBEC",2,19,0.105263157894737,0
"586","2006-2","1400","G3J","June 30, 2006","QUÉBEC",0,5,0,0
"587","2006-2","1400","G3K","June 30, 2006","QUÉBEC",0,2,0,0
"588","2006-2","1400","G6C","June 30, 2006","QUÉBEC",1,5,0.2,0
"589","2006-2","1400","G6K","June 30, 2006","QUÉBEC",3,13,0.230769230769231,0.153846153846154
"590","2006-2","1400","G6V","June 30, 2006","QUÉBEC",11,11,1,0
"591","2006-2","1400","G6W","June 30, 2006","QUÉBEC",10,6,1.66666666666667,2.33333333333333
"592","2006-2","1400","G6Z","June 30, 2006","QUÉBEC",0,16,0,0
"593","2006-2","1400","G7A","June 30, 2006","QUÉBEC",1,9,0.111111111111111,0
"594","2006-2","1400","nan","June 30, 2006","QUÉBEC",166,176,0.943181818181818,0.198863636363636
"595","2006-2","1490","S4N","June 30, 2006","REGINA",3,6,0.5,0
"596","2006-2","1490","S4P","June 30, 2006","REGINA",3,6,0.5,0
"597","2006-2","1490","S4R","June 30, 2006","REGINA",0,2,0,0
"598","2006-2","1490","S4S","June 30, 2006","REGINA",13,2,6.5,0
"599","2006-2","1490","S4T","June 30, 2006","REGINA",14,5,2.8,0
"600","2006-2","1490","S4V","June 30, 2006","REGINA",27,38,0.710526315789474,0
"601","2006-2","1490","S4X","June 30, 2006","REGINA",16,24,0.666666666666667,0
"602","2006-2","1490","nan","June 30, 2006","REGINA",14,25,0.56,0.12
"603","2006-2","1700","S7H","June 30, 2006","SASKATOON",0,1,0,0
"604","2006-2","1700","S7J","June 30, 2006","SASKATOON",3,4,0.75,0
"605","2006-2","1700","S7K","June 30, 2006","SASKATOON",0,2,0,0
