"ref_yy","metcode","metro","avglengthofconstr_sfd","avglengthofconstr_semi","avglengthofconstr_row","avglengthofconstr_apt"
"1988","0140","CALGARY",5.68240620957309,3.24117647058824,0.794117647058823,0.295454545454545
"1988","0340","EDMONTON",4.54133333333333,2.21212121212121,1.04705882352941,0.192307692307692
"1988","1060",NA,5.7940889899318,3.74530271398747,1.20853858784893,0.578807191096737
"1988","1265",NA,4.81075359864522,3.17241379310345,0.951771653543307,0.250580046403712
"1988","2270","TORONTO",7.53859260521384,4.10483870967742,1.0251976284585,0.132926603808467
"1988","2410","VANCOUVER",4.79688339602364,3.04205607476635,1.27532679738562,0.262818634632288
"1989","0140","CALGARY",4.44985004998334,2.96428571428571,0.807407407407407,1.5
"1989","0340","EDMONTON",4.50419207317073,2.84831460674157,1.36475409836066,0.0995850622406639
"1989","1060",NA,5.30322029068111,4.10336538461539,1.5202492211838,0.454502052897928
"1989","1265",NA,5.01632245169887,2.6,1.04334600760456,0.164041281912004
"1989","2270","TORONTO",7.05417014676053,3.69607843137255,1.06210250654695,0.110560320819873
"1989","2410","VANCOUVER",5.17671250481943,3.08990825688073,1.32575142160845,0.30724033358605
"1990","0140","CALGARY",4.5622161671208,5.64285714285714,1.51178451178451,0.385714285714286
"1990","0340","EDMONTON",4.71764437343072,2.91517857142857,1.68895348837209,0.205240174672489
"1990","1060",NA,5.85772669220945,3.38359201773836,1.69896193771626,0.664645464670214
"1990","1265",NA,5.49856262833676,3.57777777777778,1.10945709281961,0.204318936877076
"1990","2270","TORONTO",9.11688311688312,3.73333333333333,1.03094140882159,0.107315028295955
"1990","2410","VANCOUVER",5.70398794024942,3.1958904109589,1.30606281957633,0.304085303186023
"1991","0140","CALGARY",4.37549800796813,3.26548672566372,2.38513513513514,0.843033509700176
"1991","0340","EDMONTON",5.28246753246753,2.6796875,1.29181494661922,0.223320158102767
"1991","1060",NA,5.43462246777164,3.35980148883375,1.01772151898734,0.560617193240264
"1991","1265",NA,5.26466165413534,2.8,0.85171568627451,0.214703425229741
"1991","2270","TORONTO",8.17923005993545,3.01538461538462,1.06430868167203,0.106591865357644
"1991","2410","VANCOUVER",5.70534142046566,3.54587155963303,1.60205831903945,0.302028795811518
"1992","0140","CALGARY",4.60796221322537,3.14583333333333,1.98375870069606,0.915384615384615
"1992","0340","EDMONTON",4.57519173057686,2.4406779661017,1.26911314984709,0.292089249492901
"1992","1060",NA,5.272647702407,2.74271844660194,0.995794785534062,0.645530939648587
"1992","1265",NA,4.66889632107023,2.5,0.756198347107438,0.231412639405204
"1992","2270","TORONTO",8.52220432581684,2.48684210526316,0.932930705657978,0.140116959064327
"1992","2410","VANCOUVER",5.3836934237502,3.38782051282051,1.47549481621112,0.314239218877136
"1993","0140","CALGARY",4.25510204081633,3.2111801242236,1.80228758169935,0.525
"1993","0340","EDMONTON",4.4704641350211,2.375,1.14745011086475,0.243281471004243
"1993","1060",NA,4.73111944295662,2.92906574394464,1.20086956521739,0.725571725571726
"1993","1265",NA,4.47464503042596,1.8125,0.787798408488064,0.161716171617162
"1993","2270","TORONTO",6.26567250615318,2.78877887788779,0.971764705882353,0.166952894995093
"1993","2410","VANCOUVER",5.61559707554833,3.04456824512535,1.48272957034541,0.25491873396065
"1994","0140","CALGARY",4.37170760580053,4.57042253521127,2.06270627062706,1.19469026548673
"1994","0340","EDMONTON",4.80405965202983,3.10869565217391,1.57272727272727,0.183850036049027
"1994","1060","MONTRÃAL",4.62619808306709,3.03908794788274,1.29972752043597,0.72791519434629
