"ref_yy","metcode","metro","avglengthofconstr_sfd","avglengthofconstr_semi","avglengthofconstr_row","avglengthofconstr_apt"
"1988","0140","CALGARY",5.68240620957309,6.48235294117647,10.125,13
"1988","1265",NA,4.81075359864522,5.93548387096774,5.89634146341463,9.25714285714286
"1989","0140","CALGARY",4.44985004998334,5.92857142857143,4.27450980392157,6
"1989","1265","OTTAWA",5.01632245169887,5.08695652173913,5.57723577235772,8.16216216216216
"1990","0140","CALGARY",4.5622161671208,11.2857142857143,6.50724637681159,7.2
"1990","1265",NA,5.49856262833676,6.44,6.00473933649289,8.2
"1991","0140","CALGARY",4.37549800796813,6.47368421052632,11.5737704918033,11.1162790697674
"1991","1265",NA,5.26466165413534,5,4.79310344827586,11.1739130434783
"1992","0140","CALGARY",4.60796221322537,6.29166666666667,8.46534653465346,7.4375
"1992","1265","OTTAWA",4.66889632107023,4.66666666666667,4.08938547486034,6.72972972972973
"1993","0140","CALGARY",4.25510204081633,6.42236024844721,8.41984732824428,6.3
"1993","1265",NA,4.47464503042596,3.625,4.36764705882353,7
"1994","0140","CALGARY",4.37170760580053,9.14084507042254,9.25925925925926,13.5
"1994","1265",NA,5.34096692111959,17.2307692307692,3.8125,6.39393939393939
"1995","0140","CALGARY",4.77734067663257,7.93333333333333,10.0806451612903,11.375
"1995","1265",NA,5.75,3.72727272727273,5.28888888888889,8.77777777777778
"1996","0140","CALGARY",4.52633127390409,11.6888888888889,14.56,12.1428571428571
"1996","1265",NA,4.97260273972603,4,4.35514018691589,6.6
"1997","0140","CALGARY",4.30729256885501,8.06341463414634,9.22147651006711,12.2608695652174
"1997","1265","OTTAWA",4.09805825242718,3.62857142857143,4.08839779005525,5.35714285714286
"1998","0140","CALGARY",4.29389264312125,7.05803571428571,7.82038834951456,9
"1998","1265",NA,4.1255230125523,4.45098039215686,4.08484848484848,7
"1999","0140","CALGARY",4.31653372008702,7.52542372881356,8.86363636363636,12.5
"1999","1265",NA,3.82943525385054,3.82692307692308,4.4639175257732,6.8
"2000","0140","CALGARY",4.47062245491565,9.4822695035461,12.4701492537313,13.3452380952381
"2000","1265",NA,4.61024590163934,4.59259259259259,4.84974093264249,5.875
"2001","0140","CALGARY",4.40976491862568,7.99406528189911,8.34391534391534,11.6724137931034
"2001","1265","OTTAWA",5.07771563143951,5.49009900990099,5.27306273062731,6.375
"2002","0140","CALGARY",4.64999345292654,7.95348837209302,8.15962441314554,12.4
"2002","1265","OTTAWA",5.04736490993996,5.45,5.38823529411765,8.59090909090909
"2003","0140","CALGARY",5.02661328308997,7.96842105263158,8.19678714859438,11.2424242424242
"2003","1265","OTTAWA",5.48989898989899,5.85534591194969,6.17927170868347,10.9285714285714
"2004","0140","CALGARY",5.2148620510151,7.7225,8.78378378378378,12.8135593220339
"2004","1265","OTTAWA",5.60368349249659,5.48407643312102,6.8568129330254,12.45
"2005","0140","CALGARY",5.14900440999599,7.86859688195991,8.11612903225806,12.3230769230769
"2005","1265","OTTAWA",5.85623257666268,6.55072463768116,6.97443181818182,13.2777777777778
"2006","0140","CALGARY",5.93467399450412,8.50218340611354,10.2695035460993,13.8235294117647
"2006","1265","OTTAWA",5.97583219334245,6.09574468085106,6.78963414634146,10.1935483870968
"2007","0140","CALGARY",7.69166206515737,9.46723044397463,11.6971428571429,16.7692307692308
"2007","1265","OTTAWA",6.13747412008282,6.12,6.7037037037037,9.81666666666667
"2008","0140","CALGARY",7.84757709251101,10.9468503937008,13.3303167420814,17.047619047619
"2008","1265","OTTAWA",7.09775753328662,7.95081967213115,7.87407407407407,11.625
"2009","0140","CALGARY",6.9987721021611,10.4487804878049,13.5419847328244,17.804347826087
"2009","1265","OTTAWA",7.14544084400904,7.53658536585366,8.25449101796407,12.1833333333333
"2010","0140","CALGARY",5.96447602131439,7.85817307692308,9.13740458015267,23.0909090909091
"2010","1265","OTTAWA",6.27547592385218,6.85714285714286,8.03233830845771,11.2363636363636
"2011","0140","CALGARY",6.02405498281787,7.68192771084337,8.5765306122449,13.9459459459459
"2011","1265","OTTAWA",5.78784810126582,5.65882352941177,8.1620253164557,11.44
"2012","0140","CALGARY",6.14150943396226,8.44181034482759,10.0952380952381,15.7894736842105
"2012","1265","OTTAWA",6.75790684301323,7.30701754385965,8.88778877887789,11.859375
"2013","0140","CALGARY",6.32790189820259,8.30742659758204,8.84353741496599,11.7272727272727
"2013","1265","OTTAWA",7.40625,7.45977011494253,9.38263665594855,16.0689655172414
"2014","0140","CALGARY",6.52529244388239,8.87964338781575,8.71472392638037,13.6133333333333
"2014","1265","OTTAWA",6.38925081433225,7.13333333333333,8.23958333333333,12.5222222222222
"2015","0140","CALGARY",7.1078706300243,9.13826815642458,9.52202643171806,13.3445378151261
"2015","1265","OTTAWA",6.31325301204819,6.62162162162162,8.27035830618892,12.2676056338028
"2016","0140","CALGARY",7.6046640755136,9.09233791748527,9.28880866425993,14.3983739837398
"2016","1265","OTTAWA",6.54241516966068,7.90217391304348,8.83450704225352,11.2881355932203
"2017","0140","CALGARY",6.66910836069715,6.95826086956522,9.15525114155251,14.9113924050633
"2017","1265","OTTAWA",6.53629856850716,7.69117647058824,8.48137535816619,12.4193548387097
"2018","0140","CALGARY",6.37856463878327,7.01980198019802,9.13865546218487,13.8032786885246
"2018","1265","OTTAWA",7.04001600640256,7.44303797468354,7.86329113924051,13.2238805970149
"2019","0140","CALGARY",6.91081871345029,7.49143835616438,9.1728813559322,13.75
"2019","1265","OTTAWA",7.42899408284024,7.36301369863014,9.05291005291005,14.7441860465116
"2020","0140","CALGARY",6.54126213592233,7.3202846975089,9.37377049180328,14.283950617284
"2020","1265","OTTAWA",8.63206412825651,10.1240875912409,9.44135188866799,15.8823529411765
"2021","0140","CALGARY",5.85413048871248,6.38738738738739,9.22314049586777,11.8428571428571
"2021","1265","OTTAWA",8.87660944206009,10.030303030303,9.86981132075472,16.2125
"2022","0140","CALGARY",7.36020408163265,7.49915397631134,10.3178571428571,14.1340206185567
"2022","1265","OTTAWA",10.2433697347894,12.5360824742268,10.9780439121756,17.4358974358974
"2023","0140","CALGARY",8.05404469080201,8.59378881987578,10.6413043478261,15.1181818181818
"2023","1265","OTTAWA",10.881654538491,12.352,12.6709796672828,19.5373134328358
"1988","1060",NA,5.7940889899318,7.32244897959184,6.69090909090909,6.55005382131324
"1989","1060",NA,5.30322029068111,8.16746411483254,7.625,5.84049079754601
"1990","1060",NA,5.85772669220945,6.75221238938053,7.79365079365079,6.63086419753086
"1991","1060",NA,5.43462246777164,6.7029702970297,5.22077922077922,5.90328820116054
"1992","1060",NA,5.272647702407,5.48543689320388,5.48148148148148,5.8953488372093
