"ref_yy","metcode","metro","three_or_fewer_stories","four_to_six_stories","seven_to_twenty_stories","twentyone_to_thirty_stories","greater_than_thirty_stories","avglengthofconstr"
"2003","1265","OTTAWA",5.59857142857143,NA,NA,NA,NA,6.35849056603774
"2004","0140","CALGARY",5.48398278747311,NA,NA,NA,NA,9.62989323843416
"2004","1265","OTTAWA",5.79000846740051,NA,NA,NA,NA,7.1037527593819
"2005","0140","CALGARY",5.41160593792173,12,NA,NA,NA,9.35909090909091
"2005","1265","OTTAWA",6.06421714664019,NA,NA,NA,NA,7.28108108108108
"2006","0140","CALGARY",6.17857142857143,14,23,27,NA,11.2135416666667
"2006","1265","OTTAWA",6.12299270072993,NA,26,NA,NA,7.08356545961003
"2007","0140","CALGARY",7.88500205170291,21.3333333333333,35,28,NA,12.8590308370044
"2007","1265","OTTAWA",6.27254237288136,NA,9,NA,NA,7.19010416666667
"2008","0140","CALGARY",8.29140378548896,16.2,30,24.5,29.5,14.3540983606557
"2008","1265","OTTAWA",7.27524810274372,4,22.5,NA,NA,8.27152317880795
"2009","0140","CALGARY",7.58689581095596,14.75,NA,NA,NA,14.6497175141243
"2009","1265","OTTAWA",7.37003154574133,NA,16,NA,NA,8.85279187817259
"2010","0140","CALGARY",6.1844674556213,23.8,29.5,30.6,28,11.9451219512195
"2010","1265","OTTAWA",6.59469240048251,19.5,NA,NA,NA,8.41794310722101
"2011","0140","CALGARY",6.29730239577438,17,NA,NA,NA,9.45689655172414
"2011","1265","OTTAWA",6.24459041731066,12,12,NA,NA,8.53033707865169
"2012","0140","CALGARY",6.50921697953661,11.2,38.5,35,NA,10.9213483146067
"2012","1265","OTTAWA",7.16727107887579,13.8461538461538,16,NA,NA,9.40599455040872
"2013","0140","CALGARY",6.62479988356862,14.4838709677419,NA,15,NA,9.44204851752021
"2013","1265","OTTAWA",7.94559460760713,15.6,19,NA,NA,10.4336043360434
"2014","0140","CALGARY",6.86366105377512,13.6071428571429,27.1666666666667,14.5,NA,9.63092269326683
"2014","1265","OTTAWA",6.78934010152284,13.5,20.2,28.6666666666667,NA,9.25925925925926
"2015","0140","CALGARY",7.54604863221885,12.2307692307692,26.7142857142857,14,NA,10.3158813263525
"2015","1265","OTTAWA",6.71734892787524,14.8571428571429,21.4,23,NA,9.02116402116402
"2016","0140","CALGARY",7.93854119765871,14.0172413793103,23.4444444444444,22,29,10.86
"2016","1265","OTTAWA",6.93221035332786,17.8,21.6666666666667,11,NA,9.25655976676385
"2017","0140","CALGARY",6.85884318229275,15.5757575757576,17.75,32,29,10.6812080536913
"2017","1265","OTTAWA",6.95056270096463,14.1666666666667,20.8,38,NA,9.07542579075426
"2018","0140","CALGARY",6.60187719984357,15.7407407407407,23.75,NA,26,10.0903010033445
"2018","1265","OTTAWA",7.24734641363783,17.8333333333333,19.75,30.5,NA,8.64069264069264
"2019","0140","CALGARY",7.14748930421076,15.2727272727273,23.6,30.5,30,10.2245430809399
"2019","1265","OTTAWA",7.69320122992825,17.8333333333333,22.5,25,NA,9.63420427553444
"2020","0140","CALGARY",6.84234704531217,16.1666666666667,26.6666666666667,NA,27,10.4041450777202
"2020","1265","OTTAWA",8.94942241648455,16.6666666666667,23.25,NA,NA,10.3724489795918
"2021","0140","CALGARY",6.14731161303218,11.4827586206897,20.6,NA,49,9.81089743589744
"2021","1265","OTTAWA",9.1713475177305,16.1666666666667,28.3333333333333,31.5,36,10.7016393442623
"2022","0140","CALGARY",7.56138920593511,12.6388888888889,28.25,NA,35,11.2997347480106
"2022","1265","OTTAWA",10.5004654049023,21.8181818181818,25.6923076923077,NA,NA,11.8480138169257
"2023","0140","CALGARY",8.32854762209973,17.0714285714286,18,NA,NA,11.5052631578947
"2023","1265","OTTAWA",11.3184004810583,23.3076923076923,22.4,30,NA,13.4276315789474
"1988","1060",NA,6.04769548268746,6.66666666666667,11.3125,22,7,6.56496631376323
