"ref_yy","metcode","metro","nine_or_fewer_months","share_nine_to_eighteen_months","share_eighteen_to_thirty_months","share_thirty_to_sixty_months","total"
"1988","0140","CALGARY",0,0,100,0,100
"1988","1265",NA,40,20,40,0,100
"1989","0140","CALGARY",NA,NA,NA,NA,NA
"1989","1265",NA,25,50,25,0,100
"1990","0140","CALGARY",NA,NA,NA,NA,NA
"1990","1265","OTTAWA",0,100,0,0,100
"1991","0140","CALGARY",NA,NA,NA,NA,NA
"1991","1265",NA,75,0,25,0,100
"1992","0140","CALGARY",NA,NA,NA,NA,NA
"1992","1265",NA,66.666666666667,33.333333333333,0,0,100
"1993","0140","CALGARY",NA,NA,NA,NA,NA
"1993","1265","OTTAWA",100,0,0,0,100
"1994","0140","CALGARY",NA,NA,NA,NA,NA
"1994","1265",NA,50,0,50,0,100
"1995","0140","CALGARY",NA,NA,NA,NA,NA
"1995","1265",NA,NA,NA,NA,NA,NA
"1996","0140","CALGARY",NA,NA,NA,NA,NA
"1996","1265",NA,0,100,0,0,100
"1997","0140","CALGARY",NA,NA,NA,NA,NA
"1997","1265",NA,NA,NA,NA,NA,NA
"1998","0140","CALGARY",0,100,0,0,100
"1998","1265",NA,NA,NA,NA,NA,NA
"1999","0140","CALGARY",100,0,0,0,100
"1999","1265",NA,NA,NA,NA,NA,NA
"2000","0140","CALGARY",0,66.666666666667,33.333333333333,0,100
"2000","1265",NA,NA,NA,NA,NA,NA
"2001","0140","CALGARY",14.285714285714,57.142857142857,28.571428571429,0,100
"2001","1265","OTTAWA",33.333333333333,66.666666666667,0,0,100
"2002","0140","CALGARY",0,66.666666666667,33.333333333333,0,100
"2002","1265","OTTAWA",50,50,0,0,100
"2003","0140","CALGARY",12.5,75,12.5,0,100
"2003","1265","OTTAWA",0,100,0,0,100
"2004","0140","CALGARY",0,62.5,37.5,0,100
"2004","1265","OTTAWA",0,33.333333333333,66.666666666667,0,100
"2005","0140","CALGARY",18.181818181818,54.545454545455,27.272727272727,0,100
"2005","1265","OTTAWA",0,25,75,0,100
"2006","0140","CALGARY",0,33.333333333333,66.666666666667,0,100
"2006","1265","OTTAWA",0,50,50,0,100
"2007","0140","CALGARY",0,0,100,0,100
"2007","1265","OTTAWA",33.333333333333,0,66.666666666667,0,100
"2008","0140","CALGARY",0,18.75,68.75,12.5,100
"2008","1265","OTTAWA",0,25,75,0,100
"2009","0140","CALGARY",0,44.444444444444,44.444444444444,11.111111111111,100
"2009","1265","OTTAWA",0,66.666666666667,0,33.333333333333,100
"2010","0140","CALGARY",0,0,75,25,100
"2010","1265","OTTAWA",0,20,60,20,100
"2011","0140","CALGARY",NA,NA,NA,NA,NA
"2011","1265","OTTAWA",0,50,0,50,100
