REF_DATE,Net_pop
2006/2007,22862.0
2007/2008,23199.0
2008/2009,23950.0
2009/2010,10465.0
2010/2011,14503.0
2011/2012,28701.0
2012/2013,36601.0
2013/2014,33676.0
2014/2015,18553.0
2015/2016,14503.0
2016/2017,11228.0
2017/2018,15516.0
2018/2019,21738.0
