,AEDNRMURR
2004-02-01,31.0
2004-03-01,34.0
2004-04-01,42.0
2004-05-01,44.0
2004-06-01,40.0
2004-07-01,52.0
2004-08-01,43.0
2004-09-01,44.0
2004-10-01,44.0
2004-11-01,43.0
2004-12-01,48.0
2005-01-01,49.0
2005-02-01,42.0
2005-03-01,35.0
2005-04-01,49.0
2005-05-01,69.0
2005-06-01,65.0
2005-07-01,62.0
2005-08-01,48.0
2005-09-01,45.0
2005-10-01,44.0
2005-11-01,35.0
2005-12-01,33.0
2006-01-01,38.0
2006-02-01,41.0
2006-03-01,41.0
2006-04-01,43.0
2006-05-01,48.0
2006-06-01,24.0
2006-07-01,27.0
2006-08-01,26.0
2006-09-01,22.0
2006-10-01,20.0
2006-11-01,16.0
2006-12-01,15.0
2007-01-01,15.0
2007-02-01,15.0
2007-03-01,7.0
2007-04-01,6.0
2007-05-01,4.0
2007-06-01,3.0
2007-07-01,5.0
2007-08-01,7.0
2007-09-01,11.0
2007-10-01,14.0
2007-11-01,24.0
2007-12-01,25.0
2008-01-01,23.0
2008-02-01,52.0
2008-03-01,51.0
2008-04-01,54.0
2008-05-01,53.0
2008-06-01,65.0
2008-07-01,78.0
2008-08-01,94.0
2008-09-01,86.0
2008-10-01,113.0
2008-11-01,138.0
2008-12-01,138.0
2009-01-01,146.0
2009-02-01,181.0
2009-03-01,196.0
2009-04-01,190.0
2009-05-01,177.0
2009-06-01,174.0
2009-07-01,172.0
2009-08-01,147.0
2009-09-01,131.0
2009-10-01,124.0
2009-11-01,131.0
2009-12-01,151.0
2010-01-01,155.0
2010-02-01,139.0
2010-03-01,102.0
2010-04-01,89.0
2010-05-01,104.0
2010-06-01,99.0
2010-07-01,108.0
2010-08-01,112.0
2010-09-01,117.0
2010-10-01,116.0
2010-11-01,117.0
2010-12-01,114.0
2011-01-01,127.0
2011-02-01,129.0
2011-03-01,124.0
2011-04-01,119.0
2011-05-01,109.0
2011-06-01,107.0
2011-07-01,113.0
2011-08-01,121.0
2011-09-01,123.0
2011-10-01,112.0
2011-11-01,118.0
2011-12-01,107.0
2012-01-01,123.0
2012-02-01,131.0
2012-03-01,135.0
2012-04-01,149.0
2012-05-01,147.0
2012-06-01,145.0
2012-07-01,148.0
2012-08-01,170.0
2012-09-01,151.0
2012-10-01,138.0
2012-11-01,136.0
2012-12-01,130.0
2013-01-01,145.0
2013-02-01,137.0
2013-03-01,124.0
2013-04-01,128.0
2013-05-01,120.0
2013-06-01,121.0
2013-07-01,120.0
2013-08-01,116.0
2013-09-01,106.0
2013-10-01,131.0
2013-11-01,142.0
2013-12-01,158.0
2014-01-01,125.0
2014-02-01,95.0
2014-03-01,84.0
2014-04-01,90.0
2014-05-01,96.0
2014-06-01,81.0
2014-07-01,63.0
2014-08-01,61.0
2014-09-01,75.0
2014-10-01,76.0
2014-11-01,54.0
2014-12-01,67.0
2015-01-01,62.0
2015-02-01,69.0
2015-03-01,78.0
2015-04-01,87.0
2015-05-01,81.0
2015-06-01,78.0
2015-07-01,95.0
2015-08-01,94.0
2015-09-01,81.0
2015-10-01,82.0
2015-11-01,86.0
2015-12-01,97.0
2016-01-01,113.0
2016-02-01,119.0
2016-03-01,135.0
2016-04-01,130.0
2016-05-01,168.0
2016-06-01,182.0
2016-07-01,247.0
2016-08-01,250.0
2016-09-01,242.0
2016-10-01,241.0
2016-11-01,231.0
2016-12-01,234.0
2017-01-01,230.0
2017-02-01,224.0
2017-03-01,202.0
2017-04-01,204.0
2017-05-01,179.0
2017-06-01,181.0
2017-07-01,189.0
2017-08-01,204.0
2017-09-01,177.0
2017-10-01,177.0
2017-11-01,173.0
2017-12-01,187.0
2018-01-01,201.0
2018-02-01,257.0
2018-03-01,248.0
2018-04-01,239.0
2018-05-01,242.0
2018-06-01,243.0
2018-07-01,252.0
2018-08-01,251.0
2018-09-01,262.0
2018-10-01,246.0
2018-11-01,277.0
2018-12-01,294.0
2019-01-01,305.0
2019-02-01,314.0
2019-03-01,312.0
2019-04-01,289.0
2019-05-01,290.0
2019-06-01,350.0
2019-07-01,359.0
2019-08-01,350.0
2019-09-01,374.0
2019-10-01,372.0
2019-11-01,367.0
2019-12-01,396.0
2020-01-01,385.0
2020-02-01,354.0
2020-03-01,350.0
2020-04-01,316.0
2020-05-01,309.0
2020-06-01,331.0
2020-07-01,349.0
2020-08-01,348.0
2020-09-01,304.0
2020-10-01,283.0
2020-11-01,301.0
2020-12-01,287.0
2021-01-01,277.0
2021-02-01,260.0
2021-03-01,256.0
2021-04-01,262.0
2021-05-01,225.0
2021-06-01,181.0
2021-07-01,171.0
2021-08-01,152.0
2021-09-01,118.0
2021-10-01,142.0
2021-11-01,133.0
2021-12-01,131.0
2022-01-01,140.0
2022-02-01,134.0
2022-03-01,104.0
2022-04-01,88.0
2022-05-01,73.0
2022-06-01,71.0
2022-07-01,83.0
2022-08-01,102.0
2022-09-01,108.0
2022-10-01,109.0
2022-11-01,137.0
2022-12-01,174.0
2023-01-01,153.0
2023-02-01,183.0
2023-03-01,171.0
2023-04-01,182.0
2023-05-01,250.0
2023-06-01,254.0
2023-07-01,249.0
2023-08-01,215.0
2023-09-01,220.0
2023-10-01,251.0
2023-11-01,284.0
2023-12-01,281.0
2024-01-01,229.0
2024-02-01,243.0
2024-03-01,256.0
2024-04-01,244.0
2024-05-01,246.0
2024-06-01,232.0
2024-07-01,260.0
2024-08-01,276.0
2024-09-01,328.0
2024-10-01,278.0
2024-11-01,240.0
2024-12-01,235.0
