,AEDUA31UR
1992-01-01,33107.0
1993-01-01,32742.0
1994-01-01,32065.0
1995-01-01,31780.0
1996-01-01,31760.0
1997-01-01,31548.0
1998-01-01,31409.0
1999-01-01,31458.0
2000-01-01,31595.0
2001-01-01,31339.0
2002-01-01,31490.0
2003-01-01,31822.0
2004-01-01,31639.0
2005-01-01,31458.0
2006-01-01,31048.0
2007-01-01,29062.0
2008-01-01,28073.0
2009-01-01,27944.0
2010-01-01,27650.0
2011-01-01,27394.0
2012-01-01,27133.0
2013-01-01,27080.0
2014-01-01,27518.0
2015-01-01,28011.0
2016-01-01,28399.0
2017-01-01,29139.0
2018-01-01,29920.0
2019-01-01,30021.0
2020-01-01,30629.0
2021-01-01,31473.0
2022-01-01,32737.0
2023-01-01,33911.0
2024-01-01,35374.0
