,AEDVA33RR
1992-01-01,2.2
1993-01-01,4.6
1994-01-01,7.7
1995-01-01,9.4
1996-01-01,7.1
1997-01-01,4.8
1998-01-01,2.3
1999-01-01,2.5
2000-01-01,2.0
2001-01-01,1.7
2002-01-01,1.6
2003-01-01,4.2
2004-01-01,4.2
2005-01-01,4.1
2006-01-01,1.2
2007-01-01,2.4
2008-01-01,3.7
2009-01-01,4.6
2010-01-01,3.7
2011-01-01,3.4
2012-01-01,1.1
2013-01-01,1.2
2014-01-01,1.4
2015-01-01,3.7
2016-01-01,8.2
2017-01-01,5.9
2018-01-01,5.2
2019-01-01,3.9
2020-01-01,5.8
2021-01-01,6.8
2022-01-01,2.7
2023-01-01,1.3
2024-01-01,3.0
