,AEDUA32UR
1992-01-01,26156.0
1993-01-01,25623.0
1994-01-01,25011.0
1995-01-01,24697.0
1996-01-01,24550.0
1997-01-01,24477.0
1998-01-01,24472.0
1999-01-01,24572.0
2000-01-01,24558.0
2001-01-01,24809.0
2002-01-01,25468.0
2003-01-01,26297.0
2004-01-01,26498.0
2005-01-01,26729.0
2006-01-01,26745.0
2007-01-01,25489.0
2008-01-01,24220.0
2009-01-01,24079.0
2010-01-01,23935.0
2011-01-01,23716.0
2012-01-01,23737.0
2013-01-01,24650.0
2014-01-01,25812.0
2015-01-01,27556.0
2016-01-01,29713.0
2017-01-01,31273.0
2018-01-01,32081.0
2019-01-01,32777.0
2020-01-01,34254.0
2021-01-01,36776.0
2022-01-01,38163.0
2023-01-01,39658.0
2024-01-01,41598.0
