,BVIVA3BRR
1992-01-01,1.8
1993-01-01,2.4
1994-01-01,2.1
1995-01-01,3.1
1996-01-01,4.6
1997-01-01,4.0
1998-01-01,3.3
1999-01-01,4.3
2000-01-01,2.2
2001-01-01,1.4
2002-01-01,2.6
2003-01-01,1.1
2004-01-01,0.7
2005-01-01,0.6
2006-01-01,0.4
2007-01-01,0.8
2008-01-01,0.6
2009-01-01,1.3
2010-01-01,0.8
2011-01-01,1.7
2012-01-01,1.3
2013-01-01,2.3
2014-01-01,1.4
2015-01-01,0.7
2016-01-01,0.4
2017-01-01,1.0
2018-01-01,0.6
2019-01-01,1.1
2020-01-01,2.1
2021-01-01,1.0
2022-01-01,1.1
2023-01-01,-99.0
2024-01-01,
