,ACAUA33UR
1992-01-01,2051.0
1993-01-01,2007.0
1994-01-01,2106.0
1995-01-01,2091.0
1996-01-01,2051.0
1997-01-01,1978.0
1998-01-01,1958.0
1999-01-01,1899.0
2000-01-01,1914.0
2001-01-01,1979.0
2002-01-01,1944.0
2003-01-01,1944.0
2004-01-01,1854.0
2005-01-01,1832.0
2006-01-01,1796.0
2007-01-01,1764.0
2008-01-01,1684.0
2009-01-01,1672.0
2010-01-01,1607.0
2011-01-01,1563.0
2012-01-01,1510.0
2013-01-01,1488.0
2014-01-01,1472.0
2015-01-01,1465.0
2016-01-01,1482.0
2017-01-01,1535.0
2018-01-01,1548.0
2019-01-01,1527.0
2020-01-01,1554.0
2021-01-01,1659.0
2022-01-01,1964.0
