,KREPA33RR
1992-01-01,-99.0
1993-01-01,-93.0
1994-01-01,-0.7
1995-01-01,-93.0
1996-01-01,3.1
1997-01-01,1.1
1998-01-01,2.8
1999-01-01,2.0
2000-01-01,1.8
2001-01-01,1.8
2002-01-01,1.8
2003-01-01,1.5
2004-01-01,1.2
2005-01-01,1.8
2006-01-01,3.2
2007-01-01,4.5
2008-01-01,10.6
2009-01-01,7.7
2010-01-01,7.8
2011-01-01,5.1
2012-01-01,7.9
2013-01-01,4.1
2014-01-01,2.5
2015-01-01,-1.3
2016-01-01,1.2
2017-01-01,-1.0
2018-01-01,-2.2
2019-01-01,-1.8
2020-01-01,1.3
2021-01-01,-93.0
2022-01-01,5.0
2023-01-01,-93.0
2024-01-01,10.8
