,AWESALUNR_Q
1980-01-01,35.0
1980-04-01,50.0
1980-07-01,88.0
1980-10-01,78.0
1981-01-01,84.0
1981-04-01,83.0
1981-07-01,97.0
1981-10-01,46.0
1982-01-01,40.0
1982-04-01,39.0
1982-07-01,56.0
1982-10-01,69.0
1983-01-01,35.0
1983-04-01,50.0
1983-07-01,73.0
1983-10-01,40.0
1984-01-01,35.0
1984-04-01,44.0
1984-07-01,28.0
1984-10-01,32.0
1985-01-01,41.0
1985-04-01,67.0
1985-07-01,66.0
1985-10-01,45.0
1986-01-01,26.0
1986-04-01,59.0
1986-07-01,66.0
1986-10-01,48.0
1987-01-01,39.0
1987-04-01,69.0
1987-07-01,59.0
1987-10-01,71.0
1988-01-01,57.0
1988-04-01,83.0
1988-07-01,91.0
1988-10-01,74.0
1989-01-01,53.0
1989-04-01,65.0
1989-07-01,132.0
1989-10-01,86.0
1990-01-01,99.0
1990-04-01,118.0
1990-07-01,74.0
1990-10-01,135.0
1991-01-01,73.0
1991-04-01,88.0
1991-07-01,98.0
1991-10-01,90.0
1992-01-01,69.0
1992-04-01,97.0
1992-07-01,168.0
1992-10-01,156.0
1993-01-01,81.0
1993-04-01,142.0
1993-07-01,154.0
1993-10-01,115.0
1994-01-01,85.0
1994-04-01,121.0
1994-07-01,123.0
1994-10-01,92.0
1995-01-01,93.0
1995-04-01,105.0
1995-07-01,111.0
1995-10-01,89.0
1996-01-01,49.0
1996-04-01,115.0
1996-07-01,149.0
1996-10-01,119.0
1997-01-01,66.0
1997-04-01,131.0
1997-07-01,154.0
1997-10-01,130.0
1998-01-01,77.0
1998-04-01,141.0
1998-07-01,148.0
1998-10-01,90.0
1999-01-01,39.0
1999-04-01,107.0
1999-07-01,126.0
1999-10-01,111.0
2000-01-01,80.0
2000-04-01,97.0
2000-07-01,141.0
2000-10-01,108.0
2001-01-01,108.0
2001-04-01,129.0
2001-07-01,146.0
2001-10-01,98.0
2002-01-01,109.0
2002-04-01,138.0
2002-07-01,139.0
2002-10-01,86.0
2003-01-01,95.0
2003-04-01,105.0
2003-07-01,125.0
2003-10-01,103.0
2004-01-01,160.0
2004-04-01,212.0
2004-07-01,189.0
2004-10-01,182.0
2005-01-01,151.0
2005-04-01,230.0
2005-07-01,296.0
2005-10-01,214.0
2006-01-01,180.0
2006-04-01,445.0
2006-07-01,466.0
2006-10-01,367.0
2007-01-01,284.0
2007-04-01,534.0
2007-07-01,437.0
2007-10-01,256.0
2008-01-01,197.0
2008-04-01,344.0
2008-07-01,320.0
2008-10-01,164.0
2009-01-01,140.0
2009-04-01,270.0
2009-07-01,268.0
2009-10-01,172.0
2010-01-01,177.0
2010-04-01,245.0
2010-07-01,198.0
2010-10-01,213.0
2011-01-01,211.0
2011-04-01,313.0
2011-07-01,339.0
2011-10-01,270.0
2012-01-01,331.0
2012-04-01,386.0
2012-07-01,336.0
2012-10-01,253.0
2013-01-01,252.0
2013-04-01,373.0
2013-07-01,381.0
2013-10-01,284.0
2014-01-01,247.0
2014-04-01,445.0
2014-07-01,406.0
2014-10-01,295.0
2015-01-01,226.0
2015-04-01,327.0
2015-07-01,317.0
2015-10-01,177.0
2016-01-01,203.0
2016-04-01,281.0
2016-07-01,291.0
2016-10-01,237.0
2017-01-01,252.0
2017-04-01,322.0
2017-07-01,308.0
2017-10-01,251.0
2018-01-01,206.0
2018-04-01,322.0
2018-07-01,313.0
2018-10-01,213.0
2019-01-01,218.0
2019-04-01,321.0
2019-07-01,283.0
2019-10-01,190.0
2020-01-01,155.0
2020-04-01,222.0
2020-07-01,371.0
2020-10-01,286.0
2021-01-01,297.0
2021-04-01,425.0
2021-07-01,359.0
2021-10-01,276.0
2022-01-01,307.0
2022-04-01,394.0
