,MWIRAT32CR
1992-01-01,553.0
1993-01-01,557.0
1994-01-01,559.0
1995-01-01,561.0
1996-01-01,567.0
1997-01-01,568.0
1998-01-01,574.0
1999-01-01,582.0
2000-01-01,588.0
2001-01-01,605.0
2002-01-01,622.0
2003-01-01,645.0
2004-01-01,664.0
2005-01-01,683.0
2006-01-01,709.0
2007-01-01,740.0
2008-01-01,769.0
2009-01-01,809.0
2010-01-01,837.0
2011-01-01,875.0
2012-01-01,911.0
2013-01-01,969.0
2014-01-01,1016.0
2015-01-01,1045.0
2016-01-01,1068.0
2017-01-01,1107.0
2018-01-01,1179.0
2019-01-01,1223.0
2020-01-01,1262.0
2021-01-01,1317.0
2022-01-01,1350.0
2023-01-01,1427.0
2024-01-01,1507.0
