,KREVA33RR
1992-01-01,3.2
1993-01-01,4.3
1994-01-01,1.1
1995-01-01,0.7
1996-01-01,1.4
1997-01-01,2.0
1998-01-01,0.7
1999-01-01,0.9
2000-01-01,2.0
2001-01-01,3.0
2002-01-01,0.0
2003-01-01,0.7
2004-01-01,3.9
2005-01-01,0.7
2006-01-01,2.8
2007-01-01,0.0
2008-01-01,1.2
2009-01-01,2.4
2010-01-01,1.2
2011-01-01,0.8
2012-01-01,0.4
2013-01-01,2.6
2014-01-01,2.0
2015-01-01,4.5
2016-01-01,5.3
2017-01-01,9.9
2018-01-01,2.9
2019-01-01,5.7
2020-01-01,4.7
2021-01-01,4.0
2022-01-01,2.1
2023-01-01,0.9
2024-01-01,3.9
