,KSKSAMURR_A
1992-01-01,59.0
1993-01-01,212.0
1994-01-01,272.0
1995-01-01,126.0
1996-01-01,322.0
1997-01-01,133.0
1998-01-01,194.0
1999-01-01,384.0
2000-01-01,144.0
2001-01-01,160.0
2002-01-01,316.0
2003-01-01,311.0
2004-01-01,387.0
2005-01-01,201.0
2006-01-01,332.0
2007-01-01,407.0
2008-01-01,699.0
2009-01-01,114.0
2010-01-01,410.0
2011-01-01,851.0
2012-01-01,1245.0
2013-01-01,706.0
2014-01-01,1301.0
2015-01-01,845.0
2016-01-01,524.0
2017-01-01,508.0
2018-01-01,684.0
2019-01-01,505.0
2020-01-01,845.0
2021-01-01,1127.0
2022-01-01,1387.0
2023-01-01,1592.0
2024-01-01,1272.0
