,BVIUA3BUR
1992-01-01,2702.0
1993-01-01,2683.0
1994-01-01,2704.0
1995-01-01,2696.0
1996-01-01,2699.0
1997-01-01,2696.0
1998-01-01,2676.0
1999-01-01,2654.0
2000-01-01,2657.0
2001-01-01,2648.0
2002-01-01,2661.0
2003-01-01,2658.0
2004-01-01,2692.0
2005-01-01,2674.0
2006-01-01,2678.0
2007-01-01,2627.0
2008-01-01,2567.0
2009-01-01,2551.0
2010-01-01,2549.0
2011-01-01,2547.0
2012-01-01,2612.0
2013-01-01,2637.0
2014-01-01,2692.0
2015-01-01,2786.0
2016-01-01,2708.0
2017-01-01,2850.0
2018-01-01,2952.0
2019-01-01,3034.0
2020-01-01,3284.0
2021-01-01,3306.0
2022-01-01,3334.0
2023-01-01,3716.0
2024-01-01,
