,BVIVA32RR
1992-01-01,1.1
1993-01-01,1.4
1994-01-01,1.6
1995-01-01,2.2
1996-01-01,2.5
1997-01-01,2.2
1998-01-01,1.8
1999-01-01,2.7
2000-01-01,1.7
2001-01-01,0.4
2002-01-01,1.3
2003-01-01,0.9
2004-01-01,0.5
2005-01-01,0.5
2006-01-01,0.4
2007-01-01,0.4
2008-01-01,0.3
2009-01-01,1.1
2010-01-01,1.3
2011-01-01,1.7
2012-01-01,2.9
2013-01-01,2.5
2014-01-01,1.5
2015-01-01,0.5
2016-01-01,0.6
2017-01-01,0.7
2018-01-01,1.2
2019-01-01,1.1
2020-01-01,2.4
2021-01-01,0.8
2022-01-01,1.5
2023-01-01,1.6
2024-01-01,
