,KRERAT32CR
1992-01-01,484.0
1993-01-01,487.0
1994-01-01,485.0
1995-01-01,487.0
1996-01-01,494.0
1997-01-01,512.0
1998-01-01,525.0
1999-01-01,547.0
2000-01-01,549.0
2001-01-01,568.0
2002-01-01,581.0
2003-01-01,589.0
2004-01-01,602.0
2005-01-01,607.0
2006-01-01,619.0
2007-01-01,661.0
2008-01-01,756.0
2009-01-01,832.0
2010-01-01,881.0
2011-01-01,932.0
2012-01-01,979.0
2013-01-01,1018.0
2014-01-01,1079.0
2015-01-01,1097.0
2016-01-01,1109.0
2017-01-01,1116.0
2018-01-01,1130.0
2019-01-01,1128.0
2020-01-01,1152.0
2021-01-01,1156.0
2022-01-01,1186.0
2023-01-01,1301.0
2024-01-01,1415.0
