,KREPA3TRR
1992-01-01,-93.0
1993-01-01,1.7
1994-01-01,-0.4
1995-01-01,0.9
1996-01-01,1.6
1997-01-01,3.6
1998-01-01,3.7
1999-01-01,3.3
2000-01-01,2.1
2001-01-01,3.4
2002-01-01,1.6
2003-01-01,1.3
2004-01-01,2.1
2005-01-01,1.1
2006-01-01,2.3
2007-01-01,6.2
2008-01-01,13.8
2009-01-01,9.9
2010-01-01,6.8
2011-01-01,6.6
2012-01-01,4.7
2013-01-01,4.1
2014-01-01,3.4
2015-01-01,0.5
2016-01-01,-93.0
2017-01-01,0.5
2018-01-01,-0.4
2019-01-01,-0.5
2020-01-01,0.5
2021-01-01,-93.0
2022-01-01,3.6
2023-01-01,7.9
2024-01-01,8.9
