,KSKNTMURR
2004-02-01,70.0
2004-03-01,62.0
2004-04-01,60.0
2004-05-01,64.0
2004-06-01,96.0
2004-07-01,49.0
2004-08-01,43.0
2004-09-01,39.0
2004-10-01,86.0
2004-11-01,86.0
2004-12-01,78.0
2005-01-01,64.0
2005-02-01,58.0
2005-03-01,59.0
2005-04-01,61.0
2005-05-01,67.0
2005-06-01,56.0
2005-07-01,42.0
2005-08-01,30.0
2005-09-01,113.0
2005-10-01,125.0
2005-11-01,138.0
2005-12-01,133.0
2006-01-01,136.0
2006-02-01,143.0
2006-03-01,119.0
2006-04-01,102.0
2006-05-01,97.0
2006-06-01,94.0
2006-07-01,76.0
2006-08-01,101.0
2006-09-01,62.0
2006-10-01,43.0
2006-11-01,29.0
2006-12-01,24.0
2007-01-01,26.0
2007-02-01,29.0
2007-03-01,26.0
2007-04-01,22.0
2007-05-01,16.0
2007-06-01,14.0
2007-07-01,14.0
2007-08-01,16.0
2007-09-01,19.0
2007-10-01,19.0
2007-11-01,15.0
2007-12-01,26.0
2008-01-01,34.0
2008-02-01,29.0
2008-03-01,17.0
2008-04-01,11.0
2008-05-01,12.0
2008-06-01,19.0
2008-07-01,48.0
2008-08-01,127.0
2008-09-01,178.0
2008-10-01,256.0
2008-11-01,282.0
2008-12-01,310.0
2009-01-01,300.0
2009-02-01,263.0
2009-03-01,246.0
2009-04-01,232.0
2009-05-01,310.0
2009-06-01,345.0
2009-07-01,332.0
2009-08-01,336.0
2009-09-01,308.0
2009-10-01,340.0
2009-11-01,329.0
2009-12-01,313.0
2010-01-01,283.0
2010-02-01,271.0
2010-03-01,235.0
2010-04-01,217.0
2010-05-01,198.0
2010-06-01,217.0
2010-07-01,235.0
2010-08-01,241.0
2010-09-01,202.0
2010-10-01,230.0
2010-11-01,235.0
2010-12-01,284.0
2011-01-01,351.0
2011-02-01,378.0
2011-03-01,339.0
2011-04-01,315.0
2011-05-01,304.0
2011-06-01,327.0
2011-07-01,315.0
2011-08-01,242.0
2011-09-01,249.0
2011-10-01,247.0
2011-11-01,245.0
2011-12-01,258.0
2012-01-01,247.0
2012-02-01,273.0
2012-03-01,272.0
2012-04-01,271.0
2012-05-01,234.0
2012-06-01,282.0
2012-07-01,274.0
2012-08-01,274.0
2012-09-01,295.0
2012-10-01,314.0
2012-11-01,336.0
2012-12-01,374.0
2013-01-01,442.0
2013-02-01,497.0
2013-03-01,502.0
2013-04-01,465.0
2013-05-01,530.0
2013-06-01,499.0
2013-07-01,476.0
2013-08-01,477.0
2013-09-01,486.0
2013-10-01,502.0
2013-11-01,514.0
2013-12-01,523.0
2014-01-01,567.0
2014-02-01,559.0
2014-03-01,553.0
2014-04-01,505.0
2014-05-01,481.0
2014-06-01,443.0
2014-07-01,423.0
2014-08-01,444.0
2014-09-01,492.0
2014-10-01,510.0
2014-11-01,588.0
2014-12-01,632.0
2015-01-01,686.0
2015-02-01,728.0
2015-03-01,784.0
2015-04-01,751.0
2015-05-01,680.0
2015-06-01,646.0
2015-07-01,626.0
2015-08-01,610.0
2015-09-01,645.0
2015-10-01,605.0
2015-11-01,703.0
2015-12-01,688.0
2016-01-01,646.0
2016-02-01,594.0
2016-03-01,692.0
2016-04-01,727.0
2016-05-01,835.0
2016-06-01,822.0
2016-07-01,835.0
2016-08-01,779.0
2016-09-01,782.0
2016-10-01,761.0
2016-11-01,756.0
2016-12-01,788.0
2017-01-01,874.0
2017-02-01,905.0
2017-03-01,884.0
2017-04-01,881.0
2017-05-01,843.0
2017-06-01,769.0
2017-07-01,742.0
2017-08-01,722.0
2017-09-01,716.0
2017-10-01,625.0
2017-11-01,612.0
2017-12-01,557.0
2018-01-01,527.0
2018-02-01,611.0
2018-03-01,591.0
2018-04-01,560.0
2018-05-01,571.0
2018-06-01,568.0
2018-07-01,529.0
2018-08-01,496.0
2018-09-01,484.0
2018-10-01,473.0
2018-11-01,452.0
2018-12-01,488.0
2019-01-01,555.0
2019-02-01,557.0
2019-03-01,557.0
2019-04-01,562.0
2019-05-01,510.0
2019-06-01,464.0
2019-07-01,439.0
2019-08-01,425.0
2019-09-01,425.0
2019-10-01,422.0
2019-11-01,427.0
2019-12-01,401.0
2020-01-01,402.0
2020-02-01,381.0
2020-03-01,378.0
2020-04-01,360.0
2020-05-01,335.0
2020-06-01,311.0
2020-07-01,312.0
2020-08-01,284.0
2020-09-01,248.0
2020-10-01,223.0
2020-11-01,185.0
2020-12-01,200.0
2021-01-01,187.0
2021-02-01,175.0
2021-03-01,164.0
2021-04-01,166.0
2021-05-01,152.0
2021-06-01,154.0
2021-07-01,157.0
2021-08-01,161.0
2021-09-01,158.0
2021-10-01,191.0
2021-11-01,205.0
2021-12-01,198.0
2022-01-01,231.0
2022-02-01,225.0
2022-03-01,210.0
2022-04-01,189.0
2022-05-01,188.0
2022-06-01,195.0
2022-07-01,184.0
2022-08-01,187.0
2022-09-01,213.0
2022-10-01,217.0
2022-11-01,222.0
2022-12-01,232.0
2023-01-01,233.0
2023-02-01,249.0
2023-03-01,280.0
2023-04-01,328.0
2023-05-01,293.0
2023-06-01,276.0
2023-07-01,285.0
2023-08-01,281.0
2023-09-01,231.0
2023-10-01,238.0
2023-11-01,220.0
2023-12-01,247.0
2024-01-01,253.0
2024-02-01,248.0
2024-03-01,223.0
2024-04-01,193.0
2024-05-01,197.0
2024-06-01,171.0
2024-07-01,146.0
2024-08-01,129.0
2024-09-01,128.0
2024-10-01,110.0
2024-11-01,129.0
2024-12-01,151.0
