,rent_chg_onebd
1992-01-01,-93.0
1993-01-01,-0.9
1994-01-01,-93.0
1995-01-01,-93.0
1996-01-01,2.5
1997-01-01,8.1
1998-01-01,14.3
1999-01-01,2.5
2000-01-01,1.1
2001-01-01,7.2
2002-01-01,2.2
2003-01-01,0.7
2004-01-01,-93.0
2005-01-01,1.5
2006-01-01,18.0
2007-01-01,15.6
2008-01-01,4.9
2009-01-01,-4.2
2010-01-01,-2.4
2011-01-01,1.8
2012-01-01,6.2
2013-01-01,7.7
2014-01-01,7.1
2015-01-01,-93.0
2016-01-01,-7.4
2017-01-01,-2.0
2018-01-01,1.6
2019-01-01,2.0
2020-01-01,-93.0
2021-01-01,-93.0
