,ALMPRICNR_Q
1980-01-01,53500.0
1980-04-01,83000.0
1980-07-01,63435.0
1980-10-01,73895.0
1981-01-01,71154.0
1981-04-01,74344.0
1981-07-01,44969.0
1981-10-01,61877.0
1982-01-01,55190.0
1982-04-01,57696.0
1982-07-01,57500.0
1982-10-01,61629.0
1983-01-01,62628.0
1983-04-01,62039.0
1983-07-01,62844.0
1983-10-01,55266.0
1984-01-01,57900.0
1984-04-01,65506.0
1984-07-01,62887.0
1984-10-01,57388.0
1985-01-01,62851.0
1985-04-01,68182.0
1985-07-01,61562.0
1985-10-01,65596.0
1986-01-01,60417.0
1986-04-01,63690.0
1986-07-01,83371.0
1986-10-01,68126.0
1987-01-01,74757.0
1987-04-01,75562.0
1987-07-01,72792.0
1987-10-01,71842.0
1988-01-01,68970.0
1988-04-01,66923.0
1988-07-01,70101.0
1988-10-01,66086.0
1989-01-01,74996.0
1989-04-01,68547.0
1989-07-01,76232.0
1989-10-01,69789.0
1990-01-01,69163.0
1990-04-01,70994.0
1990-07-01,75037.0
1990-10-01,70514.0
1991-01-01,73581.0
1991-04-01,73656.0
1991-07-01,81627.0
1991-10-01,79155.0
1992-01-01,75003.0
1992-04-01,77555.0
1992-07-01,71072.0
1992-10-01,76340.0
1993-01-01,79572.0
1993-04-01,83340.0
1993-07-01,74473.0
1993-10-01,91941.0
1994-01-01,79249.0
1994-04-01,78417.0
1994-07-01,68862.0
1994-10-01,76938.0
1995-01-01,76537.0
1995-04-01,68878.0
1995-07-01,79118.0
1995-10-01,81663.0
1996-01-01,82478.0
1996-04-01,89265.0
1996-07-01,90095.0
1996-10-01,86559.0
1997-01-01,66229.0
1997-04-01,90982.0
1997-07-01,92496.0
1997-10-01,96186.0
1998-01-01,98222.0
1998-04-01,107221.0
1998-07-01,101709.0
1998-10-01,107173.0
1999-01-01,106924.0
1999-04-01,99392.0
1999-07-01,107331.0
1999-10-01,105698.0
2000-01-01,109372.0
2000-04-01,119769.0
2000-07-01,115639.0
2000-10-01,117288.0
2001-01-01,135213.0
2001-04-01,113644.0
2001-07-01,126265.0
2001-10-01,122418.0
2002-01-01,137112.0
2002-04-01,139970.0
2002-07-01,134248.0
2002-10-01,126936.0
2003-01-01,126247.0
2003-04-01,145661.0
2003-07-01,150865.0
2003-10-01,159920.0
2004-01-01,152973.0
2004-04-01,166534.0
2004-07-01,174734.0
2004-10-01,177879.0
2005-01-01,184912.0
2005-04-01,175646.0
2005-07-01,181315.0
2005-10-01,179237.0
2006-01-01,171350.0
2006-04-01,177876.0
2006-07-01,187033.0
2006-10-01,219014.0
2007-01-01,209960.0
2007-04-01,221607.0
2007-07-01,226663.0
2007-10-01,250488.0
2008-01-01,245159.0
2008-04-01,237317.0
2008-07-01,258332.0
2008-10-01,247389.0
2009-01-01,217889.0
2009-04-01,238052.0
2009-07-01,248716.0
2009-10-01,252524.0
2010-01-01,253856.0
2010-04-01,247117.0
2010-07-01,250169.0
2010-10-01,247750.0
2011-01-01,246493.0
2011-04-01,245937.0
2011-07-01,269759.0
2011-10-01,269346.0
2012-01-01,245360.0
2012-04-01,270771.0
2012-07-01,272009.0
2012-10-01,279803.0
2013-01-01,256579.0
2013-04-01,284095.0
2013-07-01,293608.0
2013-10-01,299075.0
2014-01-01,297909.0
2014-04-01,323607.0
2014-07-01,330814.0
2014-10-01,335429.0
2015-01-01,298860.0
2015-04-01,338174.0
2015-07-01,326488.0
2015-10-01,320235.0
2016-01-01,283003.0
2016-04-01,312951.0
2016-07-01,317714.0
2016-10-01,302385.0
2017-01-01,306612.0
2017-04-01,304261.0
2017-07-01,300523.0
2017-10-01,297891.0
2018-01-01,299083.0
2018-04-01,282485.0
2018-07-01,307087.0
2018-10-01,279354.0
2019-01-01,268863.0
2019-04-01,281575.0
2019-07-01,284221.0
2019-10-01,266173.0
2020-01-01,248713.0
2020-04-01,269806.0
2020-07-01,275944.0
2020-10-01,271444.0
2021-01-01,265521.0
2021-04-01,299966.0
2021-07-01,271455.0
2021-10-01,265769.0
2022-01-01,272066.0
2022-04-01,314321.0
2022-07-01,266128.0
2022-10-01,266917.0
