,KSKRAT33CR
1992-01-01,514.0
1993-01-01,502.0
1994-01-01,506.0
1995-01-01,519.0
1996-01-01,541.0
1997-01-01,561.0
1998-01-01,569.0
1999-01-01,596.0
2000-01-01,597.0
2001-01-01,600.0
2002-01-01,635.0
2003-01-01,635.0
2004-01-01,628.0
2005-01-01,629.0
2006-01-01,639.0
2007-01-01,732.0
2008-01-01,860.0
2009-01-01,918.0
2010-01-01,959.0
2011-01-01,1075.0
2012-01-01,1057.0
2013-01-01,1114.0
2014-01-01,1172.0
2015-01-01,1135.0
2016-01-01,1223.0
2017-01-01,1129.0
2018-01-01,1195.0
2019-01-01,1280.0
2020-01-01,1287.0
2021-01-01,1311.0
2022-01-01,1374.0
2023-01-01,1458.0
2024-01-01,1655.0
