,BVINTMURR
2007-06-01,140.0
2007-07-01,129.0
2007-08-01,122.0
2007-09-01,150.0
2007-10-01,146.0
2007-11-01,160.0
2007-12-01,195.0
2008-01-01,215.0
2008-02-01,221.0
2008-03-01,264.0
2008-04-01,247.0
2008-05-01,235.0
2008-06-01,266.0
2008-07-01,253.0
2008-08-01,261.0
2008-09-01,301.0
2008-10-01,303.0
2008-11-01,375.0
2008-12-01,418.0
2009-01-01,440.0
2009-02-01,458.0
2009-03-01,469.0
2009-04-01,451.0
2009-05-01,411.0
2009-06-01,464.0
2009-07-01,478.0
2009-08-01,448.0
2009-09-01,470.0
2009-10-01,474.0
2009-11-01,410.0
2009-12-01,396.0
2010-01-01,443.0
2010-02-01,400.0
2010-03-01,385.0
2010-04-01,385.0
2010-05-01,363.0
2010-06-01,361.0
2010-07-01,361.0
2010-08-01,350.0
2010-09-01,331.0
2010-10-01,343.0
2010-11-01,370.0
2010-12-01,436.0
2011-01-01,428.0
2011-02-01,443.0
2011-03-01,436.0
2011-04-01,418.0
2011-05-01,423.0
2011-06-01,419.0
2011-07-01,444.0
2011-08-01,447.0
2011-09-01,450.0
2011-10-01,449.0
2011-11-01,483.0
2011-12-01,523.0
2012-01-01,524.0
2012-02-01,502.0
2012-03-01,521.0
2012-04-01,497.0
2012-05-01,484.0
2012-06-01,462.0
2012-07-01,460.0
2012-08-01,446.0
2012-09-01,489.0
2012-10-01,488.0
2012-11-01,460.0
2012-12-01,480.0
2013-01-01,544.0
2013-02-01,504.0
2013-03-01,584.0
2013-04-01,572.0
2013-05-01,543.0
2013-06-01,529.0
2013-07-01,567.0
2013-08-01,557.0
2013-09-01,565.0
2013-10-01,554.0
2013-11-01,550.0
2013-12-01,550.0
2014-01-01,572.0
2014-02-01,564.0
2014-03-01,568.0
2014-04-01,599.0
2014-05-01,552.0
2014-06-01,534.0
2014-07-01,495.0
2014-08-01,441.0
2014-09-01,450.0
2014-10-01,423.0
2014-11-01,421.0
2014-12-01,452.0
2015-01-01,399.0
2015-02-01,367.0
2015-03-01,313.0
2015-04-01,365.0
2015-05-01,364.0
2015-06-01,342.0
2015-07-01,338.0
2015-08-01,297.0
2015-09-01,260.0
2015-10-01,240.0
2015-11-01,252.0
2015-12-01,239.0
2016-01-01,256.0
2016-02-01,196.0
2016-03-01,172.0
2016-04-01,143.0
2016-05-01,121.0
2016-06-01,88.0
2016-07-01,89.0
2016-08-01,72.0
2016-09-01,57.0
2016-10-01,62.0
2016-11-01,67.0
2016-12-01,57.0
2017-01-01,44.0
2017-02-01,40.0
2017-03-01,37.0
2017-04-01,37.0
2017-05-01,39.0
2017-06-01,42.0
2017-07-01,42.0
2017-08-01,39.0
2017-09-01,49.0
2017-10-01,65.0
2017-11-01,61.0
2017-12-01,73.0
2018-01-01,88.0
2018-02-01,87.0
2018-03-01,83.0
2018-04-01,82.0
2018-05-01,92.0
2018-06-01,85.0
2018-07-01,71.0
2018-08-01,72.0
2018-09-01,89.0
2018-10-01,99.0
2018-11-01,95.0
2018-12-01,106.0
2019-01-01,109.0
2019-02-01,122.0
2019-03-01,137.0
2019-04-01,136.0
2019-05-01,132.0
2019-06-01,136.0
2019-07-01,147.0
2019-08-01,204.0
2019-09-01,211.0
2019-10-01,222.0
2019-11-01,235.0
2019-12-01,250.0
2020-01-01,265.0
2020-02-01,237.0
2020-03-01,210.0
2020-04-01,199.0
2020-05-01,212.0
