,KREVA31RR
1992-01-01,3.8
1993-01-01,3.9
1994-01-01,3.3
1995-01-01,2.4
1996-01-01,2.6
1997-01-01,1.4
1998-01-01,1.9
1999-01-01,1.7
2000-01-01,1.4
2001-01-01,2.1
2002-01-01,2.5
2003-01-01,2.4
2004-01-01,3.1
2005-01-01,3.6
2006-01-01,3.8
2007-01-01,2.1
2008-01-01,0.3
2009-01-01,0.5
2010-01-01,1.2
2011-01-01,0.7
2012-01-01,1.2
2013-01-01,2.0
2014-01-01,2.7
2015-01-01,5.2
2016-01-01,6.0
2017-01-01,7.9
2018-01-01,9.0
2019-01-01,9.7
2020-01-01,8.3
2021-01-01,8.1
2022-01-01,3.3
2023-01-01,1.6
2024-01-01,3.2
