,AZZSAUURR
2004-01-01,383.0
2004-02-01,1009.0
2004-03-01,520.0
2004-04-01,358.0
2004-05-01,278.0
2004-06-01,1340.0
2004-07-01,361.0
2004-08-01,509.0
2004-09-01,822.0
2004-10-01,1218.0
2004-11-01,1277.0
2004-12-01,477.0
2005-01-01,414.0
2005-02-01,455.0
2005-03-01,514.0
2005-04-01,803.0
2005-05-01,1246.0
2005-06-01,366.0
2005-07-01,418.0
2005-08-01,527.0
2005-09-01,1415.0
2005-10-01,649.0
2005-11-01,656.0
2005-12-01,560.0
2006-01-01,158.0
2006-02-01,511.0
2006-03-01,1290.0
2006-04-01,633.0
2006-05-01,979.0
2006-06-01,1450.0
2006-07-01,955.0
2006-08-01,398.0
2006-09-01,606.0
2006-10-01,259.0
2006-11-01,2018.0
2006-12-01,813.0
2007-01-01,673.0
2007-02-01,519.0
2007-03-01,1140.0
2007-04-01,941.0
2007-05-01,924.0
2007-06-01,602.0
2007-07-01,471.0
2007-08-01,961.0
2007-09-01,1968.0
2007-10-01,1144.0
2007-11-01,870.0
2007-12-01,322.0
2008-01-01,1073.0
2008-02-01,914.0
2008-03-01,2838.0
2008-04-01,1085.0
2008-05-01,1127.0
2008-06-01,266.0
2008-07-01,757.0
2008-08-01,419.0
2008-09-01,559.0
2008-10-01,659.0
2008-11-01,252.0
2008-12-01,148.0
2009-01-01,274.0
2009-02-01,0.0
2009-03-01,165.0
2009-04-01,9.0
2009-05-01,34.0
2009-06-01,33.0
2009-07-01,76.0
2009-08-01,217.0
2009-09-01,56.0
2009-10-01,189.0
2009-11-01,165.0
2009-12-01,316.0
2010-01-01,5.0
2010-02-01,3.0
2010-03-01,404.0
2010-04-01,654.0
2010-05-01,247.0
2010-06-01,115.0
2010-07-01,487.0
2010-08-01,309.0
2010-09-01,722.0
2010-10-01,288.0
2010-11-01,194.0
2010-12-01,196.0
2011-01-01,181.0
2011-02-01,151.0
2011-03-01,434.0
2011-04-01,153.0
2011-05-01,241.0
2011-06-01,261.0
2011-07-01,429.0
2011-08-01,652.0
2011-09-01,284.0
2011-10-01,1076.0
2011-11-01,593.0
2011-12-01,492.0
2012-01-01,374.0
2012-02-01,634.0
2012-03-01,999.0
2012-04-01,1143.0
2012-05-01,738.0
2012-06-01,616.0
2012-07-01,510.0
2012-08-01,315.0
2012-09-01,745.0
2012-10-01,829.0
2012-11-01,1163.0
2012-12-01,369.0
2013-01-01,322.0
2013-02-01,525.0
2013-03-01,614.0
2013-04-01,834.0
2013-05-01,1293.0
2013-06-01,1083.0
2013-07-01,748.0
2013-08-01,231.0
2013-09-01,460.0
2013-10-01,750.0
2013-11-01,1170.0
2013-12-01,987.0
2014-01-01,885.0
2014-02-01,637.0
2014-03-01,1108.0
2014-04-01,947.0
2014-05-01,474.0
2014-06-01,1947.0
2014-07-01,511.0
2014-08-01,1071.0
2014-09-01,1359.0
2014-10-01,805.0
2014-11-01,762.0
2014-12-01,556.0
2015-01-01,1481.0
2015-02-01,1073.0
2015-03-01,1862.0
2015-04-01,763.0
2015-05-01,720.0
2015-06-01,1422.0
2015-07-01,1066.0
2015-08-01,873.0
2015-09-01,1292.0
2015-10-01,790.0
2015-11-01,1707.0
2015-12-01,571.0
2016-01-01,366.0
2016-02-01,415.0
2016-03-01,530.0
2016-04-01,1018.0
2016-05-01,479.0
2016-06-01,467.0
2016-07-01,829.0
2016-08-01,314.0
2016-09-01,586.0
2016-10-01,556.0
2016-11-01,537.0
2016-12-01,586.0
2017-01-01,135.0
2017-02-01,502.0
2017-03-01,1296.0
2017-04-01,740.0
2017-05-01,813.0
2017-06-01,663.0
2017-07-01,857.0
2017-08-01,229.0
2017-09-01,515.0
2017-10-01,656.0
2017-11-01,1234.0
2017-12-01,146.0
2018-01-01,358.0
2018-02-01,310.0
2018-03-01,537.0
2018-04-01,844.0
2018-05-01,1176.0
2018-06-01,684.0
2018-07-01,826.0
2018-08-01,1178.0
2018-09-01,411.0
2018-10-01,216.0
2018-11-01,671.0
2018-12-01,241.0
2019-01-01,587.0
2019-02-01,528.0
2019-03-01,263.0
2019-04-01,976.0
2019-05-01,428.0
2019-06-01,926.0
2019-07-01,1184.0
2019-08-01,1045.0
2019-09-01,1359.0
2019-10-01,560.0
2019-11-01,697.0
2019-12-01,1679.0
2020-01-01,409.0
2020-02-01,200.0
2020-03-01,915.0
2020-04-01,912.0
2020-05-01,580.0
2020-06-01,310.0
2020-07-01,799.0
2020-08-01,506.0
2020-09-01,925.0
2020-10-01,1294.0
2020-11-01,777.0
2020-12-01,1076.0
2021-01-01,822.0
2021-02-01,524.0
2021-03-01,556.0
2021-04-01,697.0
2021-05-01,1129.0
2021-06-01,695.0
2021-07-01,777.0
2021-08-01,934.0
2021-09-01,507.0
2021-10-01,1258.0
2021-11-01,1744.0
2021-12-01,899.0
2022-01-01,788.0
2022-02-01,759.0
2022-03-01,753.0
2022-04-01,1391.0
2022-05-01,1726.0
2022-06-01,1188.0
2022-07-01,1618.0
2022-08-01,936.0
2022-09-01,1154.0
2022-10-01,2097.0
2022-11-01,1223.0
2022-12-01,678.0
