,AEDSRMURR_A
1992-01-01,855.0
1993-01-01,887.0
1994-01-01,434.0
1995-01-01,212.0
1996-01-01,177.0
1997-01-01,215.0
1998-01-01,241.0
1999-01-01,280.0
2000-01-01,237.0
2001-01-01,110.0
2002-01-01,513.0
2003-01-01,677.0
2004-01-01,478.0
2005-01-01,755.0
2006-01-01,642.0
2007-01-01,1351.0
2008-01-01,575.0
2009-01-01,602.0
2010-01-01,829.0
2011-01-01,710.0
2012-01-01,1080.0
2013-01-01,1471.0
2014-01-01,1174.0
2015-01-01,1994.0
2016-01-01,1286.0
2017-01-01,1363.0
2018-01-01,1538.0
2019-01-01,1360.0
2020-01-01,1257.0
2021-01-01,1671.0
2022-01-01,1747.0
2023-01-01,2069.0
2024-01-01,2639.0
