,ARESALUNR_Q
1980-01-01,163.0
1980-04-01,195.0
1980-07-01,284.0
1980-10-01,186.0
1981-01-01,163.0
1981-04-01,226.0
1981-07-01,186.0
1981-10-01,157.0
1982-01-01,105.0
1982-04-01,126.0
1982-07-01,142.0
1982-10-01,186.0
1983-01-01,138.0
1983-04-01,211.0
1983-07-01,193.0
1983-10-01,173.0
1984-01-01,156.0
1984-04-01,216.0
1984-07-01,208.0
1984-10-01,215.0
1985-01-01,217.0
1985-04-01,290.0
1985-07-01,337.0
1985-10-01,281.0
1986-01-01,252.0
1986-04-01,277.0
1986-07-01,288.0
1986-10-01,256.0
1987-01-01,235.0
1987-04-01,343.0
1987-07-01,300.0
1987-10-01,245.0
1988-01-01,218.0
1988-04-01,385.0
1988-07-01,366.0
1988-10-01,283.0
1989-01-01,262.0
1989-04-01,418.0
1989-07-01,492.0
1989-10-01,375.0
1990-01-01,390.0
1990-04-01,474.0
1990-07-01,430.0
1990-10-01,401.0
1991-01-01,325.0
1991-04-01,507.0
1991-07-01,478.0
1991-10-01,336.0
1992-01-01,413.0
1992-04-01,514.0
1992-07-01,501.0
1992-10-01,318.0
1993-01-01,380.0
1993-04-01,571.0
1993-07-01,608.0
1993-10-01,420.0
1994-01-01,401.0
1994-04-01,513.0
1994-07-01,510.0
1994-10-01,374.0
1995-01-01,375.0
1995-04-01,546.0
1995-07-01,490.0
1995-10-01,382.0
1996-01-01,366.0
1996-04-01,555.0
1996-07-01,531.0
1996-10-01,470.0
1997-01-01,490.0
1997-04-01,656.0
1997-07-01,683.0
1997-10-01,543.0
1998-01-01,478.0
1998-04-01,758.0
1998-07-01,782.0
1998-10-01,487.0
1999-01-01,439.0
1999-04-01,768.0
1999-07-01,723.0
1999-10-01,549.0
2000-01-01,552.0
2000-04-01,767.0
2000-07-01,690.0
2000-10-01,512.0
2001-01-01,572.0
2001-04-01,789.0
2001-07-01,792.0
2001-10-01,580.0
2002-01-01,567.0
2002-04-01,851.0
2002-07-01,792.0
2002-10-01,519.0
2003-01-01,521.0
2003-04-01,837.0
2003-07-01,835.0
2003-10-01,620.0
2004-01-01,670.0
2004-04-01,1068.0
2004-07-01,992.0
2004-10-01,629.0
2005-01-01,715.0
2005-04-01,1249.0
2005-07-01,1184.0
2005-10-01,833.0
2006-01-01,1063.0
2006-04-01,1695.0
2006-07-01,1332.0
2006-10-01,971.0
2007-01-01,1302.0
2007-04-01,1714.0
2007-07-01,1270.0
2007-10-01,789.0
2008-01-01,973.0
2008-04-01,1470.0
2008-07-01,1368.0
2008-10-01,624.0
2009-01-01,697.0
2009-04-01,1250.0
2009-07-01,1166.0
2009-10-01,797.0
2010-01-01,694.0
2010-04-01,1029.0
2010-07-01,843.0
2010-10-01,688.0
2011-01-01,788.0
2011-04-01,1146.0
2011-07-01,1109.0
2011-10-01,837.0
2012-01-01,899.0
2012-04-01,1441.0
2012-07-01,1178.0
2012-10-01,808.0
2013-01-01,931.0
2013-04-01,1511.0
2013-07-01,1380.0
2013-10-01,922.0
2014-01-01,987.0
2014-04-01,1776.0
2014-07-01,1557.0
2014-10-01,1025.0
2015-01-01,819.0
2015-04-01,1447.0
2015-07-01,1302.0
2015-10-01,730.0
2016-01-01,680.0
2016-04-01,1250.0
2016-07-01,1088.0
2016-10-01,772.0
2017-01-01,733.0
2017-04-01,1143.0
2017-07-01,1083.0
2017-10-01,749.0
2018-01-01,736.0
2018-04-01,1188.0
2018-07-01,1126.0
2018-10-01,668.0
2019-01-01,634.0
2019-04-01,1106.0
2019-07-01,1052.0
2019-10-01,672.0
2020-01-01,638.0
2020-04-01,805.0
2020-07-01,1271.0
2020-10-01,954.0
2021-01-01,1278.0
2021-04-01,1938.0
2021-07-01,1523.0
2021-10-01,1106.0
2022-01-01,1467.0
2022-04-01,1970.0
2022-07-01,1370.0
2022-10-01,834.0
