,KREUA33UR
1992-01-01,322.0
1993-01-01,322.0
1994-01-01,288.0
1995-01-01,284.0
1996-01-01,291.0
1997-01-01,258.0
1998-01-01,255.0
1999-01-01,253.0
2000-01-01,218.0
2001-01-01,217.0
2002-01-01,218.0
2003-01-01,205.0
2004-01-01,237.0
2005-01-01,237.0
2006-01-01,234.0
2007-01-01,241.0
2008-01-01,241.0
2009-01-01,248.0
2010-01-01,243.0
2011-01-01,244.0
2012-01-01,225.0
2013-01-01,226.0
2014-01-01,259.0
2015-01-01,281.0
2016-01-01,378.0
2017-01-01,361.0
2018-01-01,394.0
2019-01-01,387.0
2020-01-01,419.0
2021-01-01,418.0
2022-01-01,401.0
2023-01-01,440.0
2024-01-01,615.0
