,ABRVOLCNR_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,1157.0
1985-07-01,2165.0
1985-10-01,2505.0
1986-01-01,1736.0
1986-04-01,2805.0
1986-07-01,2369.0
1986-10-01,1622.0
1987-01-01,1428.0
1987-04-01,2926.0
1987-07-01,2241.0
1987-10-01,1914.0
1988-01-01,2632.0
1988-04-01,3037.0
1988-07-01,3346.0
1988-10-01,1838.0
1989-01-01,2661.0
1989-04-01,2880.0
1989-07-01,3068.0
1989-10-01,3701.0
1990-01-01,3295.0
1990-04-01,4664.0
1990-07-01,3621.0
1990-10-01,2926.0
1991-01-01,2781.0
1991-04-01,3753.0
1991-07-01,2849.0
1991-10-01,2022.0
1992-01-01,2460.0
1992-04-01,2435.0
1992-07-01,3415.0
1992-10-01,2581.0
1993-01-01,1916.0
1993-04-01,3284.0
1993-07-01,3865.0
1993-10-01,3036.0
1994-01-01,4229.0
1994-04-01,8487.0
1994-07-01,4156.0
1994-10-01,3656.0
1995-01-01,3366.0
1995-04-01,4643.0
1995-07-01,5172.0
1995-10-01,4626.0
1996-01-01,4246.0
1996-04-01,5111.0
1996-07-01,4546.0
1996-10-01,4533.0
1997-01-01,3590.0
1997-04-01,7369.0
1997-07-01,7667.0
1997-10-01,5125.0
1998-01-01,4530.0
1998-04-01,9600.0
1998-07-01,5579.0
1998-10-01,5539.0
1999-01-01,5267.0
1999-04-01,6945.0
1999-07-01,6510.0
1999-10-01,4621.0
2000-01-01,4399.0
2000-04-01,9329.0
2000-07-01,6751.0
2000-10-01,6275.0
2001-01-01,7070.0
2001-04-01,12376.0
2001-07-01,10706.0
2001-10-01,8169.0
2002-01-01,6628.0
2002-04-01,10077.0
2002-07-01,10843.0
2002-10-01,5066.0
2003-01-01,8269.0
2003-04-01,10014.0
2003-07-01,9693.0
2003-10-01,7016.0
2004-01-01,9894.0
2004-04-01,14809.0
2004-07-01,12964.0
2004-10-01,11573.0
2005-01-01,8433.0
2005-04-01,17366.0
2005-07-01,18715.0
2005-10-01,17737.0
2006-01-01,24303.0
2006-04-01,29932.0
2006-07-01,26757.0
2006-10-01,24232.0
2007-01-01,24778.0
2007-04-01,40029.0
2007-07-01,30873.0
2007-10-01,17844.0
2008-01-01,27325.0
2008-04-01,39124.0
2008-07-01,27046.0
2008-10-01,18278.0
2009-01-01,15583.0
2009-04-01,29276.0
2009-07-01,23490.0
2009-10-01,24458.0
2010-01-01,15344.0
2010-04-01,26393.0
2010-07-01,23698.0
2010-10-01,23615.0
2011-01-01,21772.0
2011-04-01,28444.0
2011-07-01,29467.0
2011-10-01,23107.0
2012-01-01,26183.0
2012-04-01,43228.0
2012-07-01,27181.0
2012-10-01,15374.0
2013-01-01,18654.0
2013-04-01,31686.0
2013-07-01,25833.0
2013-10-01,21257.0
2014-01-01,16811.0
2014-04-01,40216.0
2014-07-01,44196.0
2014-10-01,23291.0
2015-01-01,16520.0
2015-04-01,26716.0
2015-07-01,26832.0
2015-10-01,18477.0
2016-01-01,12765.0
2016-04-01,20482.0
2016-07-01,22387.0
2016-10-01,11225.0
2017-01-01,16328.0
2017-04-01,20708.0
2017-07-01,26134.0
2017-10-01,16405.0
2018-01-01,15327.0
2018-04-01,19398.0
2018-07-01,23096.0
2018-10-01,13012.0
2019-01-01,17846.0
2019-04-01,19978.0
2019-07-01,23216.0
2019-10-01,19312.0
2020-01-01,14198.0
2020-04-01,18778.0
2020-07-01,30051.0
2020-10-01,21538.0
2021-01-01,28472.0
2021-04-01,49512.0
2021-07-01,36603.0
2021-10-01,27653.0
2022-01-01,41547.0
2022-04-01,39988.0
2022-07-01,30940.0
2022-10-01,
