,AEDSSMUOR
2003-02-01,456.0
2003-03-01,461.0
2003-04-01,524.0
2003-05-01,559.0
2003-06-01,563.0
2003-07-01,739.0
2003-08-01,569.0
2003-09-01,512.0
2003-10-01,511.0
2003-11-01,528.0
2003-12-01,426.0
2004-01-01,463.0
2004-02-01,417.0
2004-03-01,396.0
2004-04-01,512.0
2004-05-01,495.0
2004-06-01,638.0
2004-07-01,711.0
2004-08-01,625.0
2004-09-01,601.0
2004-10-01,578.0
2004-11-01,540.0
2004-12-01,598.0
2005-01-01,398.0
2005-02-01,510.0
2005-03-01,509.0
2005-04-01,724.0
2005-05-01,720.0
2005-06-01,766.0
2005-07-01,745.0
2005-08-01,603.0
2005-09-01,631.0
2005-10-01,641.0
2005-11-01,650.0
2005-12-01,689.0
2006-01-01,699.0
2006-02-01,651.0
2006-03-01,648.0
2006-04-01,875.0
2006-05-01,858.0
2006-06-01,807.0
2006-07-01,844.0
2006-08-01,784.0
2006-09-01,888.0
2006-10-01,744.0
2006-11-01,669.0
2006-12-01,565.0
2007-01-01,608.0
2007-02-01,572.0
2007-03-01,526.0
2007-04-01,869.0
2007-05-01,833.0
2007-06-01,837.0
2007-07-01,676.0
2007-08-01,687.0
2007-09-01,672.0
2007-10-01,554.0
2007-11-01,465.0
2007-12-01,345.0
2008-01-01,209.0
2008-02-01,237.0
2008-03-01,205.0
2008-04-01,176.0
2008-05-01,275.0
2008-06-01,244.0
2008-07-01,199.0
2008-08-01,184.0
2008-09-01,234.0
2008-10-01,223.0
2008-11-01,224.0
2008-12-01,194.0
2009-01-01,147.0
2009-02-01,149.0
2009-03-01,105.0
2009-04-01,206.0
2009-05-01,242.0
2009-06-01,267.0
2009-07-01,273.0
2009-08-01,375.0
2009-09-01,480.0
2009-10-01,598.0
2009-11-01,593.0
2009-12-01,448.0
2010-01-01,396.0
2010-02-01,483.0
2010-03-01,513.0
2010-04-01,620.0
2010-05-01,540.0
2010-06-01,634.0
2010-07-01,609.0
2010-08-01,519.0
2010-09-01,494.0
2010-10-01,484.0
2010-11-01,453.0
2010-12-01,309.0
2011-01-01,205.0
2011-02-01,360.0
2011-03-01,236.0
2011-04-01,436.0
2011-05-01,536.0
2011-06-01,442.0
2011-07-01,479.0
2011-08-01,494.0
2011-09-01,561.0
2011-10-01,464.0
2011-11-01,423.0
2011-12-01,366.0
2012-01-01,312.0
2012-02-01,378.0
2012-03-01,391.0
2012-04-01,492.0
2012-05-01,497.0
2012-06-01,522.0
2012-07-01,582.0
2012-08-01,540.0
2012-09-01,545.0
2012-10-01,478.0
2012-11-01,505.0
2012-12-01,412.0
2013-01-01,303.0
2013-02-01,395.0
2013-03-01,426.0
2013-04-01,560.0
2013-05-01,526.0
2013-06-01,588.0
2013-07-01,542.0
2013-08-01,614.0
2013-09-01,518.0
2013-10-01,540.0
2013-11-01,566.0
2013-12-01,386.0
2014-01-01,388.0
2014-02-01,492.0
2014-03-01,429.0
2014-04-01,542.0
2014-05-01,504.0
2014-06-01,580.0
2014-07-01,685.0
2014-08-01,685.0
2014-09-01,616.0
2014-10-01,739.0
2014-11-01,639.0
2014-12-01,528.0
2015-01-01,443.0
2015-02-01,496.0
2015-03-01,476.0
2015-04-01,505.0
2015-05-01,539.0
2015-06-01,552.0
2015-07-01,510.0
2015-08-01,498.0
2015-09-01,448.0
2015-10-01,520.0
2015-11-01,409.0
2015-12-01,259.0
2016-01-01,262.0
2016-02-01,324.0
2016-03-01,290.0
2016-04-01,338.0
2016-05-01,328.0
2016-06-01,334.0
2016-07-01,386.0
2016-08-01,340.0
2016-09-01,469.0
2016-10-01,412.0
2016-11-01,435.0
2016-12-01,408.0
2017-01-01,244.0
2017-02-01,347.0
2017-03-01,279.0
2017-04-01,355.0
2017-05-01,486.0
2017-06-01,570.0
2017-07-01,498.0
2017-08-01,566.0
2017-09-01,453.0
2017-10-01,413.0
2017-11-01,400.0
2017-12-01,412.0
2018-01-01,298.0
2018-02-01,346.0
2018-03-01,368.0
2018-04-01,453.0
2018-05-01,511.0
2018-06-01,475.0
2018-07-01,563.0
2018-08-01,414.0
2018-09-01,371.0
2018-10-01,305.0
2018-11-01,376.0
2018-12-01,332.0
2019-01-01,210.0
2019-02-01,219.0
2019-03-01,260.0
2019-04-01,323.0
2019-05-01,335.0
2019-06-01,466.0
2019-07-01,369.0
2019-08-01,439.0
2019-09-01,403.0
2019-10-01,378.0
2019-11-01,390.0
2019-12-01,338.0
2020-01-01,276.0
2020-02-01,322.0
2020-03-01,374.0
2020-04-01,310.0
2020-05-01,275.0
2020-06-01,345.0
2020-07-01,331.0
2020-08-01,371.0
2020-09-01,332.0
2020-10-01,396.0
2020-11-01,422.0
2020-12-01,377.0
2021-01-01,369.0
2021-02-01,409.0
2021-03-01,416.0
2021-04-01,587.0
2021-05-01,508.0
2021-06-01,478.0
2021-07-01,572.0
2021-08-01,511.0
2021-09-01,455.0
2021-10-01,454.0
2021-11-01,437.0
2021-12-01,430.0
2022-01-01,220.0
2022-02-01,411.0
2022-03-01,446.0
2022-04-01,605.0
2022-05-01,621.0
2022-06-01,759.0
2022-07-01,613.0
2022-08-01,573.0
2022-09-01,668.0
2022-10-01,430.0
2022-11-01,398.0
2022-12-01,302.0
2023-01-01,157.0
2023-02-01,325.0
2023-03-01,267.0
2023-04-01,365.0
2023-05-01,412.0
2023-06-01,496.0
2023-07-01,421.0
2023-08-01,471.0
2023-09-01,456.0
2023-10-01,536.0
2023-11-01,502.0
2023-12-01,505.0
2024-01-01,238.0
2024-02-01,424.0
2024-03-01,362.0
2024-04-01,586.0
2024-05-01,563.0
2024-06-01,711.0
2024-07-01,692.0
2024-08-01,665.0
2024-09-01,613.0
2024-10-01,608.0
2024-11-01,770.0
2024-12-01,559.0
