,KSKPA32RR
1992-01-01,0.5
1993-01-01,1.1
1994-01-01,1.3
1995-01-01,2.2
1996-01-01,4.2
1997-01-01,4.6
1998-01-01,4.1
1999-01-01,3.0
2000-01-01,2.4
2001-01-01,3.7
2002-01-01,0.9
2003-01-01,1.4
2004-01-01,0.6
2005-01-01,0.5
2006-01-01,4.0
2007-01-01,13.5
2008-01-01,20.3
2009-01-01,8.3
2010-01-01,4.0
2011-01-01,2.8
2012-01-01,2.4
2013-01-01,4.0
2014-01-01,4.3
2015-01-01,0.5
2016-01-01,-0.9
2017-01-01,-1.3
2018-01-01,0.4
2019-01-01,2.0
2020-01-01,2.0
2021-01-01,0.5
2022-01-01,3.4
2023-01-01,9.0
2024-01-01,7.2
