,AEDSAMURR
2004-02-01,345.0
2004-03-01,52.0
2004-04-01,223.0
2004-05-01,183.0
2004-06-01,273.0
2004-07-01,45.0
2004-08-01,170.0
2004-09-01,463.0
2004-10-01,436.0
2004-11-01,746.0
2004-12-01,46.0
2005-01-01,170.0
2005-02-01,21.0
2005-03-01,239.0
2005-04-01,654.0
2005-05-01,624.0
2005-06-01,275.0
2005-07-01,79.0
2005-08-01,287.0
2005-09-01,487.0
2005-10-01,275.0
2005-11-01,366.0
2005-12-01,285.0
2006-01-01,20.0
2006-02-01,275.0
2006-03-01,318.0
2006-04-01,315.0
2006-05-01,235.0
2006-06-01,532.0
2006-07-01,352.0
2006-08-01,149.0
2006-09-01,277.0
2006-10-01,159.0
2006-11-01,1078.0
2006-12-01,0.0
2007-01-01,178.0
2007-02-01,371.0
2007-03-01,406.0
2007-04-01,453.0
2007-05-01,73.0
2007-06-01,201.0
2007-07-01,310.0
2007-08-01,323.0
2007-09-01,1030.0
2007-10-01,341.0
2007-11-01,419.0
2007-12-01,106.0
2008-01-01,746.0
2008-02-01,397.0
2008-03-01,103.0
2008-04-01,355.0
2008-05-01,178.0
2008-06-01,169.0
2008-07-01,129.0
2008-08-01,129.0
2008-09-01,59.0
2008-10-01,276.0
2008-11-01,0.0
2008-12-01,40.0
2009-01-01,226.0
2009-02-01,0.0
2009-03-01,14.0
2009-04-01,4.0
2009-05-01,23.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,91.0
2009-09-01,21.0
2009-10-01,80.0
2009-11-01,63.0
2009-12-01,224.0
2010-01-01,5.0
2010-02-01,0.0
2010-03-01,81.0
2010-04-01,592.0
2010-05-01,206.0
2010-06-01,99.0
2010-07-01,126.0
2010-08-01,12.0
2010-09-01,209.0
2010-10-01,100.0
2010-11-01,173.0
2010-12-01,145.0
2011-01-01,80.0
2011-02-01,23.0
2011-03-01,389.0
2011-04-01,126.0
2011-05-01,225.0
2011-06-01,103.0
2011-07-01,376.0
2011-08-01,150.0
2011-09-01,70.0
2011-10-01,550.0
2011-11-01,50.0
2011-12-01,63.0
2012-01-01,130.0
2012-02-01,0.0
2012-03-01,399.0
2012-04-01,177.0
2012-05-01,449.0
2012-06-01,257.0
2012-07-01,435.0
2012-08-01,75.0
2012-09-01,494.0
2012-10-01,474.0
2012-11-01,884.0
2012-12-01,153.0
2013-01-01,152.0
2013-02-01,319.0
2013-03-01,484.0
2013-04-01,670.0
2013-05-01,920.0
2013-06-01,861.0
2013-07-01,85.0
2013-08-01,0.0
2013-09-01,347.0
2013-10-01,497.0
2013-11-01,306.0
2013-12-01,523.0
2014-01-01,235.0
2014-02-01,60.0
2014-03-01,67.0
2014-04-01,297.0
2014-05-01,339.0
2014-06-01,489.0
2014-07-01,48.0
2014-08-01,334.0
2014-09-01,370.0
2014-10-01,162.0
2014-11-01,505.0
2014-12-01,254.0
2015-01-01,1151.0
2015-02-01,873.0
2015-03-01,863.0
2015-04-01,439.0
2015-05-01,254.0
2015-06-01,356.0
2015-07-01,764.0
2015-08-01,350.0
2015-09-01,372.0
2015-10-01,282.0
2015-11-01,972.0
2015-12-01,249.0
2016-01-01,58.0
2016-02-01,0.0
2016-03-01,370.0
2016-04-01,616.0
2016-05-01,201.0
2016-06-01,220.0
2016-07-01,144.0
2016-08-01,19.0
2016-09-01,17.0
2016-10-01,441.0
2016-11-01,296.0
2016-12-01,41.0
2017-01-01,35.0
2017-02-01,484.0
2017-03-01,630.0
2017-04-01,295.0
2017-05-01,519.0
2017-06-01,5.0
2017-07-01,433.0
2017-08-01,22.0
2017-09-01,358.0
2017-10-01,55.0
2017-11-01,272.0
2017-12-01,26.0
2018-01-01,117.0
2018-02-01,144.0
2018-03-01,77.0
2018-04-01,114.0
2018-05-01,180.0
2018-06-01,140.0
2018-07-01,211.0
2018-08-01,684.0
2018-09-01,13.0
2018-10-01,8.0
2018-11-01,351.0
2018-12-01,51.0
2019-01-01,391.0
2019-02-01,258.0
2019-03-01,89.0
2019-04-01,385.0
2019-05-01,39.0
2019-06-01,426.0
2019-07-01,758.0
2019-08-01,499.0
2019-09-01,355.0
2019-10-01,194.0
2019-11-01,302.0
2019-12-01,186.0
2020-01-01,198.0
2020-02-01,60.0
2020-03-01,579.0
2020-04-01,675.0
2020-05-01,209.0
2020-06-01,140.0
2020-07-01,398.0
2020-08-01,251.0
2020-09-01,352.0
2020-10-01,835.0
2020-11-01,373.0
2020-12-01,797.0
2021-01-01,257.0
2021-02-01,309.0
2021-03-01,90.0
2021-04-01,315.0
2021-05-01,250.0
2021-06-01,299.0
2021-07-01,152.0
2021-08-01,571.0
2021-09-01,186.0
2021-10-01,683.0
2021-11-01,334.0
2021-12-01,464.0
2022-01-01,577.0
2022-02-01,171.0
2022-03-01,292.0
2022-04-01,790.0
2022-05-01,694.0
2022-06-01,124.0
2022-07-01,556.0
2022-08-01,319.0
2022-09-01,472.0
2022-10-01,1274.0
2022-11-01,151.0
2022-12-01,
